"Model","Accuracy","BalancedAccuracy"
"Random Forest",0.938461538461538,0.939434240099202
"LDA",0.876923076923077,0.863228110338085
"LASSO",0.938461538461538,0.917220801364024
"Ridge",0.930769230769231,0.909664419127335
