"Trees","OOBError"
1,0.208333333333333
2,0.171052631578947
3,0.139784946236559
4,0.123809523809524
5,0.104347826086957
6,0.100840336134454
7,0.0991735537190083
8,0.0967741935483871
9,0.112
10,0.0859375
11,0.0852713178294574
12,0.108527131782946
13,0.116279069767442
14,0.10077519379845
15,0.115384615384615
16,0.1
17,0.107692307692308
18,0.107692307692308
19,0.115384615384615
20,0.115384615384615
21,0.123076923076923
22,0.115384615384615
23,0.107692307692308
24,0.107692307692308
25,0.0923076923076923
26,0.0846153846153846
27,0.0846153846153846
28,0.0769230769230769
29,0.0846153846153846
30,0.0923076923076923
31,0.0923076923076923
32,0.0846153846153846
33,0.0846153846153846
34,0.0846153846153846
35,0.0846153846153846
36,0.0846153846153846
37,0.0846153846153846
38,0.0769230769230769
39,0.0846153846153846
40,0.0846153846153846
41,0.0846153846153846
42,0.0769230769230769
43,0.0846153846153846
44,0.0923076923076923
45,0.0769230769230769
46,0.0769230769230769
47,0.0769230769230769
48,0.0692307692307692
49,0.0769230769230769
50,0.0769230769230769
51,0.0846153846153846
52,0.0692307692307692
53,0.0846153846153846
54,0.0692307692307692
55,0.0692307692307692
56,0.0692307692307692
57,0.0769230769230769
58,0.0692307692307692
59,0.0615384615384615
60,0.0615384615384615
61,0.0615384615384615
62,0.0615384615384615
63,0.0615384615384615
64,0.0692307692307692
65,0.0692307692307692
66,0.0615384615384615
67,0.0692307692307692
68,0.0769230769230769
69,0.0692307692307692
70,0.0692307692307692
71,0.0692307692307692
72,0.0692307692307692
73,0.0692307692307692
74,0.0769230769230769
75,0.0692307692307692
76,0.0692307692307692
77,0.0769230769230769
78,0.0769230769230769
79,0.0615384615384615
80,0.0692307692307692
81,0.0615384615384615
82,0.0692307692307692
83,0.0692307692307692
84,0.0615384615384615
85,0.0692307692307692
86,0.0692307692307692
87,0.0692307692307692
88,0.0615384615384615
89,0.0615384615384615
90,0.0615384615384615
91,0.0692307692307692
92,0.0692307692307692
93,0.0692307692307692
94,0.0692307692307692
95,0.0692307692307692
96,0.0692307692307692
97,0.0692307692307692
98,0.0692307692307692
99,0.0692307692307692
100,0.0692307692307692
101,0.0692307692307692
102,0.0692307692307692
103,0.0692307692307692
104,0.0692307692307692
105,0.0692307692307692
106,0.0692307692307692
107,0.0692307692307692
108,0.0692307692307692
109,0.0692307692307692
110,0.0692307692307692
111,0.0692307692307692
112,0.0692307692307692
113,0.0692307692307692
114,0.0692307692307692
115,0.0692307692307692
116,0.0692307692307692
117,0.0692307692307692
118,0.0692307692307692
119,0.0692307692307692
120,0.0692307692307692
121,0.0692307692307692
122,0.0692307692307692
123,0.0692307692307692
124,0.0692307692307692
125,0.0692307692307692
126,0.0692307692307692
127,0.0692307692307692
128,0.0692307692307692
129,0.0692307692307692
130,0.0692307692307692
131,0.0692307692307692
132,0.0692307692307692
133,0.0692307692307692
134,0.0692307692307692
135,0.0692307692307692
136,0.0692307692307692
137,0.0692307692307692
138,0.0692307692307692
139,0.0769230769230769
140,0.0692307692307692
141,0.0769230769230769
142,0.0769230769230769
143,0.0769230769230769
144,0.0692307692307692
145,0.0692307692307692
146,0.0692307692307692
147,0.0692307692307692
148,0.0692307692307692
149,0.0692307692307692
150,0.0692307692307692
151,0.0692307692307692
152,0.0692307692307692
153,0.0692307692307692
154,0.0692307692307692
155,0.0692307692307692
156,0.0692307692307692
157,0.0615384615384615
158,0.0615384615384615
159,0.0615384615384615
160,0.0615384615384615
161,0.0692307692307692
162,0.0692307692307692
163,0.0692307692307692
164,0.0692307692307692
165,0.0692307692307692
166,0.0692307692307692
167,0.0692307692307692
168,0.0692307692307692
169,0.0692307692307692
170,0.0692307692307692
171,0.0692307692307692
172,0.0692307692307692
173,0.0692307692307692
174,0.0692307692307692
175,0.0692307692307692
176,0.0692307692307692
177,0.0692307692307692
178,0.0692307692307692
179,0.0692307692307692
180,0.0692307692307692
181,0.0692307692307692
182,0.0692307692307692
183,0.0692307692307692
184,0.0692307692307692
185,0.0692307692307692
186,0.0692307692307692
187,0.0692307692307692
188,0.0692307692307692
189,0.0692307692307692
190,0.0692307692307692
191,0.0692307692307692
192,0.0692307692307692
193,0.0692307692307692
194,0.0692307692307692
195,0.0692307692307692
196,0.0692307692307692
197,0.0692307692307692
198,0.0692307692307692
199,0.0692307692307692
200,0.0692307692307692
201,0.0692307692307692
202,0.0692307692307692
203,0.0692307692307692
204,0.0692307692307692
205,0.0692307692307692
206,0.0692307692307692
207,0.0692307692307692
208,0.0692307692307692
209,0.0692307692307692
210,0.0692307692307692
211,0.0692307692307692
212,0.0692307692307692
213,0.0692307692307692
214,0.0692307692307692
215,0.0692307692307692
216,0.0692307692307692
217,0.0692307692307692
218,0.0692307692307692
219,0.0692307692307692
220,0.0692307692307692
221,0.0692307692307692
222,0.0692307692307692
223,0.0692307692307692
224,0.0692307692307692
225,0.0692307692307692
226,0.0692307692307692
227,0.0692307692307692
228,0.0692307692307692
229,0.0692307692307692
230,0.0692307692307692
231,0.0692307692307692
232,0.0692307692307692
233,0.0692307692307692
234,0.0692307692307692
235,0.0692307692307692
236,0.0692307692307692
237,0.0692307692307692
238,0.0692307692307692
239,0.0692307692307692
240,0.0692307692307692
241,0.0692307692307692
242,0.0692307692307692
243,0.0692307692307692
244,0.0692307692307692
245,0.0692307692307692
246,0.0692307692307692
247,0.0692307692307692
248,0.0692307692307692
249,0.0692307692307692
250,0.0692307692307692
251,0.0692307692307692
252,0.0692307692307692
253,0.0692307692307692
254,0.0692307692307692
255,0.0692307692307692
256,0.0692307692307692
257,0.0692307692307692
258,0.0692307692307692
259,0.0692307692307692
260,0.0692307692307692
261,0.0692307692307692
262,0.0692307692307692
263,0.0692307692307692
264,0.0692307692307692
265,0.0692307692307692
266,0.0692307692307692
267,0.0692307692307692
268,0.0692307692307692
269,0.0692307692307692
270,0.0692307692307692
271,0.0692307692307692
272,0.0692307692307692
273,0.0692307692307692
274,0.0692307692307692
275,0.0692307692307692
276,0.0692307692307692
277,0.0692307692307692
278,0.0692307692307692
279,0.0692307692307692
280,0.0692307692307692
281,0.0692307692307692
282,0.0692307692307692
283,0.0692307692307692
284,0.0692307692307692
285,0.0692307692307692
286,0.0692307692307692
287,0.0692307692307692
288,0.0692307692307692
289,0.0692307692307692
290,0.0692307692307692
291,0.0692307692307692
292,0.0692307692307692
293,0.0692307692307692
294,0.0692307692307692
295,0.0692307692307692
296,0.0692307692307692
297,0.0692307692307692
298,0.0692307692307692
299,0.0692307692307692
300,0.0692307692307692
301,0.0692307692307692
302,0.0692307692307692
303,0.0692307692307692
304,0.0692307692307692
305,0.0692307692307692
306,0.0692307692307692
307,0.0692307692307692
308,0.0692307692307692
309,0.0692307692307692
310,0.0692307692307692
311,0.0692307692307692
312,0.0692307692307692
313,0.0692307692307692
314,0.0692307692307692
315,0.0692307692307692
316,0.0692307692307692
317,0.0692307692307692
318,0.0692307692307692
319,0.0692307692307692
320,0.0692307692307692
321,0.0692307692307692
322,0.0692307692307692
323,0.0692307692307692
324,0.0692307692307692
325,0.0692307692307692
326,0.0692307692307692
327,0.0692307692307692
328,0.0692307692307692
329,0.0692307692307692
330,0.0692307692307692
331,0.0692307692307692
332,0.0692307692307692
333,0.0692307692307692
334,0.0692307692307692
335,0.0692307692307692
336,0.0692307692307692
337,0.0692307692307692
338,0.0692307692307692
339,0.0692307692307692
340,0.0692307692307692
341,0.0692307692307692
342,0.0692307692307692
343,0.0692307692307692
344,0.0692307692307692
345,0.0692307692307692
346,0.0692307692307692
347,0.0692307692307692
348,0.0692307692307692
349,0.0692307692307692
350,0.0692307692307692
351,0.0692307692307692
352,0.0692307692307692
353,0.0692307692307692
354,0.0692307692307692
355,0.0692307692307692
