"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID","GeneTitle","Status"
-5.65388765095549,2.90601472295663,-28.1432990159448,6.74369521721427e-57,1.34921110210806e-52,118.142419098174,"ANKRD34C","390616","ankyrin repeat domain 34C","Down"
-5.50193731906101,3.30456646354568,-21.9195267698315,2.57061931238981e-45,2.57151902914915e-41,92.2715788179557,"GLS2","27165","glutaminase 2","Down"
-3.20595105415391,4.08972475950231,-21.4084519253263,2.80902047058178e-44,1.87333575183099e-40,89.9355225504127,"CARMIL2","146206","capping protein regulator and myosin 1 linker 2","Down"
-4.82352494569711,3.38407574516846,-20.8814369692738,3.42163899197531e-43,1.71141828281125e-39,87.4910361931244,"CNNM1","26507","cyclin and CBS domain divalent metal cation transport mediator 1","Down"
-4.66858115750217,2.9303284861084,-20.2958438139221,5.73222967511965e-42,2.29369438220238e-38,84.7321751934095,"PRSS3","5646","protease, serine 3","Down"
-4.1485630911666,3.26296452331101,-20.1024901080782,1.46763956504168e-41,4.89384412963148e-38,83.8113368069458,"DCTN1-AS1","100189589","DCTN1 antisense RNA 1","Down"
-4.00997903277331,3.38418863337799,-19.2496832649361,9.81634468304831e-40,2.80565154391068e-36,79.6910459406712,"SDR16C5","195814","short chain dehydrogenase/reductase family 16C, member 5","Down"
-9.29804683670895,3.81027122701817,-18.9081122973359,5.4231557967313e-39,1.35626347531504e-35,78.0138620124848,"GJB6","10804","gap junction protein beta 6","Down"
-4.11747115450651,4.26909628696722,-18.8181399917663,8.52796960714893e-39,1.89576764366921e-35,77.5695240844144,"GPR26","2849","G protein-coupled receptor 26","Down"
-2.12729785715431,2.76799753529367,-18.5868560391049,2.74313646057243e-38,5.48819311666727e-35,76.422423594143,"VWA5B2","90113","von Willebrand factor A domain containing 5B2","Down"
-5.87105477311749,2.84085460508302,-18.4594387574413,5.23638829907549e-38,9.52403824541849e-35,75.7874751883541,"SLC32A1","140679","solute carrier family 32 member 1","Down"
-6.97362303416122,3.5109282986768,-18.3226927068574,1.05041235209438e-37,1.75129999402935e-34,75.1036771952836,"EGR4","1961","early growth response 4","Down"
-4.92237891763531,3.9305641331874,-18.09346349409,3.39187914651249e-37,5.22010200648272e-34,73.9519473462572,"SPTB","6710","spectrin beta, erythrocytic","Down"
-4.30634511010763,2.73274551526349,-17.6146353869686,4.00883527977794e-36,5.72891196017981e-33,71.5241719725867,"SLC6A17","388662","solute carrier family 6 member 17","Down"
-5.73578287565497,4.60747061364485,-17.4184479652275,1.11182792686431e-35,1.48295608885162e-32,70.5209412373753,"PHF24","23349","PHD finger protein 24","Down"
-3.41108680584846,3.6945971769855,-16.9202126742305,1.51461915400017e-34,1.89393658838008e-31,67.9512054853635,"HAR1A","768096","highly accelerated region 1A (non-protein coding)","Down"
-4.62423528900763,3.48280681958544,-16.3417834965171,3.26105317578946e-33,3.83787593458939e-30,64.9291093900101,"OTUD7A","161725","OTU deubiquitinase 7A","Down"
5.40032028548922,10.4695949133864,16.2799944768437,4.53698671060382e-33,5.04286072883615e-30,64.6038723145358,"WEE1","7465","WEE1 G2 checkpoint kinase","Up"
-2.635472179681,4.38056031483917,-15.9851039924041,2.20712785816363e-32,2.3241056346463e-29,63.0453882970513,"MTUS2","23281","microtubule associated tumor suppressor candidate 2","Down"
-7.16057833718883,3.26846432535373,-15.9703335574012,2.3897599856498e-32,2.39059640164478e-29,62.9670567087718,"CAMK2A","815","calcium/calmodulin dependent protein kinase II alpha","Down"
-5.47242752440039,3.1288848510503,-15.9200253544652,3.13352539846061e-32,2.98535441176197e-29,62.7000670278609,"LGI3","203190","leucine rich repeat LGI family member 3","Down"
-2.86331016406318,2.25987745066207,-15.8808815087613,3.86974836561577e-32,3.51918434322157e-29,62.4921230039939,"TMEM191A","84222","transmembrane protein 191A (pseudogene)","Down"
-6.22992094577923,2.69132992267148,-15.8686510217246,4.13365234207974e-32,3.59573836556475e-29,62.4271143448728,"GABRA4","2557","gamma-aminobutyric acid type A receptor alpha4 subunit","Down"
-1.88406209183485,2.40737401466521,-15.8385427583522,4.86291686686882e-32,4.05384907314352e-29,62.2670059549692,"PRSS2","5645","protease, serine 2","Down"
-2.08534326555267,3.67915817820438,-15.5491055910747,2.33058987107906e-31,1.86512446202715e-28,60.7225299356021,"LINC00950","92973","long intergenic non-protein coding RNA 950","Down"
-6.00413240273708,4.09324003078219,-15.488373991185,3.24171411251972e-31,2.49449900958392e-28,60.3972492840278,"RGS7BP","401190","regulator of G-protein signaling 7 binding protein","Down"
-5.74513047988087,2.93285157948473,-15.4643518414349,3.69409420815851e-31,2.73732380824545e-28,60.2684715089053,"ANKRD34A","284615","ankyrin repeat domain 34A","Down"
-4.09668889477476,3.67026871192757,-15.1008634637628,2.68675607991355e-30,1.91978317467251e-27,58.3121080850015,"STYK1","55359","serine/threonine/tyrosine kinase 1","Down"
-3.75877872831111,4.99553742261645,-15.0807683326385,2.99946468520889e-30,2.06932034334394e-27,58.2035333424569,"NPM2","10361","nucleophosmin/nucleoplasmin 2","Down"
-5.51073701142748,3.75474870475373,-14.8767671649598,9.19338154898455e-30,6.1310661550178e-27,57.0988833438014,"ARHGDIG","398","Rho GDP dissociation inhibitor gamma","Down"
-4.35129923401756,5.57765232329367,-14.8124010858584,1.31018780107198e-29,8.4557830116281e-27,56.7494421736637,"IQSEC3","440073","IQ motif and Sec7 domain 3","Down"
3.30248540519506,8.93333302657734,14.6054012555928,4.1053220857984e-29,2.56672434283027e-26,55.6227746473733,"NEDD1","121441","neural precursor cell expressed, developmentally down-regulated 1","Up"
-5.18313549187627,3.56569058284213,-14.545554556971,5.71597191162731e-29,3.4654378798766e-26,55.2962356805934,"RYR2","6262","ryanodine receptor 2","Down"
-7.0877786066455,3.4905994781374,-14.4780557836623,8.30597783446188e-29,4.88757936864938e-26,54.9275207716451,"PVALB","5816","parvalbumin","Down"
-2.66490885626522,7.10988470903467,-14.4253970032753,1.11208740123773e-28,6.35700932473237e-26,54.6395608700057,"CAMTA2","23125","calmodulin binding transcription activator 2","Down"
-6.67130611443682,5.4653178830684,-14.3724426209941,1.49180657532552e-28,8.29071504237158e-26,54.3497140910207,"SCN2B","6327","sodium voltage-gated channel beta subunit 2","Down"
-4.71821638039041,5.29889541683917,-14.2977651086752,2.25845730372615e-28,1.22121500744998e-25,53.9405095921069,"ABLIM2","84448","actin binding LIM protein family member 2","Down"
-3.91488082399967,3.08130427685059,-14.2396109883305,3.12043954694849e-28,1.61559361855715e-25,53.6214819569381,"CCKBR","887","cholecystokinin B receptor","Down"
-5.24597316749106,4.40038326606988,-14.2379554498572,3.14930529933169e-28,1.61559361855715e-25,53.6123952011006,"CYP4X1","260293","cytochrome P450 family 4 subfamily X member 1","Down"
-4.32117405294688,2.96961242912769,-14.2190117008987,3.49930250344721e-28,1.75026362966171e-25,53.5084004387739,"CPNE9","151835","copine family member 9","Down"
-5.72201265650132,4.99952789986834,-14.2032608073414,3.81984040200449e-28,1.86398894933912e-25,53.4219079642852,"LOC285147","285147","uncharacterized LOC285147","Down"
5.82854747315332,9.31307102752024,14.1247594865491,5.91420105086667e-28,2.81727191487356e-25,52.9904943437616,"UHRF1","29128","ubiquitin like with PHD and ring finger domains 1","Up"
-3.97646810351776,8.3040370956003,-14.1061338234474,6.56109153051579e-28,3.05273856397743e-25,52.8880519222793,"KIAA0513","9764","KIAA0513","Down"
