"FeatureName","LD1","LD2","LD3","LD4","GeneSymbol"
"ACTL6B",-0.057578778559408,0.0457704548061496,-0.290085455335646,0.404932579811263,"ACTL6B"
"AK7",-0.201014421404966,-0.171635352678429,-0.529700839710674,0.274768426662079,"AK7"
"ARMC3",0.239752261249221,0.409055492680302,-0.417905704039957,1.15068174331445,"ARMC3"
"C11orf88",-0.0733550711383754,-0.00788507398650103,-0.272449875464734,0.294446608494317,"C11orf88"
"C1orf158",0.206495019061965,-0.0515822433847623,0.0919606354673488,-0.0388806648707581,"C1orf158"
"C1orf194",-0.20092272772505,0.19572966675004,-0.0609154179634609,0.2564222953494,"C1orf194"
"C4orf47",0.0345197381559201,-0.113755013945464,0.263791074897506,-0.515521665408846,"C4orf47"
"C5orf49",0.176785600105473,-0.142094022069846,-0.027983411338229,-0.0825239438437543,"C5orf49"
"C9orf24",-0.00604927273325806,-0.114116342486695,0.136585364943914,-0.394719480698556,"C9orf24"
"CAPSL",-0.264391787871449,0.0640438306985382,-0.166107102893297,-0.220475305280709,"CAPSL"
"CASC1",0.127309933617109,0.238198812885281,-0.218095216554871,0.191480906825848,"CASC1"
"CCDC170",0.0539999366592577,-0.218540398915864,-0.0473682275068294,-0.069750940496245,"CCDC170"
"CCDC81",-0.242610644261551,-0.259096498483942,0.0288642683786709,0.0116036680238817,"CCDC81"
"CELF4",-0.16044817144469,-0.161300399270757,-0.104799734454578,-0.103880077535724,"CELF4"
"CFAP126",0.0717889421909904,-0.0767020466160323,0.390555531315104,-0.319752651968349,"CFAP126"
"CFAP206",-0.328637778083756,0.286610727233255,0.147614762635371,0.20777357602605,"CFAP206"
"CFAP43",0.262486282094494,0.436123357073522,-0.239983287211909,0.443712168732753,"CFAP43"
"CFAP45",0.0634288721713385,-0.0259235845260462,0.424357470688912,-0.684806528770179,"CFAP45"
"CFAP52",-0.316331559169604,-0.686436205396759,0.297889497733042,-0.439033676725078,"CFAP52"
"DAW1",0.486200227378331,0.20833582198563,-0.297133343329985,0.346842075564286,"DAW1"
"DRC1",-0.100495412816859,-0.100619523255248,-0.13538115531766,-0.146677092822052,"DRC1"
"EFCAB1",1.05594663904145,0.249864459932102,0.549462353534257,0.195807296271198,"EFCAB1"
"EFHC2",0.118138687726482,0.245165345278261,-0.270278286326362,-0.0124572038552521,"EFHC2"
"FAM81B",0.0808654242948855,0.0982799379114394,0.099644583126941,0.179636187275186,"FAM81B"
"FOXJ1",0.281478053213222,-0.0557890757095135,-0.197509211950728,0.622959161980474,"FOXJ1"
"INA",-0.226307706875581,0.139901170681341,0.0218031632004302,-0.159403821328105,"INA"
"LOC101928882",-0.0604365278571414,-0.0048851201826195,0.344678955481609,-0.43088693142923,"LOC101928882"
"LOC101930373",0.139287295685678,-0.0624081031824971,0.0566342237542614,-0.311225092864462,"LOC101930373"
"MAP3K19",-0.612004026752908,-0.0722125741128662,-0.222954084867219,-0.160880829857331,"MAP3K19"
"MLC1",-0.380712988048595,-0.200973550456602,0.153625388459645,-0.681962502287639,"MLC1"
"MORN5",-0.216982540166812,-0.328778154616147,0.174600224439008,-0.246363502320251,"MORN5"
"NACC2",0.508534938456044,-0.146654449736801,-0.00156274629752553,1.05625758655106,"NACC2"
"NEK11",-0.137109024816308,0.436518370773943,-0.0531965799023621,-0.120118550843868,"NEK11"
"NUP62CL",-0.257468061781645,0.0211388181412242,-0.120648611281745,-0.105820104431277,"NUP62CL"
"PIFO",-0.131399143439975,0.117049300850197,-0.509494044912509,0.527379491182871,"PIFO"
"RNF43",0.104154116772217,0.067673674472982,0.192360718503442,0.0913556933925414,"RNF43"
"SLC8A2",-0.137835967723443,-0.113440560463732,0.230339426562234,0.277727253342407,"SLC8A2"
"SPAG17",0.269179744094882,-0.10275934327462,-0.234355138491586,0.189809545519712,"SPAG17"
"SPATA17",-0.110882950809413,0.158508831782195,-0.0352278263551032,-0.102763915571848,"SPATA17"
"SSTR2",-0.08691699649269,0.387162051439081,-0.243080995234783,0.18318122086164,"SSTR2"
"SULT4A1",-0.0511887101037593,0.144863386280284,0.0883769900946252,0.305459048467949,"SULT4A1"
"SV2B",0.0603834605514085,0.0343907378996059,0.359538114208662,-0.198806985557024,"SV2B"
"SVOP",0.162973305197145,-0.105754502314232,0.485877310898462,0.0335382673358048,"SVOP"
"TCTEX1D1",0.0615599108583511,-0.0615475405524074,0.0723143298220419,-0.216942844485569,"TCTEX1D1"
"TEKT1",-0.0563676682838,0.385211893323373,-0.0564467809500345,0.167693447936695,"TEKT1"
"TTYH1",0.170763901302753,-0.420498994527833,0.0645256230695527,-0.0579301842328167,"TTYH1"
"VWA3B",0.39803965853128,-0.103118911690204,0.490321368538387,-0.275407089809427,"VWA3B"
"WDR63",0.0759011687209188,-0.234731307565334,0.169509756937144,0.236956678348856,"WDR63"
"ZMYND10",-0.252997822840596,0.0681214318533451,0.0772345201665018,-0.262922974079187,"ZMYND10"
"ZNF474",-0.0289035691338515,0.0559958300986355,0.0898323235525074,0.113339001913474,"ZNF474"
