"Class","Sensitivity","Specificity"
"Normal",1,0.991452991452991
"EPN",0.956521739130435,0.988095238095238
"GBM",0.970588235294118,0.9375
"MED",0.954545454545455,1
"PA",0.666666666666667,0.991304347826087
