"Class","Sensitivity","Specificity"
"Normal",0.923076923076923,0.982905982905983
"EPN",0.956521739130435,1
"GBM",0.794117647058823,0.916666666666667
"MED",0.909090909090909,1
"PA",0.733333333333333,0.947826086956522
