"name","GeneSymbol","logFC","adj.P.Val","Status"
"STX1B","STX1B",-4.33037517499421,1.76392678940805e-21,"Down"
"MARCH11","MARCH11",-4.32884069454885,1.98772935085758e-21,"Down"
"DLG2","DLG2",-5.78200800749895,2.13130352764927e-21,"Down"
"TMEM151A","TMEM151A",-4.38527009731046,2.16585224910603e-21,"Down"
"RELL2","RELL2",-3.78785339142071,2.49659144355176e-21,"Down"
"LINC00889","LINC00889",-4.71704153366286,2.49977961471512e-21,"Down"
"KRTAP5-AS1","KRTAP5-AS1",-2.39185662051585,3.16090481920896e-21,"Down"
"KCNJ9","KCNJ9",-6.82736620754556,3.61227139610506e-21,"Down"
"LRTM2","LRTM2",-2.88553673753662,3.69405375795826e-21,"Down"
"PPFIA3","PPFIA3",-3.51258232143787,3.74677885562121e-21,"Down"
"KCNV1","KCNV1",-4.45842642091072,4.51121456985714e-21,"Down"
"NCDN","NCDN",-3.84698907561269,5.0364244472683e-21,"Down"
"SYN2","SYN2",-7.09132788980474,6.5048009480011e-21,"Down"
"MFSD4A","MFSD4A",-5.49777075926792,6.52123317134926e-21,"Down"
"MDH1","MDH1",-1.51403772107101,8.86960607504651e-21,"Down"
"FRMPD4","FRMPD4",-5.8880038960238,1.2325808772204e-20,"Down"
"LY86-AS1","LY86-AS1",-3.46957984816233,2.00867395802837e-20,"Down"
"LOC102725213","LOC102725213",-2.40526012295549,2.06782733781934e-20,"Down"
"F2R","F2R",4.52537741407843,2.20649366761249e-20,"Up"
"ENTPD3","ENTPD3",-4.51749945321447,2.44507485099943e-20,"Down"
"STAR","STAR",-2.12245594108514,2.6968850445367e-20,"Down"
"DPH6","DPH6",2.77911116442124,3.47002495480381e-20,"Up"
"SHANK1","SHANK1",-1.85924383093761,3.47002495480381e-20,"Down"
"MIR4745","MIR4745",1.99718176964398,3.48869542446678e-20,"Up"
"IQSEC2","IQSEC2",-2.49178861545076,4.00918922500129e-20,"Down"
"ADAM11","ADAM11",-5.26182480471559,4.42035531402861e-20,"Down"
"GPR22","GPR22",-3.87906995510908,5.5115793804952e-20,"Down"
"OPALIN","OPALIN",-5.35344481831289,7.31439334088506e-20,"Down"
"KRT222","KRT222",-5.63567432128836,7.31439334088506e-20,"Down"
"CASKIN1","CASKIN1",-3.97140880203491,8.61305249372868e-20,"Down"
"PPP4R1","PPP4R1",1.64886637629033,1.00376605508932e-19,"Up"
"YJEFN3","YJEFN3",-4.04555946737127,1.15601603210294e-19,"Down"
"SCN1B","SCN1B",-3.78976407646463,1.22385714304067e-19,"Down"
"LOC101930630","LOC101930630",-1.50016103036654,1.50266785812454e-19,"Down"
"NECAB1","NECAB1",-4.39096633307725,1.59455504606357e-19,"Down"
"FNDC9","FNDC9",-3.53665138542827,1.96912807412992e-19,"Down"
"DYNLT1","DYNLT1",2.13322872281078,2.04077920875711e-19,"Up"
"LOC401220","LOC401220",-2.92578836607916,2.43175351532929e-19,"Down"
"RBM3","RBM3",2.74355770350512,2.6594662968934e-19,"Up"
