"Class","Sensitivity","Specificity"
"Normal",1,0.991452991452991
"EPN",0.934782608695652,1
"GBM",0.941176470588235,0.958333333333333
"MED",0.954545454545455,0.990740740740741
"PA",0.866666666666667,0.982608695652174
