"PC","VariancePercent"
1,23.2270863646086
2,13.4172756908804
3,11.7277253629949
4,4.06597731393101
5,3.79055260454562
6,2.90176100624653
7,2.70358460887824
8,1.84993526321152
9,1.78385778217492
10,1.59084053581889
11,1.41941669170189
12,1.2631952906455
13,1.06181339420422
14,0.9367431331364
15,0.890921966849518
16,0.872167619464102
17,0.800005445082826
18,0.766164553894167
19,0.703177385354808
20,0.681644071894988
21,0.672593118556198
22,0.623057160100214
23,0.595905058992859
24,0.574697643715097
25,0.564413179238776
26,0.530815090923753
27,0.508479332624815
28,0.493399816756996
29,0.483166626450538
30,0.464115551248788
31,0.449337514449724
32,0.443795203375484
33,0.436766200232562
34,0.413081021701894
35,0.396779631036678
36,0.392166489582733
37,0.385517661287272
38,0.366831171045204
39,0.361132694896994
40,0.353469898558878
41,0.349065350509008
42,0.345828028178858
43,0.336156372852987
44,0.329026767843579
45,0.318320443950875
46,0.312206248630669
47,0.305645630112149
48,0.299111815988316
49,0.294966809094321
50,0.285681676638716
51,0.277666673686917
52,0.275588311162712
53,0.271382455509222
54,0.262926025862317
55,0.261252671643834
56,0.255145929842187
57,0.246191359538493
58,0.244272816362809
59,0.240188017595655
60,0.23862152644446
61,0.23286074018173
62,0.229866379124296
63,0.225777067284402
64,0.219854003380864
65,0.215673606866725
66,0.206247931352028
67,0.203018526001622
68,0.199390076766874
69,0.194594945981932
70,0.192616212139581
71,0.185574038138962
72,0.183316630321683
73,0.178469619473292
74,0.177165845615116
75,0.174978845861503
76,0.170992621123136
77,0.166054420444156
78,0.16241154594845
79,0.161050727403714
80,0.159995394066684
81,0.155855356896186
82,0.151987545207078
83,0.149563105251735
84,0.146803841398685
85,0.14051868463187
86,0.136422567749611
87,0.135653150894364
88,0.134518220719765
89,0.131888866340562
90,0.125989270048466
91,0.124989393555325
92,0.122159990245188
93,0.11994951799385
94,0.116696857187675
95,0.115022828293781
96,0.113319160274648
97,0.112222221032639
98,0.109210833559255
99,0.107753627546307
100,0.106028591645678
101,0.10055241853005
102,0.0975920785054035
103,0.0926362667746434
104,0.0905272406342881
105,0.0893408281817921
106,0.0871290959013075
107,0.0863676424643981
108,0.0839109683472997
109,0.0828459632995175
110,0.0796829870610601
111,0.0779429297152903
112,0.0752566191890592
113,0.0727265631776653
114,0.070353288667849
115,0.0657639678911137
116,0.0648118755955803
117,0.0642309564423427
118,0.0638601192421305
119,0.0612918413172071
120,0.0577618071001313
121,0.0553839653267478
122,0.0500322408252958
123,0.0484582985644852
124,0.0456524931068884
125,0.0388347015655757
126,0.0297236318295585
127,0.0214370743960899
128,0.0191923844106548
129,0.0176258622445218
130,4.58073509378819e-30
