"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,1.08144307245473e-79,12804,3877,2886,0.744389992262058,0.225398313027179,"GO:0065007","GO:BP","biological regulation",20972,14784,"GO:0008150"
"query_1",TRUE,3.52301457891879e-78,12397,3877,2811,0.725045137993294,0.22674840687263,"GO:0050789","GO:BP","regulation of biological process",20972,12397,"GO:0008150;GO:0065007"
"query_1",TRUE,1.86450723345183e-75,4023,3877,1179,0.304101109104978,0.293064876957494,"GO:0048731","GO:BP","system development",20972,12138,"GO:0007275;GO:0048856"
"query_1",TRUE,5.13431295438148e-75,2597,3877,850,0.219241681712664,0.3273007316134,"GO:0007399","GO:BP","nervous system development",20972,2762,"GO:0048731"
"query_1",TRUE,2.43146355280321e-71,4690,3877,1311,0.338148052618004,0.27953091684435,"GO:0007275","GO:BP","multicellular organism development",20972,2666,"GO:0032501;GO:0048856"
"query_1",TRUE,1.17052691896891e-109,2370,4099,875,0.213466699194926,0.369198312236287,"GO:0030054","GO:CC","cell junction",22155,844,"GO:0110165"
"query_1",TRUE,3.17751015222468e-101,1608,4099,655,0.159795071968773,0.407338308457711,"GO:0045202","GO:CC","synapse",22155,2102,"GO:0030054"
"query_1",TRUE,1.27650493746433e-95,12601,4099,2923,0.71310075628202,0.231965717006587,"GO:0005737","GO:CC","cytoplasm",22155,304,"GO:0005622;GO:0110165"
"query_1",TRUE,2.38714882461424e-80,2566,4099,856,0.208831422298121,0.333593141075604,"GO:0042995","GO:CC","cell projection",22155,1807,"GO:0110165"
"query_1",TRUE,8.10405916602807e-76,2449,4099,816,0.199072944620639,0.333197223356472,"GO:0120025","GO:CC","plasma membrane bounded cell projection",22155,3370,"GO:0042995"
"query_1",TRUE,1.56999233363895e-99,15082,4037,3517,0.871191478820907,0.233191884365469,"GO:0005515","GO:MF","protein binding",20208,1455,"GO:0005488"
"query_1",TRUE,1.89445882827721e-26,6446,4037,1590,0.393856824374536,0.246664598200434,"GO:0036094","GO:MF","small molecule binding",20208,4848,"GO:0005488"
"query_1",TRUE,7.38354188489993e-26,6253,4037,1545,0.382709933118652,0.247081400927555,"GO:0043167","GO:MF","ion binding",20208,5156,"GO:0036094"
"query_1",TRUE,3.45538811717145e-23,996,4037,337,0.0834778300718355,0.338353413654618,"GO:0008092","GO:MF","cytoskeletal protein binding",20208,1507,"GO:0005515"
"query_1",TRUE,3.16238607937989e-20,2496,4037,689,0.170671290562299,0.276041666666667,"GO:0043168","GO:MF","anion binding",20208,5157,"GO:0043167"
"query_1",TRUE,4.07082031427997e-09,335,1286,140,0.108864696734059,0.417910447761194,"HP:0011182","HP","Interictal epileptiform activity",5200,9799,"HP:0025373"
