"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID","GeneTitle","Status"
-2.95159101003381,2.25987745066207,-12.6338179891831,3.84214808945138e-24,2.07756369799064e-21,44.3093229465746,"TMEM191A","84222","transmembrane protein 191A (pseudogene)","Down"
-4.73694518808336,3.25279874891195,-12.5098894087405,7.70101640157614e-24,4.05458513542984e-21,43.6256567008556,"MARCH11","441061","membrane associated ring-CH-type finger 11","Down"
-9.78023591360525,5.26785681167467,-12.504974458863,7.91647371096644e-24,4.06115101372579e-21,43.5985244890359,"SLC12A5","57468","solute carrier family 12 member 5","Down"
-6.06703914586631,3.31662673139462,-12.4124963720599,1.33081331057158e-23,6.65639547615139e-21,43.0877633681605,"CLEC2L","154790","C-type lectin domain family 2 member L","Down"
-5.5098463445985,4.40038326606988,-12.3856001094477,1.54796896725397e-23,7.37579546465275e-21,42.9391268356891,"CYP4X1","260293","cytochrome P450 family 4 subfamily X member 1","Down"
-8.67152951017278,5.28056448100621,-12.3855534341039,1.54837511628638e-23,7.37579546465275e-21,42.9388688609059,"UNC13C","440279","unc-13 homolog C","Down"
-6.40837143065519,4.0837120827768,-12.3736542223291,1.65547788630561e-23,7.70259210960845e-21,42.8730981402902,"SLC8A2","6543","solute carrier family 8 member A2","Down"
-4.96486663589874,5.29889541683917,-12.3503052433985,1.88768499872246e-23,8.58338949305462e-21,42.744019443484,"ABLIM2","84448","actin binding LIM protein family member 2","Down"
-2.11824537676332,3.67915817820438,-12.2485283796979,3.34618138426869e-23,1.48771224344586e-20,42.1810499724899,"LINC00950","92973","long intergenic non-protein coding RNA 950","Down"
-6.37720754049452,4.90162963055645,-12.1891856471344,4.67312833344184e-23,2.03250605580806e-20,41.8525684550755,"STX1A","6804","syntaxin 1A","Down"
-4.99927341540261,8.57437950111497,-12.1334291501826,6.39677324718606e-23,2.7229838799245e-20,41.5437896730579,"NCS1","23413","neuronal calcium sensor 1","Down"
-1.88226032344118,2.40737401466521,-12.1206892877561,6.87265467198478e-23,2.86460837546666e-20,41.4732169551981,"PRSS2","5645","protease, serine 2","Down"
3.16235047706158,9.59880357154941,12.0499954946072,1.0235390274575e-22,4.1791725147637e-20,41.0814801477692,"CKLF-CMTM1","100529251","CKLF-CMTM1 readthrough","Up"
-6.88615054726521,3.26846432535373,-12.0351208789896,1.11304308001459e-22,4.45373058037039e-20,40.9990284663929,"CAMK2A","815","calcium/calmodulin dependent protein kinase II alpha","Down"
-4.35489153032667,3.48280681958544,-11.9951890955212,1.39401845425983e-22,5.46865239497577e-20,40.7776377817833,"OTUD7A","161725","OTU deubiquitinase 7A","Down"
-5.39628507548544,3.23691534837834,-11.9597753568992,1.70210439158206e-22,6.54884664661199e-20,40.581243603514,"DGCR5","26220","DiGeorge syndrome critical region gene 5 (non-protein coding)","Down"
-2.99094330703377,5.07186158340071,-11.8870978892199,2.56455808451251e-22,9.68096482959279e-20,40.1780481385689,"BTBD9","114781","BTB domain containing 9","Down"
-6.52046512926651,7.05190501538846,-11.7648258329456,5.11320916935174e-22,1.88707369297974e-19,39.4993011336614,"MFSD4A","148808","major facilitator superfamily domain containing 4A","Down"
-5.42921870850872,3.56569058284213,-11.7622660377848,5.18763698275031e-22,1.88707369297974e-19,39.4850862511519,"RYR2","6262","ryanodine receptor 2","Down"
-7.94922154655894,5.19425621766692,-11.7377473427192,5.95782618003013e-22,2.12853979256898e-19,39.3489206173175,"CACNA1B","774","calcium voltage-gated channel subunit alpha1 B","Down"
-8.35716584948679,4.24372924947491,-11.6185939014013,1.16773564120969e-21,4.09875210064603e-19,38.6869536820572,"RBFOX3","146713","RNA binding protein, fox-1 homolog 3","Down"
-4.0947565240069,3.67026871192757,-11.6063240912909,1.25155050803525e-21,4.31720189901057e-19,38.6187664797862,"STYK1","55359","serine/threonine/tyrosine kinase 1","Down"
-3.14106056068821,9.62448148507361,-11.5971127479011,1.31840641525397e-21,4.47073849999765e-19,38.5675737202128,"DGKZ","8525","diacylglycerol kinase zeta","Down"
-5.09789376903116,3.1288848510503,-11.5747468766592,1.49599319206674e-21,4.98838929894654e-19,38.4432652140011,"LGI3","203190","leucine rich repeat LGI family member 3","Down"
-5.44331740514505,4.09324003078219,-11.5699305974336,1.53726310290666e-21,5.04197096718912e-19,38.4164950200286,"RGS7BP","401190","regulator of G-protein signaling 7 binding protein","Down"
