"Gene.symbol","logFC","adj.P.Val"
"MIR7-3HG",-4.99432660293846,7.37624601115431e-17
"KIAA1644",-5.06241246104392,7.41650408537651e-17
"METAP2",1.09738340744523,7.61204325167794e-17
"RAB40C",-1.71473666539613,8.63655133580161e-17
"LOC100132207",-1.12808110230927,9.18279657495155e-17
"SEC11A",1.31816235325036,9.18279657495155e-17
"BCDIN3D",2.47116373649717,9.56548514391067e-17
"RPN2",1.36746496832813,9.66649344025231e-17
"LOC100506563",-2.98361576743662,9.86942145245527e-17
"E2F5",3.26668061243938,1.1336341054954e-16
"YWHAH",-2.22573395178081,1.19182369731089e-16
"GFOD1",-2.97164111663038,1.36665447194845e-16
"CABLES1",-4.5639940482622,1.41189094640181e-16
"RFPL3",-1.10178697546548,1.4357980306098e-16
"SULT4A1",-6.26513229866273,1.52602935682764e-16
"MOAP1",-1.83071435646622,1.54329993718692e-16
"ATRAID",1.58418846378244,1.68328752429694e-16
"SOWAHA",-5.20756926950796,1.68716528314016e-16
"NDEL1",-1.7989421021476,1.68716528314016e-16
"HNRNPM",1.16334284305193,1.70896972031067e-16
"AGAP2",-3.71816550560086,1.85796292015432e-16
"NUDCD3",-1.44931037733603,1.92171231711333e-16
"KCNC4",-3.23934827075444,1.96151997416643e-16
"NKRF",-1.24495071197692,2.22730136415434e-16
"MAPK9",-1.60351860465753,2.4154881202374e-16
"CEND1",-3.44225700645464,2.72034474177548e-16
"TTC7B",-2.09000895921585,2.75137122180078e-16
"PRKCG",-3.7065667628881,2.88860877443449e-16
"PHLPP2",-1.98685405691927,2.88860877443449e-16
"PRKD3",2.42326723404273,3.34136023261448e-16
"UNC13C",-7.53074319372354,3.70372367758137e-16
"C3orf80",-3.07823673272413,3.75438219510242e-16
"VANGL2",3.68891452382918,4.08995803448451e-16
"ANKRD29",-3.61159117115779,4.19726645588499e-16
"HECTD4",-2.28279711200126,4.2495177335542e-16
"HBG2",-4.85931918075681,4.47887251828881e-16
"PIK3CB",-1.4463861675338,4.9075532002665e-16
"KDELC2",2.52438629898218,4.94136805116897e-16
"ZNF22",1.4640949867756,5.34961900311022e-16
"TPMT",-1.7817592091027,5.75187747440701e-16
"RIMS1",-6.36765889209396,5.89917741554269e-16
"LARP6",-2.3871980928457,6.55755334682648e-16
"ATXN7L3",-1.6065329053503,7.58523461298325e-16
"DDN",-4.44565960179455,8.20553686188161e-16
"LOC100506851",-1.25793943817495,8.80850689552786e-16
"WDR7",-2.13056870757173,9.02916777316035e-16
"CDK5R2",-5.15909839984714,9.76307717579649e-16
"BTBD10",-1.59989246019495,9.842105756031e-16
"SPG21",1.12412198873017,9.842105756031e-16
"CORO6",-3.93508903752098,1.00543775797558e-15
"BICDL1",-4.18114989893189,1.03581291349766e-15
"RAB3A",-4.09051707802124,1.04631728374717e-15
"SNCG",-3.76123516528988,1.07613894929785e-15
"HAUS1",2.43348025062833,1.08927040401894e-15
"CSRP2",3.07027772663844,1.11063783668985e-15
"LOC101927826",-4.20793469733386,1.11612558236241e-15
"B3GNT5",3.6427055962134,1.19469278706973e-15
"BCL2L2",-2.49539716752052,1.19469278706973e-15
"NCS1",-3.50035639699652,1.21910920165044e-15
"RYK",1.75649986533281,1.30394260274783e-15
"TESPA1",-2.0836019198265,1.33912943140864e-15
"TMEM258",1.24298417278172,1.35099339849493e-15
"LZTS3",-2.74789612305366,1.35760327340929e-15
"SMIM10L2B",-3.89950190460283,1.47752992103465e-15
"MAP7D2",-5.59570932451223,1.49697240723366e-15
"GART",2.07495593248954,1.60246780537959e-15
"PPP4C",1.69249192796713,1.63022302599118e-15
"DLGAP2",-5.05499455733281,1.70421021514074e-15
"C2CD2L",-2.01705793851203,1.78484304284989e-15
"CRY2",-2.32575112045852,1.82337277790642e-15
"NPAS4",-4.47184386264582,1.84032583729105e-15
"CEP135",2.2711393762142,1.92807994238003e-15
"JAKMIP1",-4.60778658018719,2.00899031528729e-15
"RIMS4",-3.23232018659218,2.00911277706022e-15
"MAP3K10",-2.1134334090077,2.00911277706022e-15
"NME6",2.04367972274622,2.01886916173014e-15
"KDELR2",1.71843672272465,2.02810106992005e-15
"METTL18",1.86743381277955,2.21800945064788e-15
"LOC101929748",-3.72604342142702,2.40936144001694e-15
"LOC284578",-2.78269985303715,2.40936144001694e-15
"SCN8A",-4.04864140218823,2.61369616938249e-15
"FPGT-TNNI3K",-3.04400806090723,2.97621814707725e-15
"TCF12",2.05630139337343,3.16304659240156e-15
"CAMKK2",-3.17957963704918,3.18805941909336e-15
"LYPD8",-1.8544449244052,3.29844249550266e-15
"TGFBR1",2.27518756445259,3.42180057746761e-15
"ACTL6A",2.78196270001124,3.72498192640841e-15
"TPRG1L",-2.3205427722077,3.84529434274378e-15
"GRIN1",-1.66039056404787,3.94219716297458e-15
"VSNL1",-7.80856208596917,3.99231919892558e-15
"KIAA1107",-4.95731087118108,4.06196901434569e-15
"CNST",-2.09400768665641,4.17186583756436e-15
"PPP3CA",-2.16450908339718,4.24647304731212e-15
"MAST3",-3.81887824388429,4.43901155688682e-15
"SHANK3",-3.918479553605,4.49512226544627e-15
"HS6ST3",-5.43017300094208,4.66747141247621e-15
"NDRG3",-1.96641323831644,5.2403045619102e-15
"LOC283484",-2.87084974277061,5.27831378968012e-15
"MAPRE1",1.26401578684858,5.39332701763233e-15
"UBE2J1",1.33848623596311,6.19247098030667e-15
"ADAP1",-4.44191007123748,6.48314257276113e-15
"MCM5",3.36938921858527,7.25822122395504e-15
"CC2D2A",2.93246484275832,7.33202046698702e-15
"PRPF40A",1.38800440254983,7.35384072428671e-15
"SYN1",-6.24850415658817,7.61269632838732e-15
"IFT81",2.3610622576382,7.62700618590395e-15
"SUCO",1.48496635786141,7.78572697210669e-15
"UPP2",-2.68988697902637,7.86682859766114e-15
"MSANTD1",-1.48056669942821,8.55502456394957e-15
"HNRNPD",1.21942271846284,8.67711877434634e-15
"PPP1R3F",-2.87080288453228,9.00126057444705e-15
"ST6GALNAC6",-2.12831894324294,9.08019821995871e-15
"SLC45A4",-3.23878747184103,9.13452290364924e-15
"SREK1",1.54673092976173,9.56060743100648e-15
"IDS",-1.90618025999311,9.58783249564567e-15
"TMEM130",-6.15257566858462,9.98267411203349e-15
"MAP3K9",-4.45199029991894,1.01628513131533e-14
"CALN1",-6.13712722065674,1.0201754436255e-14
"NXPH2",-4.21323210518606,1.08628698188737e-14
"KCNN1",-2.82023947253176,1.11657305840636e-14
"CCK",-6.2925012001745,1.12087399791413e-14
"LOC100507547",-3.85738017783669,1.14087673209332e-14
"CLSTN3",-2.95809029926536,1.15407889380615e-14
"VIPR1",-3.71739291369882,1.178759285379e-14
"STX1A",-5.32512575758817,1.184308419987e-14
