"Gene.symbol","logFC","adj.P.Val"
"CLCN4",-2.93792611569252,7.80727002847525e-10
"CACNG8",-2.49888077044306,8.04472712128598e-10
"PDIA3",1.37825686517054,8.04775986420891e-10
"ABTB1",-2.10654817375917,8.04775986420891e-10
"LINC00632",-3.26561741026075,8.05261714668758e-10
"TMEM184B",-1.13353576962479,8.08433001198993e-10
"FAM228A",-1.54245413477462,8.1224721586281e-10
"MYH7B",-1.12190715458968,8.33026666751236e-10
"PPIP5K1",-2.27161047062262,8.34438511706562e-10
"YPEL4",-3.91679653729534,8.89653147573856e-10
"SEPT10",2.11292362263623,9.08946039240247e-10
"ST3GAL3",-1.35238968204689,9.1450767248391e-10
"RHBDL1",-2.46956005680296,9.28348474934617e-10
"GPR6",-1.65516135338915,9.50331274282935e-10
"GSKIP",-1.11342022664524,9.77741296520369e-10
"NUP205",1.52140444580723,9.87933627198483e-10
"CEP44",1.7306019982213,9.93990304636606e-10
"TMEM25",-2.1126173530286,9.93990304636606e-10
"CARNS1",-3.56982651742722,9.9773527018914e-10
"PCDH11Y",-4.96351070359593,1.00208855122587e-09
"MYBPC1",-4.53701848750651,1.01135052797011e-09
"TSPYL2",-2.43827959876293,1.01135052797011e-09
"MIR6890",1.1083836322067,1.03435060055407e-09
"PGP",-2.09004475649487,1.06967695687851e-09
"PRMT8",-3.90078787390086,1.08377897313083e-09
"ARFIP1",1.16699161775391,1.12295516850539e-09
"PPP4R4",-4.52361684083452,1.12492119649551e-09
"NECAP1",-1.61854184606608,1.15364892892412e-09
"TMEM125",-3.52082823501387,1.17207292860777e-09
"SCAI",-2.64853663013538,1.17948552710332e-09
"FDX1L",-1.24954668350119,1.18075522941397e-09
"FBXL16",-4.49350700805201,1.18618066984794e-09
"DNAJC27",-1.88550063111105,1.19133096134059e-09
"STXBP6",-5.56210017202933,1.20498405527097e-09
"CALB2",-3.81171333746463,1.21297410671715e-09
"ENTPD6",-1.76677953529961,1.21993009285428e-09
"BTBD3",-1.71119849936588,1.24686066576074e-09
"RFPL1S",-5.50857941087548,1.31357097799733e-09
"MORC4",2.7952591281355,1.3436411136302e-09
"DNAAF5",1.71455357423964,1.34672690319509e-09
"DEF8",-1.12979982790789,1.38041978465075e-09
"CLUH",-1.34701147113722,1.38888440924647e-09
"PIGZ",-2.54589096596338,1.40329704100706e-09
"GCC1",1.13509064373787,1.41216926761223e-09
"NIFK",1.23551068712268,1.41988014978376e-09
"TRIP4",1.27322308565687,1.44739423035619e-09
"ODC1",1.87755805116588,1.45724440938496e-09
"BACH1",1.36320124884259,1.46551170648241e-09
"CACNA2D3",-4.30799814791834,1.48055190110656e-09
"FBN2",4.25308064951828,1.48403576636413e-09
"C3orf18",-1.30560482802512,1.48884697038789e-09
"ICE2",1.34135140328843,1.49492408401192e-09
"ELAC1",2.03211367137962,1.52018764022867e-09
"CNTN4",-4.64757171545043,1.55641813155568e-09
"TAF1A",2.41635150427823,1.57024883738941e-09
"PQLC1",-1.22098243332098,1.60861804808584e-09
"GOLT1A",-1.88815236221841,1.61058535651266e-09
"QDPR",-1.66177969779257,1.61058535651266e-09
"SMARCC1",1.55516223294445,1.62143971658262e-09
"LRRCC1",1.75243606982459,1.64150338084399e-09
"FGF12",-5.14529357768778,1.64621869721516e-09
"CPNE3",1.24188039013642,1.66312895950734e-09
"MARK4",-1.01160970269625,1.75272434361578e-09
"HSPG2",3.14439466017843,1.75943494157729e-09
"TTC30A",2.56751464903313,1.77105410035269e-09
"LINC01018",-1.12464651077337,1.77336999962779e-09
"SDHAF2",1.06732633442616,1.82247781179841e-09
"MCM3",1.63289882599599,1.82247781179841e-09
"PRIMPOL",1.55703752271978,1.84332628244651e-09
"PTPN5",-4.91819536777903,1.85380450571539e-09
"HSBP1",1.02117923674292,1.88993091116859e-09
"GLT1D1",-3.5770780152745,1.90098877176887e-09
"STK36",2.15834672419487,1.92046272470926e-09
"PLP2",4.03493237812057,1.9534375037753e-09
"MIR6748",1.36267245022537,1.95721141070016e-09
"DIEXF",1.45920702097994,1.980680625603e-09
"GUCY1A3",-3.20570375259822,2.00760609051068e-09
"SGSH",1.7633128717566,2.01680826330611e-09
"PTPN20",-3.77966269870973,2.02038241070083e-09
"DCLRE1B",1.824296654642,2.07057182639311e-09
"TSPYL1",-1.10216978634161,2.07774658060434e-09
"DGKQ",-1.73334344353551,2.18423833923526e-09
"IPP",1.63733907008777,2.21191403139505e-09
"ORMDL2",1.76845606095615,2.22154162235264e-09
"GAR1",1.33782927021433,2.25042042885832e-09
"KIF3A",-1.58660882634332,2.25228623929872e-09
"CNTNAP1",-3.09860622729224,2.31639295129687e-09
"SLC25A26",-1.51555091740822,2.36478519122783e-09
"XK",-3.9423975581052,2.46514124268782e-09
"SMO",3.00595932554188,2.48622289942244e-09
"LOC101927562",-3.75799881652426,2.51864388524795e-09
"LOC375196",-2.04628607596299,2.55689560384477e-09
"PRKCB",-4.77881211964511,2.56870381972717e-09
"NOC3L",1.34815491790315,2.57503099610848e-09
"WSB2",-1.01103688138331,2.58404775618542e-09
"ELAVL1",1.90133292445936,2.60279421352915e-09
"ARL13B",1.47568126959243,2.60664413526984e-09
"PIGO",1.58476926746226,2.61486861808535e-09
"SGSM1",-3.3815937397315,2.6427005659708e-09
"PDE2A",-3.80522499002709,2.65155073999967e-09
"ZFYVE27",-1.81695569625872,2.65725065884087e-09
"ZER1",-1.67422426496647,2.74861028175594e-09
"RAB11FIP2",-1.47323920623992,2.78001819905897e-09
"LYSMD2",-1.55181814613768,2.7921074408145e-09
"CENPU",4.55908519462169,2.81893431393946e-09
"VKORC1",1.49484123685528,2.81893431393946e-09
"ARHGEF40",1.56115092019605,2.86603518831227e-09
"CCSAP",-1.71766611988738,2.93563256694401e-09
"LOC101060405",-2.18915118727186,2.97523876509344e-09
"DISP1",1.70664247410427,2.98524755365514e-09
"PICK1",-1.72424895846641,3.01236121445704e-09
"CAMKV",-4.32252306540645,3.02293738065814e-09
"STT3A",2.28738761281091,3.02293738065814e-09
"EFL1",1.06699036547107,3.06970621737675e-09
"PRKDC",1.13791836833084,3.07864793554478e-09
"LOC101926887",-1.57644971607561,3.09184808456139e-09
"RBM28",1.55406201904694,3.09652258796676e-09
"CNPY4",1.59808949521985,3.26074234512996e-09
"AUH",-1.58222580634011,3.26907203312245e-09
"TSPYL4",-1.29129243259363,3.31256092862277e-09
"TOR3A",1.41598929356022,3.32502109911491e-09
"C12orf29",-1.22583811832229,3.3426883162719e-09
"MPPED1",-2.94519734926555,3.34444651770765e-09
"CAP2",-2.70736029468318,3.37170135112116e-09
"INTS9",1.3947656670382,3.41448791600964e-09
"ZNF677",1.77663262688869,3.43883041511979e-09
"UCP2",1.80244152971058,3.52101934077503e-09
"TMEM56",-3.3236087363741,3.53564269531562e-09
"KCTD4",-2.42864326327502,3.55449984174962e-09
"LMBRD2",-1.36500411870552,3.56200420177301e-09
"TRHDE-AS1",-3.1717794209693,3.57821678268646e-09
"MAPK7",2.1648492177572,3.59723329323049e-09
"MSH5-SAPCD1",2.8803444810908,3.64980346048823e-09
"TRAM1",1.24268294063905,3.68968449822324e-09
"PDE1B",-1.04710883046673,3.69607437192948e-09
"APLP1",-2.84844078007957,3.77321103791315e-09
"AIMP2",1.20311028890328,3.92167412652349e-09
"PLEKHB2",-1.1608290960818,3.97835340215521e-09
"MAST1",-4.13763153953051,3.97835340215521e-09
"RTN4R",-3.92924938262374,3.97835340215521e-09
"RCN1",1.47466144984109,3.98460895877021e-09
"GSTP1",1.18422718317034,4.02571061500904e-09
"NKIRAS1",-1.47659739466634,4.04960678984698e-09
"KIF3C",-3.33672764833998,4.04999087544622e-09
"LRR1",3.07525082094082,4.05289281835253e-09
"TPRKB",1.29781034204812,4.08530620697211e-09
"CLTB",-1.21665382357996,4.13128063669235e-09
"ZCCHC12",-3.03299651181914,4.14700572398303e-09
"DRAXIN",3.25806266442537,4.16334426403307e-09
"TCEAL9",1.13307813148415,4.18906332909193e-09
"POT1",1.2104046400466,4.32003477884955e-09
"FUS",1.11943820254036,4.32340716358935e-09
"GRASP",-1.84834187584649,4.32505348767391e-09
"PGGT1B",1.42398951471163,4.41881765958269e-09
"ARPC5L",-1.10866761198239,4.4812688396466e-09
"ERI2",1.41417752726929,4.51832315045426e-09
"ATAD2B",1.98733061264214,4.52549148761876e-09
"COG7",1.26496233196101,4.58749632023484e-09
"MRPL53",1.03142312793234,4.64560018506677e-09
"RBBP8",1.85979246516975,4.68474240059681e-09
"TRPM3",-5.63607180939303,4.68474240059681e-09
"MRE11A",1.78142517653287,4.68474240059681e-09
"TP53RK",1.90489254982024,4.68474240059681e-09
"CACNB3",-2.5883789073455,4.72786260643806e-09
"HDAC5",-1.61376023232926,4.73067016948019e-09
"GNG5",1.39390352293596,4.7420204016125e-09
"LTBP3",2.1540188375434,4.98161157950849e-09
"CMTM6",1.40260261083313,5.03112451804143e-09
"PPIL4",1.43429024090407,5.03432079017441e-09
"STON1",4.26643908150433,5.03857553163152e-09
"TMPPE",1.1914169834756,5.03857553163152e-09
"SAYSD1",1.74030635693412,5.14714237837033e-09
"ZNF709",2.49936578582452,5.17093110636503e-09
"ASPHD2",-3.22237338807667,5.26886697991954e-09
"FBXO34",-1.19836002379974,5.41747545774679e-09
"SAAL1",2.56014899875799,5.62362808423242e-09
"CASP2",1.63775262959796,5.63063219393418e-09
"COL3A1",3.35538360609177,5.63684694335128e-09
"LOC730101",2.14914569446528,5.63684694335128e-09
"CHIC1",-1.76411135603939,5.63849668020768e-09
"ADAM22",-3.38753323625234,5.6780330372379e-09
"BUB1B",4.46261875164931,5.72776970677009e-09
"MAP2K1",-1.32586122784919,5.74759856115395e-09
"SSX2IP",-2.20989835486193,5.79726162122175e-09
"LINC00909",1.27301168999408,5.91182713998371e-09
"ARHGAP17",1.13148550458185,5.97028613543216e-09
"MGAT3",-2.70171340083439,5.98978050647906e-09
"PLEKHM3",-1.85710361976529,6.0638465281365e-09
"MAP1LC3A",-1.68081653297666,6.1016682135934e-09
"DRAM2",1.40482617117225,6.1088806875877e-09
"P3H4",1.67965687601176,6.28515198791984e-09
"TCF3",1.90313827205976,6.29061396870295e-09
"CYLD",-2.09613570963098,6.29807228721041e-09
"SERPINH1",3.24787289549343,6.37012735578313e-09
"NUDT3",-1.24923879920184,6.39604468706293e-09
"VSTM2L",-4.34550506408396,6.42124099254955e-09
"LRP11",-1.45582203125563,6.42124099254955e-09
"PINK1",-1.5744217563695,6.51755517641689e-09
"SLC2A6",-2.15062693745076,6.61668806756576e-09
"NGB",-1.08751664292091,6.83051175736555e-09
"TRIM44",-1.21280801513537,6.90033054810254e-09
"EP400NL",1.07156439410105,6.95607598617071e-09
"ASPM",5.30768415520933,6.96928328025704e-09
"ANKRD9",-2.59037849188521,7.15178912535606e-09
"C5",2.18141994020578,7.15836249844673e-09
"MYT1L",-6.96624960573097,7.1667436804757e-09
"FAM217B",-1.60109233290887,7.25444957318882e-09
"CHCHD5",1.57944852909776,7.25444957318882e-09
"BAP1",-1.10722086223715,7.29052764981935e-09
"ZBED3",1.78190054010716,7.2919082548417e-09
"DYNC1I1",-4.22416431435852,7.39467396839339e-09
"LOC153811",-3.61994216811848,7.48345096212139e-09
"RGS4",-5.55765572521335,7.49051866598612e-09
"LDB3",-3.50875443633814,7.57381155558854e-09
"MIR664B",1.19911897295528,7.5849944521032e-09
"ALDH1A1",-4.5420166567338,7.85915087652885e-09
"AIMP1",1.14933510056943,7.97936515261997e-09
"TGFB1I1",3.54912632351499,7.98537212871045e-09
"SPARC",1.54638375682972,8.30696518670537e-09
"MFAP2",5.24362218788981,8.39369781157974e-09
"RP2",2.37346355695884,8.50013568149779e-09
"PIP5K1C",-2.04528465198146,8.66359873233532e-09
"IGH",-1.28280424141848,8.74686023023287e-09
"DACT3",-2.29895205999927,8.76153378849815e-09
"GOT2",-1.28186764388967,8.83717182281506e-09
"C10orf25",2.17294698580473,8.8942590818455e-09
"AMMECR1L",1.15956706803715,8.93021002975865e-09
"GRK3",-3.13769658473886,8.94692014964405e-09
"ZNF555",1.2796371928286,9.08456379953311e-09
"TCTN1",3.07981264449454,9.13137786944811e-09
"MBNL2",-1.40300639325865,9.15908776165998e-09
"VWA9",1.06532974466817,9.24860989001941e-09
"SLC25A3",-1.24916455776246,9.27857653922508e-09
"GRP",-1.54345214547403,9.39455890426181e-09
"CLN3",1.52552005089164,9.55856954975295e-09
"TIAM2",-2.98555252488889,9.56418055417251e-09
"HOMER1",-2.44424566932368,9.68855802787461e-09
"ZFP62",1.16073318567659,9.73885358342005e-09
"CACNB2",-4.35433324165983,9.87286589358792e-09
"TMEM68",1.4690755733854,1.00372615375088e-08
"ARAF",1.29675184719914,1.01565210552028e-08
"RAD51AP1",2.89999184463123,1.02910979597156e-08
"SPATA5",1.96266282474615,1.0419053713595e-08
"DBP",-2.3512048684509,1.04261851013288e-08
"C11orf54",1.18077044077896,1.06730902191722e-08
"P4HB",1.87224897739605,1.09158651746165e-08
"ROGDI",-2.45369031895352,1.10237855569219e-08
"PBK",4.92369185370144,1.11836631164033e-08
"ARHGAP26",-3.00878973254616,1.12480403818657e-08
"ASPHD1",-4.90937731270704,1.12480403818657e-08
"ZKSCAN4",1.74322494810657,1.12764072359363e-08
"IPO4",2.33951650027297,1.13539980187858e-08
"LARGE1",-3.12128458502591,1.14600471178846e-08
"PROS1",2.69162789086232,1.15855917874561e-08
"CBX3",1.07870721107744,1.1587046819941e-08
"SLC25A23",-2.17487853305503,1.16241084549162e-08
"PRTFDC1",1.32395751831912,1.17996786633354e-08
"FTSJ3",1.33097346298882,1.18302305448662e-08
"RUNDC3A",-5.5078388260192,1.19330517302341e-08
"FAM208B",1.26778651968086,1.22774218280126e-08
"HSPA12A",-3.97403255357391,1.30115649858813e-08
"LOC101929036",-3.10014453776266,1.30895307267271e-08
"RPS6KA4",-1.19672078128718,1.3243286012037e-08
"DOCK3",-3.14364841189481,1.32918669648664e-08
"MTHFD2L",2.41813840895739,1.34753915911441e-08
"CLCN6",-1.5355985389192,1.35773762994695e-08
"ATG2B",-1.2068768532221,1.38197385090237e-08
"HNRNPF",1.72990458541926,1.41208783483257e-08
"CYP26A1",-1.58464440891611,1.49462572058304e-08
"RMND5A",-1.39828505090355,1.5175806450772e-08
"LOC101928615",1.74603850716259,1.51804323501909e-08
"PTPRN",-3.32722227604832,1.52520642614218e-08
"MOB1A",1.24246010608198,1.52881561773317e-08
"DNALI1",3.7249845115969,1.54774814428239e-08
"YES1",1.49548930206048,1.54811648189257e-08
"CCDC71L",2.34700260125601,1.54954637505384e-08
"GABRB1",-5.83963436302664,1.55089385087852e-08
"MTCH2",1.31020473366673,1.55089385087852e-08
"UBE2K",-1.12962576895524,1.56164064599453e-08
"CLIC4",1.56587963410855,1.5706875327389e-08
"CBLN2",-4.94757213946687,1.57706351009521e-08
"RPS27L",1.14471971269611,1.57706351009521e-08
"SV2A",-2.59327644271433,1.60119399372603e-08
"GAS2L3",3.28486957792439,1.61012568662671e-08
"CMTR2",2.05474177721064,1.61893833595029e-08
"SERGEF",-1.47377644728147,1.63618748243881e-08
"LOC730098",-1.17614748666503,1.63952429938203e-08
"PRELID3B",1.83284447568415,1.63952429938203e-08
"RNF138",1.01252006637165,1.65458191611167e-08
"CLIP3",-1.86158573123879,1.68129686835535e-08
"PIGN",1.55246351604818,1.69854577485247e-08
"NRSN2",-1.48627447926503,1.70007000320281e-08
"NECAB3",-1.84821936689593,1.73008771200069e-08
"ATP6V1G2",-3.87833830824406,1.74323738443269e-08
"NEURL1",-2.40916342719678,1.76136644527479e-08
"ATM",1.17742610879776,1.77148990098651e-08
"PTPRN2",-1.82849272268061,1.80388416722973e-08
"PIBF1",1.52966441919507,1.80699082488139e-08
"MTMR7",-1.76792423452932,1.83573252385829e-08
"CASQ1",-2.52548162733294,1.84551084988318e-08
"DNMT3A",2.455593657376,1.84551084988318e-08
"SLC25A28",-1.30583411769507,1.88973159053534e-08
"LOC100996542",-4.83076865816884,1.90233050155754e-08
"TP53I3",2.41623168394234,1.90798722772078e-08
"THADA",1.33876694697935,1.9151263517352e-08
"NID1",2.53341042491117,1.94096299812327e-08
"MPZL1",2.17604175639744,1.95226882722171e-08
"RASL10B",-1.77417334311828,2.01587648712207e-08
"HCFC1R1",-1.37835642385392,2.02227109499635e-08
"ACSBG1",-4.7765319039933,2.05159435689551e-08
"GAL3ST4",1.74794248358061,2.06047273039337e-08
"CTPS2",1.49316783252814,2.07235739207868e-08
"SPIRE2",-2.21385546619639,2.08006776792364e-08
"PGM2L1",-3.54931122095806,2.10837732398972e-08
"MFSD11",1.51841711992623,2.11115312449991e-08
"ANKRD46",-1.1850789747578,2.13201883333133e-08
"PAK2",1.05479265878415,2.13402844700253e-08
"ASUN",1.03582709855016,2.14018565787598e-08
"TSR1",1.52795058447811,2.14323708641207e-08
"EPHX4",-2.47456501644287,2.14977993465454e-08
"TMEM237",1.52089047624674,2.15396572743934e-08
"DDHD2",-1.28090464697548,2.23541456714994e-08
"DNAJB14",-1.17198219073084,2.25834351029953e-08
"CD151",1.76031737709427,2.28455211715474e-08
"RSG1",-1.1850113559622,2.30107223623223e-08
"CORO2A",-1.79055354289566,2.30828023927474e-08
"COPG2IT1",-4.24591503934636,2.4083011661419e-08
"BAZ1A",2.30303496607686,2.41513085506616e-08
"MMP24-AS1",-1.34269456243466,2.44713199617066e-08
"TMEM185B",2.26225659315733,2.54124231944925e-08
"RB1",1.16300409251492,2.56104762223936e-08
"SNORA68",1.22348437240217,2.56327072605138e-08
"BTBD7",1.32166075976213,2.63135066738531e-08
"DKFZP761C1711",-1.02731134930789,2.65666900655987e-08
"DESI1",-1.46750696169422,2.69446547143732e-08
"B4GALNT1",-2.73626726872827,2.71252209192458e-08
"TMEM235",-2.80133479925063,2.73250090158922e-08
"RBL1",2.13938690008684,2.73359250108331e-08
"CYB561D1",-1.20140535536963,2.77940921052194e-08
"PITPNM1",-2.41038241025622,2.78739212484129e-08
"USP27X",-1.231917921467,2.79352630974988e-08
"CDKN2D",-3.13256312972716,2.79352630974988e-08
"QSER1",1.27868448358665,2.79822663239375e-08
"SLC25A12",-1.31303127663361,2.86491041630918e-08
"AQR",1.16727741732228,2.91926301410749e-08
"MAD2L2",1.61325981130519,2.92238059910541e-08
"GTF2H2C_2",1.66502241371742,2.96049416790793e-08
"RGS14",-1.43263916419586,2.96258094631544e-08
"GPR158",-3.69719692729323,2.96891809900678e-08
"CETN3",1.29688342222235,2.99436697400817e-08
"NKAPL",-1.65493032063971,2.99625208461903e-08
"CRELD1",-1.64774917135313,3.02915068123012e-08
"SYS1-DBNDD2",-2.3919868302862,3.03429337532471e-08
"ZC3HC1",1.01246789196706,3.03715982247016e-08
"AZIN2",-1.54905613566759,3.06885648608442e-08
"LOC100131170",-2.33207413121999,3.08508900775157e-08
"DDX60L",2.6247182704873,3.12125232969495e-08
"WDR34",1.96701952523129,3.15926379405302e-08
"ALG8",1.10279235049053,3.16507381065875e-08
"RECQL",1.71040855171696,3.18629342165772e-08
"RORB",-3.65335231945345,3.23561535621797e-08
"LUZP1",-1.73829472759053,3.24917658081077e-08
"SNRNP25",-1.1497244760522,3.25391855434729e-08
"BEND6",-3.66428308787601,3.2815852505877e-08
"TSC22D1-AS1",-1.88167190265089,3.28178517045627e-08
"SSRP1",1.08747996099993,3.31230549419713e-08
"PRSS16",-1.20948236130237,3.38018903550744e-08
"RRP36",1.3413075908071,3.39595824744077e-08
"ZNF670",1.94360505390341,3.48101052232922e-08
"RBP1",2.89176130615568,3.50141490664542e-08
"GPCPD1",1.9016244979758,3.50141490664542e-08
"MIA-RAB4B",-1.17128572642729,3.58737769609563e-08
"CNIH4",1.38679822870855,3.61137772665777e-08
"RAPGEF4",-3.85491433462887,3.62861867537394e-08
"ADRB1",-4.96585688280178,3.69125689286634e-08
"DUS4L",1.31138220211676,3.69125689286634e-08
"ZMYM1",1.71389376723004,3.70468162356678e-08
"DVL3",1.08006801337495,3.76088780446966e-08
"SPTBN2",-2.89952490046654,3.78179393533933e-08
"AP1G2",-1.57176468820171,3.82345305567711e-08
"CDCA3",2.98390905978382,3.8477375643375e-08
"TNFSF9",-1.1600915560313,3.85596147748012e-08
"PCNX4",1.6796894496476,3.8636848207694e-08
"DNM1L",-1.03755652831394,3.97432367657258e-08
"ZNF501",1.84773655243339,3.99157059947348e-08
"CCT6A",1.13858300767698,4.01041553951943e-08
"KCTD13",-2.02215586341868,4.11311791365476e-08
"DOCK9",-1.9359336532029,4.12437878271948e-08
"GABBR1",-3.32908811564058,4.32189791071954e-08
"ERCC8",1.53154510084102,4.33162377274226e-08
"ELP2",1.12657015025516,4.35243679059046e-08
"HAPLN2",-3.14137740022748,4.39840642581764e-08
"PPP4R2",1.16966855761945,4.4317420642685e-08
"CACNG2",-4.07019975808758,4.4317420642685e-08
"CELF5",-4.83689539982848,4.43365118861348e-08
"FBXO4",1.35750579046955,4.43365118861348e-08
"TAC1",-5.70114325745727,4.45039939243666e-08
"CCNB2",4.73125958122169,4.45074033933307e-08
"PLEKHA6",-3.30691284590631,4.49570731263598e-08
"SLC25A4",-1.11180756499106,4.51050659305086e-08
"SOCS4",1.02087765705233,4.52587720447592e-08
"CASP8",3.56118483101722,4.53834497630298e-08
"BRSK2",-3.04322127012275,4.54534949517548e-08
"DCLK3",-1.4507986380545,4.55173033570018e-08
"RUSC1",-1.62162642341953,4.59877261382328e-08
"CENPF",4.93260173343129,4.61805408033776e-08
"FPGT",1.46442359971558,4.61805408033776e-08
"GABPB1-AS1",2.1342961847833,4.64871257990889e-08
"BEX5",-4.65135706448725,4.67920811848646e-08
"RRM1",1.45668021529224,4.75471275999121e-08
"GRIPAP1",-1.26245723221651,4.80093558184198e-08
"SATB2-AS1",-1.31762673771703,4.8030768551954e-08
"IGSF8",-2.99357771972577,4.80891591674833e-08
"REST",2.43462527873991,4.92768370231104e-08
"PDIA2",-2.96756509440802,4.96789783459707e-08
"CPXM1",4.39781552724319,5.01843435820207e-08
"NEURL4",-1.3712098201434,5.04060581708307e-08
"SLC7A14",-4.93573295940178,5.05855937506253e-08
"RIMS2",-4.92489653578376,5.15469012826612e-08
"ODF2",1.77987630757028,5.16118915246741e-08
"SLC24A1",2.18663351262393,5.16451414171224e-08
"FNDC3A",1.1977138272687,5.1867649180589e-08
"ZNF627",1.74538734179802,5.24472468985958e-08
"PGD",1.33893257525325,5.25088998464709e-08
"NUP54",1.11116663913222,5.26424606425876e-08
"NPY",-4.68207411286588,5.27593807343453e-08
"PXYLP1",1.68523122804543,5.27593807343453e-08
"CFI",5.47805463170374,5.27593807343453e-08
"RASGRP1",-4.51992668900303,5.27593807343453e-08
"CTTNBP2NL",1.1108154645906,5.29634250710077e-08
"STXBP5",-1.72333154157219,5.34690272636089e-08
"RAPGEF2",-1.17309649666726,5.35529570034068e-08
"ALG5",1.01829352206305,5.35623286988485e-08
"PRH1-PRR4",-1.5864729290643,5.41441796565036e-08
"CRHBP",-2.73505926459047,5.41916658878616e-08
"HPS5",1.18927615758179,5.48273981626422e-08
"NAV3",-3.17316426498528,5.55483174110999e-08
"ARHGAP42",2.50078423634944,5.57422837707987e-08
"CACYBP",-1.05510439105602,5.72886017978549e-08
"RFT1",1.46063408701334,5.78520057075091e-08
"NWD2",-4.7451242131885,5.79287347047463e-08
"PLEKHF2",1.88648395847507,5.79287347047463e-08
"RANGAP1",-1.31433135760145,5.89045859209171e-08
"PPP2R3B",2.3761218396236,5.90377615820479e-08
"PP14571",-1.09157078672867,5.94440764443042e-08
"SLC16A4",2.84537508272761,6.05198621513141e-08
"CAMK1G",-2.27646245532591,6.0920916952568e-08
"ZNF117",1.93434724814687,6.1067960423369e-08
"NIPAL3",-2.18964304337108,6.1067960423369e-08
"IRAK1BP1",2.57826003745851,6.16590818594127e-08
"ADNP",1.03465805983616,6.25447926445793e-08
"VANGL1",2.38014996456173,6.29050437607898e-08
"ASRGL1",-1.57296701526726,6.3652321460517e-08
"PPP1R18",2.31188164582642,6.36928746004189e-08
"PKN2",1.10168819543141,6.46599149534412e-08
"DTL",4.62464923568961,6.49405881197963e-08
"LOC101928433",-2.43555772541604,6.51172924938954e-08
"AJUBA",3.93304981871854,6.5146506109335e-08
"CADPS2",-4.29598202977725,6.51666483211227e-08
"CAPN2",1.00595136659277,6.52691926396093e-08
"GREM1",-3.14624053286647,6.52691926396093e-08
"DDX60",2.49247109526955,6.57313434199142e-08
"TCAP",-1.64714548061164,6.68728713572949e-08
"SIK3",-1.56123642741052,6.73956391520655e-08
"CACNA1I",-2.92480115950421,6.75755518575311e-08
"XPR1",1.99795218148402,6.78258481812649e-08
"NAP1L3",-2.07674079055878,6.8180324556793e-08
"CLIC5",-2.70693823703505,6.85827739140257e-08
"DDX39A",1.57131500344101,6.941198673543e-08
"COL6A1",2.36330305445772,6.947082358529e-08
"ALPPL2",-1.10077569647429,7.00267147794403e-08
"PITPNM2",-1.7950019964142,7.07918652496468e-08
"NOL12",1.73134409132038,7.12152374265992e-08
"MCF2",-3.47607659585181,7.13158407494317e-08
"TMED8",-1.09782114382032,7.19847831466028e-08
"UBE2O",-1.6426655397073,7.29317214497472e-08
"VPS36",-1.35247397537976,7.32058004243599e-08
"TNFSF10",3.03483266314102,7.34597064278188e-08
"PNOC",-3.85332282545543,7.39086191792514e-08
"PNCK",-2.14282842566404,7.46074240979998e-08
"ZNF621",1.57303109338054,7.48523716681886e-08
"WNT5A",3.78467910964287,7.54131119668266e-08
"LONRF2",-2.84633581452709,7.55573370194142e-08
"FAM57A",2.47002994871459,7.58011011799121e-08
"FAM43B",-2.05508026788587,7.59845716037669e-08
"CCDC85B",-1.50204073561079,7.62186417078657e-08
"ARSD",1.6293792515729,7.69410453003012e-08
"MRVI1",-2.72200449832899,7.79545905970118e-08
"POLD3",1.29852131834095,7.9022565870392e-08
"TUBB2A",-1.10599202172848,7.91401375363769e-08
"CEP192",1.92367098122886,7.93358643240069e-08
"SDHAF1",-1.29134632967088,7.94213706952913e-08
"MPP7",-2.68899691495201,7.96485852092343e-08
"SLC17A6",-5.3936276413167,8.05180170678053e-08
"NAPG",-1.31170532875221,8.15584152467274e-08
"RNPEP",1.05643037729612,8.17060428609047e-08
"SGIP1",-4.11456322653235,8.32122198900726e-08
"NCAPD2",1.88666472796634,8.35431563173354e-08
"CLIC1",2.63566183018421,8.37257769016844e-08
"CDYL",1.06257158335976,8.45433583482056e-08
"AP3B1",1.27736546802557,8.45433583482056e-08
"PHC1",1.6056118451806,8.55718815747487e-08
"COL1A1",3.35653707172169,8.56839449959623e-08
"TECPR1",-1.35959641080427,8.57838370328103e-08
"RFXANK",1.29936448499217,8.62394562940158e-08
"SUCLA2",-1.10914696599416,8.65719169689528e-08
"FMNL3",2.37719275678001,8.65719169689528e-08
"BEGAIN",-2.57258079324156,8.66086762037433e-08
"GALNTL5",-1.05266392375405,8.70990873296144e-08
"LOC101930241",-2.27084075026766,8.75329540560936e-08
"SRSF10",1.03416431859974,8.76730103892e-08
"POP5",1.11256635078231,8.80136657416945e-08
"ABHD14A-ACY1",1.29832562415456,8.96218624376348e-08
"LOXL1",3.86350198250453,9.05349680684277e-08
"LLPH",1.0140586281737,9.06693289240679e-08
"NCAPG2",2.21689813223878,9.13611498887576e-08
"LRRC7",-3.90023391954747,9.15045249707251e-08
"PRMT5",1.0161296946806,9.29136465229875e-08
"DERA",1.12568243819302,9.39219496779833e-08
"DSE",1.93964222815595,9.50064382731541e-08
"MYD88",1.78836677041321,9.50064382731541e-08
"KCNIP2",-2.723927843705,9.5990066341789e-08
"LIPT1",1.22919013169079,9.62766644387553e-08
"MCTP1",-3.7497807583002,9.69928803072198e-08
"APEX1",1.02955011673779,9.76405599210939e-08
