Metric,Rank,GeneSymbol,Value,Degree,Strength,Closeness,Betweenness,EigenCentrality,Status
Degree,1,STYK1,29.0,29,26.1268408487566,0.434362445645402,0.021239160487621,0.978514879756229,Down
Degree,2,DCTN1-AS1,25.0,25,22.1703635137924,0.432478340312277,0.0116878220434837,0.817917340426479,Down
Degree,3,KCNV1,25.0,25,22.927828447103,0.406775812995705,0.005655397762976,1.0,Down
Degree,4,LINC00507,23.0,23,21.0758447215603,0.401119591385332,0.0011729713878765,0.975903120373817,Down
Degree,5,LY86-AS1,23.0,23,21.1604779921301,0.402042272216736,0.0010054040467512,0.980093362298751,Down
Degree,6,LINC01123,21.0,21,18.8800364752612,0.365277982112126,4.18918352813037e-05,0.887527790525862,Down
Degree,7,SLC26A4-AS1,21.0,21,19.305277743438,0.36932699708811,0.0002932428469691,0.929682011003689,Down
Degree,8,SDR16C5,19.0,19,16.6912377358208,0.4396531284176,0.019312136064681,0.48337063668905,Down
Degree,9,TMEM191A,19.0,19,16.8938946925856,0.383734960098808,0.0013405387290017,0.812631414112348,Down
Degree,10,ANKRD34C,18.0,18,15.6731193161312,0.437853395018457,0.0085878262326672,0.358612355074401,Down
Strength,1,STYK1,26.1268408487566,29,26.1268408487566,0.434362445645402,0.021239160487621,0.978514879756229,Down
Strength,2,KCNV1,22.927828447103,25,22.927828447103,0.406775812995705,0.005655397762976,1.0,Down
Strength,3,DCTN1-AS1,22.1703635137924,25,22.1703635137924,0.432478340312277,0.0116878220434837,0.817917340426479,Down
Strength,4,LY86-AS1,21.1604779921301,23,21.1604779921301,0.402042272216736,0.0010054040467512,0.980093362298751,Down
Strength,5,LINC00507,21.0758447215603,23,21.0758447215603,0.401119591385332,0.0011729713878765,0.975903120373817,Down
Strength,6,SLC26A4-AS1,19.305277743438,21,19.305277743438,0.36932699708811,0.0002932428469691,0.929682011003689,Down
Strength,7,LINC01123,18.8800364752612,21,18.8800364752612,0.365277982112126,4.18918352813037e-05,0.887527790525862,Down
Strength,8,TMEM191A,16.8938946925856,19,16.8938946925856,0.383734960098808,0.0013405387290017,0.812631414112348,Down
Strength,9,SDR16C5,16.6912377358208,19,16.6912377358208,0.4396531284176,0.019312136064681,0.48337063668905,Down
Strength,10,MCHR2,16.4230389931719,18,16.4230389931719,0.360179084666236,0.0,0.815315990190452,Down
Betweenness,1,STYK1,0.021239160487621,29,26.1268408487566,0.434362445645402,0.021239160487621,0.978514879756229,Down
Betweenness,2,SDR16C5,0.019312136064681,19,16.6912377358208,0.4396531284176,0.019312136064681,0.48337063668905,Down
Betweenness,3,CARMIL2,0.018893217711868,7,6.04675547637432,0.370262315057667,0.018893217711868,0.0681136699007967,Down
Betweenness,4,IQSEC3,0.0143270076662059,2,1.7079330832382,0.275660675738234,0.0143270076662059,0.0037520115512184,Down
Betweenness,5,SLC12A5,0.0123161995727033,4,3.46469185624681,0.217541829797042,0.0123161995727033,0.0002069613376141,Down
Betweenness,6,DCTN1-AS1,0.0116878220434837,25,22.1703635137924,0.432478340312277,0.0116878220434837,0.817917340426479,Down
Betweenness,7,GLS2,0.0115621465376398,12,10.4859629231973,0.391593284185541,0.0115621465376398,0.164074532776556,Down
Betweenness,8,CNNM1,0.0104310669850446,9,7.79799352921557,0.389756461060099,0.0104310669850446,0.171658044022915,Down
Betweenness,9,ANKRD34C,0.0085878262326672,18,15.6731193161312,0.437853395018457,0.0085878262326672,0.358612355074401,Down
Betweenness,10,PRSS3,0.0062837752921955,8,7.06622407988415,0.346761986470469,0.0062837752921955,0.0786839405800525,Down
