"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","46/1921","89/9400",0.51685393258427,2.52911346501413,7.34546499163601,5.13406501578285e-11,1.78665462549243e-08,1.11328146658028e-08,"27165/140679/2557/2572/57468/2554/2561/2773/5582/10681/3763/2555/2566/2563/5567/111/774/5579/2787/2560/2550/107/2785/23710/6529/2571/776/5334/55970/2788/2744/2562/9568/51764/10243/2565/2558/115/2559/92745/6538/2770/114/108/5578/18",46
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","108/1921","299/9400",0.361204013377926,1.76747408940786,6.83498396175641,1.29075003755614e-10,2.24590506534768e-08,1.39944477756087e-08,"8541/57524/5058/57731/4008/91768/5601/5582/5291/22999/6334/5962/84623/56924/3688/3786/84552/5818/4099/7277/11141/25/50855/2036/8497/10382/3736/5588/8506/5579/81873/5604/117178/5062/6712/9693/7280/5600/3737/139065/8499/208/288/1445/6586/145581/8826/8829/5063/3384/5829/9423/10458/287/90249/26047/3676/57144/3785/5817/4478/8633/114798/6900/23607/55558/9901/137970/26050/4629/9223/57689/3897/5819/5362/4133/998/5789/4301/6709/22865/5602/6092/23136/84617/253559/8832/56253/3383/91584/3791/22829/150084/5599/962/3556/3678/23114/6300/10095/57180/342035/3689/4897/5578/3937/57522/999",108
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","54/1921","116/9400",0.46551724137931,2.27790841695238,7.01849346664494,1.95336220551118e-10,2.26590015839297e-08,1.41190390994844e-08,"27165/23154/50944/1742/2773/5582/9762/2902/5530/85358/2913/10681/5532/3708/57030/5567/111/5579/2787/157/9456/57084/2915/2912/23236/3760/22941/107/2785/6511/5534/6506/9229/2905/776/55970/2788/8605/5332/2903/2744/2911/51764/115/6505/2893/2898/2891/2770/2892/2890/114/108/5578",54
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","107/1921","300/9400",0.356666666666667,1.74527155995141,6.64870739548854,3.68702428488112e-10,3.20771112784657e-08,1.99875527022503e-08,"10368/5058/6416/23542/5601/5582/4294/7046/5530/4293/7157/5924/627/23162/785/5532/5801/51135/1849/5567/1845/774/59283/55799/84867/5579/5598/784/5604/783/369/8986/5062/10369/10125/9693/8911/4615/5600/51701/2316/7786/208/777/3551/5494/5534/3815/4137/4775/776/22808/782/55970/7048/408/4208/8605/2321/5970/4609/1844/10746/3164/8913/355/998/5871/2254/7040/7867/5602/284/6196/3925/4214/1944/27330/5880/3791/56034/3479/2246/5979/285/5599/2064/2122/3556/781/7422/4772/3310/9254/4217/7132/3553/2263/6300/1326/2261/2066/5578/7424/2065/4616/27092",107
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","45/1921","91/9400",0.494505494505495,2.4197561938322,6.89708683196431,5.51806135696211e-10,3.84057070444563e-08,2.39309608322988e-08,"140679/2557/3765/2554/2561/2773/5582/10681/3763/2555/2566/2563/5136/5567/111/774/5579/5138/5153/2787/157/2560/2550/3760/107/2785/5141/55970/408/2788/2562/9568/51764/2565/2558/115/2559/5137/2770/27115/134/10846/114/108/5578",45
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","78/1921","199/9400",0.391959798994975,1.91797090606599,6.63316316666839,6.9626674648261e-10,4.03834712959914e-08,2.51633245220031e-08,"140679/2557/2554/3361/3356/2561/2773/5582/2902/2913/5179/1128/10681/4986/2555/2566/2563/11255/3354/57030/5567/111/5579/2787/2560/153/2550/6863/5368/57084/3358/2915/150/1136/2912/23236/107/2785/6511/6506/6529/5173/2905/55970/3363/2788/6866/5332/2903/2911/2562/9568/51764/2565/2743/2558/115/6505/5026/2893/2559/2774/1131/2898/2891/6538/2770/2892/5025/134/2890/6869/79627/114/108/6536/5578/5028",78
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","85/1921","233/9400",0.36480686695279,1.78510387785332,6.14998714407389,7.29873886833065e-09,3.62851589454152e-07,2.26096271710694e-07,"57731/83660/1466/7431/22795/3688/79188/271/3930/57644/4604/2201/3339/1281/11155/4811/6712/8557/1291/1277/91010/288/1278/633/1282/1829/1462/1292/2026/287/1284/1289/29767/23224/3676/2318/4001/476/2335/4000/481/2006/752/29766/4629/64423/2200/7138/825/255631/3908/88/7094/9124/7059/81624/1288/3696/284217/84823/6709/23345/6640/9260/1293/6385/3672/3673/23500/1290/3678/1824/72/7171/161176/482/70/6382/1465/56776/7791/10529/477/84467/27295",85
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","62/1921","154/9400",0.402597402597403,1.97002372952399,6.1510394861511,1.18617228865693e-08,5.15984945565764e-07,3.21515120346484e-07,"815/6262/10368/7226/3765/2773/5582/10645/5530/816/814/785/808/5532/3763/54776/818/3708/5567/111/6093/59283/55799/5579/5598/784/5604/783/10369/57172/8536/23236/3760/107/57118/5534/9475/4775/776/4878/782/4208/8605/5332/6261/3761/5563/91860/115/5997/595/4660/2770/781/4772/9254/114/108/3759/5743/5578/27092",62
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","62/1921","158/9400",0.392405063291139,1.92014971105503,5.91135166344205,3.72683421872323e-08,1.44104256457298e-06,8.9792730883858e-07,"7465/1017/8243/983/1875/7533/4174/7157/4171/5526/1019/7532/10403/25/4172/5591/701/472/5925/5933/1032/10459/9133/4089/9126/1031/1111/7272/5111/57082/9700/2810/3065/4999/26271/4085/10274/4176/25906/699/4173/890/891/4609/1663/991/81620/9212/6502/9232/7040/5525/11200/1021/595/1030/993/113130/1029/995/10926/4616",62
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","54/1921","133/9400",0.406015037593985,1.98674719072538,5.80824434452309,7.38412861307358e-08,2.56805237849432e-06,1.60017782809991e-06,"815/3765/50632/2773/5601/5582/5530/816/10681/808/5532/3763/5526/818/3708/5567/3800/111/774/5579/2787/28227/5600/208/23236/3760/2785/148327/5522/776/55970/408/2788/3798/5332/2903/6323/51764/64764/91860/5525/5602/2893/2774/2891/5599/2770/2892/5521/2890/6300/84152/5578/4128",54
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","43/1921","97/9400",0.443298969072165,2.16918808395541,5.86599215418123,8.11740694351653e-08,2.56805237849432e-06,1.60017782809991e-06,"815/6262/3765/2773/5582/2902/816/10681/808/3763/9722/818/3708/5567/111/5579/2787/8911/23236/3760/107/2785/2905/116/776/55970/2788/5332/2903/6261/4842/51764/8913/91860/115/2893/2891/2770/2892/2890/114/108/5578",43
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","43/1921","98/9400",0.438775510204082,2.14705351167015,5.78483917661675,1.1637642932403e-07,3.37491645039688e-06,2.10294249480265e-06,"815/6770/492/5581/5582/23683/816/814/808/491/466/818/3708/5567/111/51305/5579/5138/57172/8911/8536/23236/107/57118/4929/148327/776/4878/3777/5332/476/481/3164/64764/8913/91860/115/5587/482/477/114/108/5578",43
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","68/1921","184/9400",0.369565217391304,1.80838784147749,5.61229113790018,1.31642030669827e-07,3.52395589793075e-06,2.19581039012019e-06,"815/84448/5058/2773/5291/6259/5530/5590/816/64218/55740/5532/56924/3688/27289/84552/2051/56920/818/25/50855/6093/1020/6608/5062/7474/7852/2044/6586/8829/5063/23654/5534/9475/9423/90249/4775/57144/10505/8633/8482/22854/55558/9901/2043/137970/2050/57689/84628/3897/3985/5362/54437/998/22885/6092/1944/7222/5880/91584/64101/2045/2770/3984/25791/5578/10371/57522",68
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","39/1921","86/9400",0.453488372093023,2.21904773434379,5.75551991649436,1.5457131468006e-07,3.84220125061863e-06,2.39411209203702e-06,"815/6262/5582/5864/3780/885/6804/816/27445/818/5567/111/5579/11069/9699/6616/23236/107/148327/6833/116/776/27345/5332/476/6844/481/64764/3781/115/2645/1131/482/477/114/3779/108/10242/5578",39
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","86/1921","254/9400",0.338582677165354,1.6567814499502,5.37780286945877,2.92712661837336e-07,6.79093375462619e-06,4.23149532199938e-06,"815/6262/887/2149/3706/3361/492/3356/5582/2902/5530/6543/816/814/1128/808/5532/491/818/3708/5136/5567/2185/774/5579/5153/844/153/291/57172/8911/3358/2915/7852/8536/90550/777/23236/107/57118/5534/2905/51196/4775/776/3363/5332/2903/6261/2911/2321/6547/4842/6588/8913/1909/91860/2254/115/5026/53373/8877/80271/2774/1131/3791/56034/5137/2246/5979/2064/5260/9630/7422/4772/5025/6869/2263/4485/114/2261/2066/108/5578/7424/2065",86
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","57/1921","149/9400",0.38255033557047,1.87192772220844,5.43703364229045,3.60997921487903e-07,7.85170479236188e-06,4.89247183069131e-06,"140679/2557/3765/2554/2561/2773/5601/5582/22999/10681/3763/2555/2566/2166/2563/3708/57030/5567/111/774/5579/2787/2560/57084/5600/2915/23236/3760/107/2785/776/55970/2788/5332/2911/2562/11343/51764/2565/2558/115/5602/2893/2559/57406/2891/5599/2770/2892/2890/6300/114/108/1268/5743/100532726/5578",57
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","42/1921","101/9400",0.415841584158416,2.03483128114998,5.29901137599573,9.61482392205747e-07,1.96821101463294e-05,1.22641097705501e-05,"5581/5601/5291/7046/5590/1019/5579/1281/1277/5600/4089/208/23236/50507/1278/1282/1906/1284/51196/6776/7048/5332/6347/2335/5970/3576/7412/5054/998/1288/7040/5602/3383/595/5599/7422/4772/3553/6300/4313/5578/7424",42
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","58/1921","157/9400",0.369426751592357,1.80771028889545,5.17227616696908,1.10671224517467e-06,2.13964367400436e-05,1.33323229535662e-05,"1017/983/1875/5291/7046/5530/7157/808/5532/1019/3708/5928/1978/5604/472/5925/5933/9133/291/824/5600/208/8945/90550/1111/5534/4775/776/22808/7048/7248/2113/2305/890/891/5970/4609/678/3135/3105/3576/5054/91860/3106/7040/11200/1021/595/3134/4772/83593/1030/10758/993/6300/1029/4605/4616",58
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","35/1921","79/9400",0.443037974683544,2.16791096409439,5.28292892430912,1.31155879725141e-06,2.40222348128153e-05,1.49684826722321e-05,"140679/112755/10814/23025/440279/22999/5864/6804/6812/529/10815/1759/51606/6857/57030/51382/523/774/1212/534/57084/26052/535/6616/6511/526/6506/6529/6844/1785/6505/6538/6809/594855/6536",35
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","50/1921","130/9400",0.384615384615385,1.88203259520282,5.1321481457712,1.54773945954924e-06,2.69306665961568e-05,1.6780754140376e-05,"6416/59350/2773/5601/5291/7046/5590/10681/5567/111/2787/1281/5604/1277/5600/208/23236/107/2785/148327/1278/1282/1906/1284/55970/7048/408/2788/5332/5970/4842/51764/64764/1288/115/7040/5602/25759/53358/59/5599/2770/4318/7422/6300/4313/114/108/5578/7424",50
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","22/1921","41/9400",0.536585365853659,2.62566498647808,5.28677706586739,2.54924148358455e-06,4.22445731565439e-05,2.63229947678404e-05,"140679/2557/2554/2561/2902/2555/2566/2563/57030/774/2560/57084/2905/2903/2562/2565/2558/2893/2559/2891/2892/2890",22
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","75/1921","224/9400",0.334821428571429,1.63837658957388,4.90068738355268,2.69245894410036e-06,4.25898051157693e-05,2.65381120806064e-05,"1017/83660/6416/5601/5291/7046/5530/7157/5532/1019/5567/111/701/5604/6929/472/5925/9133/291/4089/1031/208/1111/1739/3551/107/8829/148327/5534/706/4775/9700/6776/7048/2113/4085/9519/25906/890/5970/4609/3122/2114/3108/3135/64764/3105/991/9232/7094/811/3106/115/7040/11200/5602/4214/3383/595/3134/5599/3117/3113/4772/1030/3718/3123/7132/3111/1029/114/108/3689/7850/3115",75
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","20/1921","36/9400",0.555555555555556,2.71849152640407,5.23540982327898,3.57709195392069e-06,5.41229565201914e-05,3.37245282612203e-05,"4174/4171/5981/6742/10535/5422/4172/10714/5427/5424/5111/5982/4176/4173/5985/5558/5983/3978/5984/5557",20
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","30/1921","67/9400",0.447761194029851,2.19102302128089,4.95826420872331,5.69353654941642e-06,8.25562799665381e-05,5.1441602157008e-05,"815/5582/2902/5530/816/814/808/5532/818/3708/5567/5579/5604/369/2915/23236/107/5534/2905/5332/2903/2911/91860/5502/6196/27330/2891/2890/114/5578",30
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","74/1921","226/9400",0.327433628318584,1.60222597927886,4.64426592338464,7.79658411900377e-06,0.000108528450936532,6.76251085690432e-05,"815/6262/2149/6750/5058/492/7432/2773/5601/5291/2902/816/814/1128/627/808/610/1392/491/818/3354/5567/111/6093/5604/11069/153/2550/4852/208/107/10257/148327/9475/1906/2905/5141/51196/116/776/4878/7074/2903/476/481/5970/9568/4886/64764/5348/1909/91860/115/4301/64399/5602/2893/5880/2891/5599/6752/2770/2892/4772/134/2890/64411/10846/482/6751/84152/477/114/108",74
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","68/1921","204/9400",0.333333333333333,1.63109491584244,4.61841573891009,9.23954633032622e-06,0.000123667773959751,7.70585645363239e-05,"815/5058/5582/5291/7157/5962/816/3688/54776/8323/818/3708/5567/967/6093/3339/6608/5579/5604/369/7474/1277/5600/2316/208/288/8826/7480/5829/1278/286/9475/287/51196/22808/4478/7074/2535/2335/4609/355/2549/998/960/7040/857/6385/595/3791/3673/4660/3479/4060/5328/2064/5329/4318/7422/3678/8321/6382/6300/406991/4313/2066/858/5578/2065",68
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","70/1921","212/9400",0.330188679245283,1.61570722795714,4.59530593151027,9.89766734841959e-06,0.000127569934712964,7.94900379639156e-05,"2149/83660/2773/5582/23683/5291/2902/5590/55740/808/3688/84552/9771/50855/111/5579/5604/10636/11069/9693/5600/5216/208/23236/107/3815/5909/51196/22808/7074/5332/2903/51466/2321/9732/9223/2846/998/26037/7094/91860/2254/115/4301/284/1944/5880/3791/56034/3479/2246/285/2770/5587/7422/83593/64411/2263/6300/9170/114/2261/108/3689/1268/5578/3937/5028/7424/999",70
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","32/1921","76/9400",0.421052631578947,2.06033042001151,4.7035918098125,1.35960325069146e-05,0.000168979261157367,0.000105292582572346,"815/887/6750/2773/5582/816/808/818/3708/5567/111/5579/23236/107/6522/5332/476/481/91860/115/54207/1131/6752/2770/482/3773/115111/477/114/108/3759/5578",32
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","54/1921","154/9400",0.350649350649351,1.71582711926283,4.53914759178535,1.51825966540709e-05,0.000182191159848851,0.000113525042132073,"815/6262/10368/6324/492/2773/6543/816/785/808/491/5526/818/5567/111/59283/55799/784/783/11069/153/10369/28227/5600/208/23236/107/148327/6330/5522/776/782/5332/476/481/6547/64764/91860/5502/115/5525/2770/781/5521/9254/7171/482/70/6300/477/114/108/5578/27092",54
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","73/1921","227/9400",0.3215859030837,1.57361139457927,4.43361259627667,1.80812749581297e-05,0.000209742789514305,0.000130692724258762,"2773/5582/5291/5530/7157/3588/10681/808/5532/1019/10672/3708/5567/111/2185/1978/6093/2923/5579/2787/5604/5925/841/5600/7852/208/23236/3551/107/2785/148327/5829/5534/9475/414062/4775/55970/7248/2788/5332/6347/5970/4609/3135/51764/64764/3105/6351/355/6376/1234/3576/811/91860/3106/115/1021/595/5880/3134/2770/7422/4772/7132/3553/6300/11214/1029/114/108/5743/5578/1230",73
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","38/1921","98/9400",0.387755102040816,1.89739612659223,4.525762937159,2.18479022986094e-05,0.000245260322577938,0.000152824036452073,"8525/3706/5582/5291/5297/8526/8395/808/3631/8867/8760/3708/9677/1609/5579/23396/9108/9807/55361/23236/3705/22876/1040/160851/51196/5332/8396/1607/5305/3632/79837/91860/8821/5287/80271/8871/117283/5578",38
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","35/1921","89/9400",0.393258426966292,1.92432546251075,4.44022008902246,3.21526102753619e-05,0.000349659636744561,0.000217876240681729,"3688/9899/3339/9900/1291/1277/3161/80144/1278/1282/3915/1292/1284/3676/22987/2335/3910/3371/341640/3908/960/7059/1288/3696/3913/284217/1293/6385/3672/3673/158326/3678/3381/6382/948",35
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","29/1921","69/9400",0.420289855072464,2.05659793736656,4.46429566633742,3.55117012507124e-05,0.000373355545414396,0.000232641386434863,"815/5582/2902/5530/6804/816/814/808/5532/818/5567/111/5579/148327/5534/5173/2905/776/3065/2903/64764/91860/2893/2891/2892/2890/84152/5578/4128",29
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","34/1921","86/9400",0.395348837209302,1.93455443506894,4.41233473682051,3.64772659312915e-05,0.000373355545414396,0.000232641386434863,"6262/10368/6543/785/3688/59283/55799/784/783/10369/1829/3676/776/782/1495/4000/6547/4842/3908/88/3696/284217/6640/1496/3672/3673/83439/781/3678/9254/1824/2697/51176/27092",34
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","42/1921","115/9400",0.365217391304348,1.78711269040129,4.30405310543978,4.45270110030972e-05,0.000442725709402224,0.000275866594485354,"815/2773/5582/5291/816/814/1128/10681/3786/3763/818/3708/5567/111/774/5579/2787/5604/1136/208/23236/3760/107/2785/148327/776/3785/55970/2788/5332/3761/51764/64764/56479/115/9132/1131/2770/114/108/3759/5578",42
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","54/1921","160/9400",0.3375,1.65148360229047,4.21221213947541,5.11823414879174e-05,0.000494762634383202,0.000308291296681608,"3688/5818/4099/9369/80381/8506/139065/3384/1462/26047/3676/5817/257194/114798/6900/22854/26050/3122/3108/57689/3135/84628/9379/3105/3897/9378/7412/5819/5789/965/100506658/3106/3696/22865/6385/4267/3383/3134/64101/22829/9071/3117/3113/23114/3123/6382/3111/5010/3689/4897/999/214/3115/9076",54
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","65/1921","203/9400",0.320197044334975,1.56681531324767,4.13760703005096,5.93335270503117e-05,0.000558055876040769,0.000347729916710219,"5058/83660/5601/5582/5291/8395/56924/3688/54776/6093/5579/5604/23396/5062/824/1291/1277/2316/208/5063/5829/1278/9475/1282/3915/1292/1284/3676/57144/2013/2335/2321/3910/3371/3908/998/7094/7059/1288/3696/3913/284217/5602/857/25759/1293/3672/2012/595/5880/53358/3791/3673/56034/4660/3479/5599/2064/7422/3678/3381/7791/858/5578/7424",65
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","31/1921","78/9400",0.397435897435897,1.94476701504291,4.2461977403244,7.06125308906603e-05,0.000646662124998679,0.000402941312007646,"27124/3706/5291/5297/8395/3631/8867/9677/23396/9108/9896/9807/55361/23236/3705/22876/51196/5332/51477/8396/5305/3632/79837/8821/9651/5287/80271/8871/117283/4329/23007",31
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","58/1921","178/9400",0.325842696629214,1.59444109750891,4.05778479233345,8.48494323541597e-05,0.000757118011775579,0.000471767424155382,"815/5601/5582/57216/6259/5530/7157/816/5532/8323/8607/818/5567/5579/1857/27101/81839/7474/51701/4089/8945/23236/7480/4040/5534/9475/6424/4775/27130/5332/4041/2535/324/144165/166336/64840/4609/440193/1951/5602/147495/4920/595/5880/23500/9620/83439/11197/5599/4919/1501/4772/2239/8321/2487/6423/5578/51176",58
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","42/1921","119/9400",0.352941176470588,1.72704167559788,4.04499641693524,0.000110001745912623,0.000957015189439821,0.000596325254157905,"6416/5601/5291/7128/5604/1540/8986/10059/841/5600/208/3551/148327/1906/8837/6347/182/5970/64764/355/6376/7412/83737/3659/5602/3976/3383/5599/4318/2920/3627/4217/7132/3553/6300/1326/2921/5743/6372/6374/7424/9021",42
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","51/1921","154/9400",0.331168831168831,1.62050339041489,3.93468813139819,0.000141051294440689,0.00119721586500878,0.000745996576502746,"83660/5291/3688/1291/1277/2316/208/80144/3384/5829/1278/1282/3915/1292/1284/3676/2335/2321/3910/3371/2200/7412/341640/3908/998/7094/7059/1288/3696/3913/284217/7040/1293/3672/3383/595/5880/55612/3791/3673/56034/3479/158326/2064/7422/3678/3381/9459/3689/7424/999",51
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","32/1921","86/9400",0.372093023255814,1.82075711535901,3.87506066495097,0.000234500911396471,0.00194300755157076,0.00121070645984143,"815/5058/6416/5601/5582/5291/816/56924/818/25/1978/5579/5604/369/5062/208/5063/3084/57144/6776/10718/4609/2549/5602/25759/53358/5599/2064/685/2066/5578/2065",32
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","70/1921","232/9400",0.301724137931034,1.47642212209876,3.72375714888296,0.000243739735196865,0.00196098211883004,0.00122190658342102,"2149/5058/5291/5962/8395/1128/55740/56924/3688/54776/10672/10788/26999/6093/81873/5604/727/23396/369/5062/7852/5216/208/8826/5063/5829/9475/10458/3676/57144/22808/10163/55970/4478/8936/7074/221178/324/2335/8396/85477/4629/5305/3985/2846/79837/998/81624/2254/3696/128239/3672/3071/5880/1131/3673/56034/4660/2246/3678/28984/3984/2263/10095/2934/57180/9459/9170/2261/3689",70
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","46/1921","138/9400",0.333333333333333,1.63109491584244,3.78498861026236,0.000247940267898051,0.00196098211883004,0.00122190658342102,"815/1017/8243/983/7533/5530/816/808/5532/5526/818/7532/3708/5567/111/5604/10459/9133/5600/9126/8945/107/64506/5534/9748/9700/9985/26271/4085/6790/25906/699/891/991/9232/91860/115/5525/6196/27330/3479/22849/6300/114/995/108",46
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","37/1921","105/9400",0.352380952380952,1.72430033960487,3.78243420213688,0.000285844748495493,0.00221053272169848,0.00137740393427068,"6262/10368/6543/785/3688/5567/111/59283/55799/784/783/153/10369/107/3676/776/782/4000/6547/4842/3908/115/3696/284217/7040/6640/3672/3673/3479/781/3678/9254/7171/70/114/108/27092",37
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","21/1921","49/9400",0.428571428571429,2.09712203465457,3.90217452798962,0.000300860823467047,0.00227607753405505,0.001418245529387,"1742/2773/2902/2913/627/5567/111/1020/2912/148327/5173/2905/2903/8851/5970/64764/2891/2770/8787/84152/4128",21
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","65/1921","214/9400",0.303738317757009,1.48627807751998,3.64679287668767,0.000326485700818444,0.00241738348691103,0.00150629461071891,"7465/5058/2773/983/5601/5582/5291/5530/10681/808/5532/56924/51135/3708/2185/2923/5579/2787/5604/472/5062/8906/9133/841/4615/5600/7852/208/8945/1111/3551/2785/5063/5829/5534/85363/4775/57144/55970/2788/9582/891/5970/3135/51764/3105/355/3985/1234/811/91860/3106/5602/5880/3134/5599/2770/3984/4772/200316/7132/6300/60489/995/5578",65
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","35/1921","99/9400",0.353535353535354,1.72994915316623,3.70022492958481,0.000384377501133814,0.00278673688322015,0.00173644222003434,"815/5581/3356/5601/5582/5291/816/808/40/818/3708/5567/111/5588/5579/5600/3358/23236/107/1573/2150/8605/5332/91860/115/5602/3479/5599/3556/79054/3553/6300/114/108/5578",35
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","23/1921","57/9400",0.403508771929825,1.97448331917769,3.73982605925593,0.000455780980873229,0.00323697512946701,0.00201698994758078,"1650/6185/746/200185/58505/1603/6184/207063/146664/3703/4248/79053/29880/54344/4247/22845/11320/84920/4122/25834/199857/6480/29929",23
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","50/1921","157/9400",0.318471337579618,1.55837093870297,3.57559973951919,0.000466721158593515,0.00324837926381086,0.00202409597200556,"1740/1742/7533/7046/5590/8994/84552/8323/7532/50855/7003/55233/1857/84962/7474/4089/8945/1739/7480/332/4086/5522/1741/1495/7048/23513/6591/2535/324/4609/7005/657/2736/25937/5054/650/7040/1496/122786/595/26524/83439/2246/5521/8321/286204/3689/653/51176/999",50
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","110/1921","404/9400",0.272277227722772,1.33233000551487,3.46033586893551,0.000493080541641784,0.00332997965162856,0.00207494194868567,"2557/6327/6324/2554/1007/2561/7533/5601/57216/6259/1006/7431/55740/2555/8994/2566/8323/1010/2563/7532/26999/1016/56134/2185/7003/55800/6093/51107/83259/81873/5604/55233/2560/1857/81839/84962/7474/5600/3551/7480/4040/9475/6330/10184/1829/55851/23385/22808/1495/8936/4041/2535/1009/324/51466/144165/166336/51294/2562/5970/7005/56147/375323/4643/56133/57717/2565/25937/51474/5101/998/2558/2196/5100/1008/4301/1951/5602/57526/2559/54510/1496/3071/26524/5880/3791/23500/9620/83439/4647/1012/5599/2064/1501/5099/1824/64405/8321/8642/6300/10095/120114/57180/84152/57575/3872/2697/51176/56129/999",110
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","45/1921","138/9400",0.326086956521739,1.59563633071543,3.57232592280813,0.000497583166335302,0.00332997965162856,0.00207494194868567,"6416/5601/5291/8395/3688/51135/2185/6093/81873/5604/23396/5586/4615/5600/208/3551/5829/9844/9475/10458/644150/4775/3676/29108/10163/6347/2335/5970/3576/998/5602/6196/27330/5880/834/5599/3606/3678/3984/4772/3553/6300/10095/57180/3937",45
