"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","19/1921","49/9400",0.387755102040816,1.89739612659223,3.19180200205103,0.00241711777066605,0.0120465456840332,0.00750631703239818,"29071/23509/50614/6487/168391/2589/8985/100528030/374378/4242/56983/2591/6480/728819/285203/11226/79623/57452/55568",19
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","27/1921","78/9400",0.346153846153846,1.69382933568254,3.11837364179374,0.00242944336710873,0.0120465456840332,0.00750631703239818,"2773/5601/808/3688/51135/727/4615/5600/29108/710/5970/3576/91860/3659/715/5602/834/5599/2770/3678/3553/6300/100293534/23643/3689/6372/6374",27
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","67/1921","238/9400",0.281512605042017,1.37752133648879,2.98963092497598,0.00245777225162746,0.0120465456840332,0.00750631703239818,"5058/8437/5601/5582/5291/2902/5924/627/10681/808/56924/283455/9771/25/8831/5567/5579/2787/5604/5062/10125/208/5863/3551/2785/5063/3815/51196/57144/22808/55970/3363/2788/2113/7074/8605/2903/2321/5970/51365/23179/2114/51764/2549/998/91860/2254/4301/5602/284/25759/1944/5880/53358/3791/56034/3479/2246/285/5599/7422/83593/5322/2263/2261/5578/7424",67
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","35/1921","110/9400",0.318181818181818,1.5569542378496,2.97776718054363,0.00316988264304441,0.0151112213668418,0.0094159455582862,"1875/7046/4090/7050/91/130399/6093/5933/26585/4089/8646/60436/4086/2014/9372/90/3065/4681/25942/7048/57154/64388/4609/657/2200/650/7040/92/3399/7018/10468/1030/3625/653/9241",35
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","35/1921","110/9400",0.318181818181818,1.5569542378496,2.97776718054363,0.00316988264304441,0.0151112213668418,0.0094159455582862,"1017/2773/983/5601/5291/5567/111/5604/369/10459/9133/5600/208/107/64506/4085/6790/25906/699/890/891/115/5602/6196/27330/3479/22849/3835/5599/2770/993/6300/114/995/108",35
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","31/1921","95/9400",0.326315789473684,1.59675607550892,2.96266948082123,0.00346600777741941,0.0162996041424589,0.0101564381528933,"529/51606/51382/523/534/535/526/414062/6347/2321/3122/3108/3576/7040/284/1513/3383/3606/3117/3113/7422/2920/3123/3553/3111/2921/8741/3689/6372/6374/3115",31
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","32/1921","99/9400",0.323232323232323,1.58166779718055,2.9485638479452,0.00355205873554424,0.0164791266267035,0.0102683003179096,"6262/10368/6543/785/3688/59283/55799/784/783/10369/1906/3676/776/782/4000/6547/4842/5563/3908/3696/284217/7040/6640/3672/3673/3479/781/3678/9254/7171/70/27092",32
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","33/1921","103/9400",0.320388349514563,1.56775142396507,2.93621714084368,0.00362582957549999,0.0164791266267035,0.0102683003179096,"5646/5645/6543/1281/1291/1277/1278/1282/1292/1284/1289/476/206358/481/2006/6547/255631/1288/23428/6505/1293/80781/1296/1290/169044/1295/9056/482/340267/477/117247/81578/91522",33
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","18/1921","47/9400",0.382978723404255,1.87402394586153,3.04424452534857,0.00364624353521888,0.0164791266267035,0.0102683003179096,"5581/5601/5291/5590/774/122809/777/3551/8835/3099/6833/776/8913/5602/2645/5599/80201/9021",18
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","57/1921","200/9400",0.285,1.39458615304529,2.85854916092281,0.00371865660178794,0.0165909294541308,0.0103379657215697,"2149/5058/5601/3688/10672/7277/51135/25/26999/6093/10382/81873/5062/841/8743/7280/4615/5600/3551/5063/4644/9475/10458/644150/29108/10163/4671/8936/10810/5970/4629/4643/8795/355/3576/2846/998/100506658/5602/84617/3071/834/5599/9071/3606/9871/837/9181/7132/3553/6300/10095/57180/9170/5010/7100/9076",57
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","24/1921","69/9400",0.347826086956522,1.70201208609646,2.96611360181907,0.00384267640973144,0.0169272327922347,0.0105475195257119,"2773/5530/808/5532/3708/5136/5567/111/5153/153/23236/5534/1906/116/776/4878/5332/1909/91860/5137/2770/134/3759/358",24
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","15/1921","37/9400",0.405405405405405,1.9837640868354,3.03855467384091,0.0041119597759509,0.0178870250253864,0.0111455751821827,"27165/2572/2805/2806/80150/790/2571/2744/56954/443/1373/440/2746/339983/18",15
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","26/1921","77/9400",0.337662337662338,1.65227796669754,2.91261424903752,0.00425502849222179,0.0182808631517677,0.0113909794593592,"5291/7046/7157/1019/25/5604/369/5925/4089/208/3551/6776/3065/7048/5970/4609/7040/1021/613/25759/595/53358/1643/2122/1029/4616",26
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","36/1921","116/9400",0.310344827586207,1.51860561130159,2.84827147736145,0.00442741084348896,0.0187894996772458,0.0117079157093546,"2773/5582/5291/3688/2185/6093/5579/11069/5600/7852/5829/7070/9475/3676/1495/4478/1535/7412/998/100506658/4301/1496/4267/3383/5880/9071/2770/4318/83593/6300/4313/5010/3689/4688/5578/9076",36
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","29/1921","89/9400",0.325842696629214,1.59444109750891,2.85554105123325,0.00471053090281497,0.0197457898659374,0.0123037892086603,"3356/2773/983/5582/7277/3708/5567/111/10382/5579/5598/5604/153/7280/3358/2915/23236/107/5332/2911/10746/115/84617/56034/2770/114/108/2697/5578",29
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","30/1921","93/9400",0.32258064516129,1.57847895081527,2.84123344859735,0.00482296591553069,0.0197457898659374,0.0123037892086603,"4008/7046/5818/6093/83605/117178/7525/51701/4089/8826/9475/10458/54922/10163/1495/7048/57154/8936/6591/10810/5819/998/4301/1496/5880/83439/5787/2064/51176/999",30
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","30/1921","93/9400",0.32258064516129,1.57847895081527,2.84123344859735,0.00482296591553069,0.0197457898659374,0.0123037892086603,"1017/5291/7157/3688/1019/5925/1163/208/3551/1282/3915/1284/2335/5970/3910/4609/9618/3908/6502/317/1288/3913/284217/1021/595/3673/1643/1030/5743/4616",30
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","26/1921","78/9400",0.333333333333333,1.63109491584244,2.83641761716108,0.00516782105477833,0.020911647989103,0.0130302464783884,"5291/3688/1759/1212/81873/10459/26052/5829/9844/10163/1495/8936/23607/2335/1785/2549/998/857/25759/1496/53358/3678/10095/57180/858/999",26
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","49/1921","170/9400",0.288235294117647,1.41041736840494,2.73673081415382,0.00538135680203355,0.0215254272081342,0.0134126981393698,"1740/5581/5601/5590/5962/3688/84552/1019/7277/5567/50855/6093/81873/55114/9693/1739/9475/5522/1741/5872/5111/776/4478/23513/7074/23327/4734/4629/9223/54566/5563/998/100506658/4301/5602/4214/595/153562/150084/5599/9071/2064/5521/9181/4217/10095/57180/5010/9076",49
