"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-264642","Acetylcholine Neurotransmitter Release Cycle","12/2535","17/11230",0.705882352941177,3.12704490080056,4.73876243340453,3.32968118025299e-05,0.00105653345142643,0.000922065557608522,"PPFIA3/RIMS1/RAB3A/STX1A/STXBP1/CPLX1/SYT1/PPFIA4/PPFIA2/SNAP25/TSPOAP1/VAMP2",12
"R-HSA-977444","GABA B receptor activation","22/2535","43/11230",0.511627906976744,2.26650153662676,4.49270454996667,3.81622496862137e-05,0.00116606874041209,0.00101765999163237,"KCNJ9/GNAI3/GNB5/KCNJ6/ADCY5/GNG5/GABBR1/KCNJ3/ADCY1/GNG3/GNG12/GNG7/KCNJ4/GABBR2/GNG13/ADCY9/GNAL/GNAI1/KCNJ16/ADCY8/ADCY2/KCNJ2",22
"R-HSA-991365","Activation of GABAB receptors","22/2535","43/11230",0.511627906976744,2.26650153662676,4.49270454996667,3.81622496862137e-05,0.00116606874041209,0.00101765999163237,"KCNJ9/GNAI3/GNB5/KCNJ6/ADCY5/GNG5/GABBR1/KCNJ3/ADCY1/GNG3/GNG12/GNG7/KCNJ4/GABBR2/GNG13/ADCY9/GNAL/GNAI1/KCNJ16/ADCY8/ADCY2/KCNJ2",22
"R-HSA-163685","Integration of energy metabolism","43/2535","108/11230",0.398148148148148,1.76378844327562,4.3064384539974,4.02782569906755e-05,0.00120834770972026,0.00105455800121041,"SYT5/AKAP5/STX1A/STXBP1/GNB5/ITPR1/PRKACB/ADCY5/CACNB3/GNG5/CACNB2/RAPGEF4/ADRA2A/CACNA1E/SNAP25/PLCB1/ACLY/ADCY1/IQGAP1/GNG3/KCNB1/ABCC8/CACNA1D/ACSL3/GNG12/GNG7/VAMP2/AHCYL1/PRKAR1B/GNG13/PRKAA2/PRKAR2B/ADCY9/CHRM3/KCNS3/GNAI1/GNA14/CACNA2D2/ADCY8/ADCY2/ACACB/CD36/PRKCA",43
"R-HSA-9648025","EML4 and NUDC in mitotic spindle formation","46/2535","119/11230",0.38655462184874,1.7124293504384,4.21855231820259,5.2696849487984e-05,0.00155267502955667,0.00135506184397673,"NUP37/NDEL1/MAPRE1/NUP107/NUP160/PPP2R5B/TUBA4A/MIS12/NDC80/CENPQ/CENPH/TUBB4A/CENPU/BUB1B/DYNC1I1/CENPF/RANGAP1/TUBB2A/KNTC1/DYNC1LI1/SGO2/BIRC5/NUF2/SPDL1/CENPK/KNL1/MAD2L1/NUP85/KIF18A/ZWINT/BUB1/KIF2C/RCC2/CENPL/CDC20/AURKB/NDE1/SPC25/EML4/PPP2R5A/CDCA8/TUBB6/CENPM/ERCC6L/CENPE/CENPI",46
"R-HSA-1566948","Elastic fibre formation","22/2535","44/11230",0.5,2.21499013806706,4.35999923592959,6.01494614093832e-05,0.0017411686197453,0.00151956534086863,"ITGB1/FBN2/LTBP3/MFAP2/LOXL1/LOX/LOXL3/FN1/LOXL2/ELN/EMILIN1/MFAP4/FBN1/EFEMP2/ITGB8/BMP2/TGFB1/EMILIN3/ITGA5/FBLN5/LTBP2/FBN3",22
"R-HSA-2243919","Crosslinking of collagen fibrils","12/2535","18/11230",0.666666666666667,2.95332018408941,4.47809059415763,7.93165544273434e-05,0.00225641922077787,0.00196923859267887,"TLL2/COL1A1/LOXL1/LOX/PXDN/COL1A2/LOXL3/COL4A1/COL4A2/PCOLCE/LOXL2/COL4A6",12
"R-HSA-69618","Mitotic Spindle Checkpoint","43/2535","113/11230",0.380530973451327,1.6857447068475,3.9557843916544,0.000138761903707846,0.00388062951047367,0.00338673120914066,"NUP37/NDEL1/MAPRE1/NUP107/NUP160/PPP2R5B/MIS12/NDC80/CENPQ/CENPH/UBE2C/CENPU/BUB1B/DYNC1I1/CENPF/RANGAP1/KNTC1/DYNC1LI1/SGO2/BIRC5/NUF2/SPDL1/CENPK/KNL1/MAD2L1/ANAPC15/NUP85/KIF18A/ZWINT/BUB1/KIF2C/RCC2/CENPL/CDC20/AURKB/NDE1/SPC25/PPP2R5A/CDCA8/CENPM/ERCC6L/CENPE/CENPI",43
"R-HSA-9013409","RHOJ GTPase cycle","25/2535","55/11230",0.454545454545455,2.01362739824278,4.06874665992814,0.000141309627494305,0.00388601475609337,0.00339143105986331,"PAK1/CDC42BPA/ARL13B/ARHGAP26/PAK2/VANGL1/MPP7/FMNL3/ARHGAP32/STEAP3/PAK3/TMPO/SYDE1/SCRIB/CPNE8/CDC42/DIAPH3/SLC4A7/IQGAP3/CAV1/RHOJ/FNBP1L/DEPDC1B/DOCK8/GJA1",25
"R-HSA-8849932","Synaptic adhesion-like molecules","12/2535","19/11230",0.631578947368421,2.79788227966366,4.23487509593159,0.000171024160894982,0.00455989159076214,0.00397954175193786,"DLG4/GRIN1/RTN3/DLG1/LRFN1/GRIN2C/DLG3/GRIN2A/PTPRD/GRIA4/GRIA3/GRIA1",12
"R-HSA-216083","Integrin cell surface interactions","34/2535","84/11230",0.404761904761905,1.79308725462572,3.93936138802534,0.000171341380986214,0.00455989159076214,0.00397954175193786,"ICAM5/ITGB1/HSPG2/COL3A1/COL6A1/COL1A1/ICAM2/COL1A2/COL4A1/COL6A2/COL4A2/COL5A1/ITGA4/FN1/TNC/FBN1/VCAM1/CD44/COL4A6/ITGB8/COL6A3/ITGA1/ICAM1/COL18A1/COL8A2/KDR/ITGA2/COL5A2/LUM/COL8A1/ITGA5/IBSP/ITGB2/COL23A1",34
"R-HSA-9824439","Bacterial Infection Pathways","40/2535","104/11230",0.384615384615385,1.70383856774389,3.89354261389729,0.000179310659619551,0.00469623156146444,0.0040985293627326,"STX1B/MAP2K4/STX1A/ANTXR2/CALM3/SYT2/SV2B/ATP6V1H/SYT1/VAMP1/MAP2K1/SV2A/SH3GL3/SH3GL2/SNAP25/EPCAM/COL4A1/LAMC1/COL4A2/COL5A1/SV2C/ANTXR1/VAMP2/RNF213/FN1/GBP1/LAMA4/LAMA2/COL4A6/LAMB2/LAMA1/GBP2/CORO1A/GBP3/COL5A2/HBA2/CD9/HBB/CASP4/SH3KBP1",40
"R-HSA-195258","RHO GTPase Effectors","101/2535","325/11230",0.310769230769231,1.37670156273707,3.72092569083461,0.000205033972080486,0.00527509170645862,0.00460371639836388,"NUP37/PIN1/PAK1/DLG4/YWHAH/NDEL1/MAPRE1/PRKCZ/NUP107/NUP160/CALM3/ITGB1/KLC2/PPP2R5B/NCKIPSD/LIN7B/IQGAP2/TUBA4A/MIS12/YWHAG/NDC80/ABL1/CYFIP2/CENPQ/CENPH/TUBB4A/SCAI/PRKCB/CENPU/BUB1B/DYNC1I1/PAK2/DVL3/CENPF/RANGAP1/PKN2/TUBB2A/FMNL3/MAPK11/FLNA/KNTC1/PFN1/DYNC1LI1/KIF14/KLC1/IQGAP1/PAK3/SGO2/BIRC5/NUF2/ROCK2/BAIAP2/SPDL1/CENPK/WIPF3/NOXA1/KNL1/SFN/WASF2/CTNNA1/WASF1/KIF5A/MAD2L1/WASF3/NUP85/KIF18A/ZWINT/BUB1/KIF2C/EVL/PRC1/RCC2/FMNL1/PPP1R14A/CYBA/MYH11/CENPL/LIMK2/CDC20/AURKB/NDE1/CDC42/SPC25/DIAPH3/IQGAP3/PPP2R5A/CDCA8/TUBB6/CENPM/ERCC6L/NCKAP1L/RAC2/RHOC/PPP1R12B/CENPE/LIMK1/CENPI/ARPC1B/CDC25C/NCF2/PRKCA",101
"R-HSA-418597","G alpha (z) signalling events","22/2535","47/11230",0.468085106382979,2.07360778882874,3.9823566306804,0.000207806642981703,0.00527509170645862,0.00460371639836388,"PRKCE/GNAI3/PRKCG/GNB5/ADCY5/PRKCB/GNG5/RGS4/ADRA2A/GNAZ/ADCY1/GNG3/GNG12/GNG7/RGS20/GNG13/ADCY9/RGS17/GNAI1/ADCY8/ADCY2/PRKCA",22
"R-HSA-5339562","Uptake and actions of bacterial toxins","16/2535","30/11230",0.533333333333333,2.36265614727153,4.03517733352436,0.000234550971897798,0.00586377429744495,0.00511747575049741,"STX1B/MAP2K4/STX1A/ANTXR2/CALM3/SYT2/SV2B/SYT1/VAMP1/MAP2K1/SV2A/SNAP25/SV2C/ANTXR1/VAMP2/CD9",16
"R-HSA-418594","G alpha (i) signalling events","99/2535","319/11230",0.310344827586207,1.37482146500714,3.66701128955887,0.000249247363996855,0.00613818135216136,0.00535695827097719,"CAMK2A/MCHR2/SST/RGS8/HTR5A/GNAI3/PRKCG/CAMKK2/PPP3CA/RGR/GRM3/PENK/CAMK2B/CAMK4/GNB5/CALM3/PPP3CB/OPRK1/S1PR5/CAMK2G/ITPR1/PDE1A/HTR1E/PRKACB/ADCY5/CAMKK1/CDK5/RGS7/PDE1B/GNG5/C5/RGS4/RGS14/GABBR1/NPY/PNOC/CXCR4/ADRA2A/GNAZ/GRM2/PLCB1/ADCY1/GNG3/RGS11/PPP3R1/RGS6/S1PR3/PDYN/PDE4A/GNG12/GNG7/PLCB4/PCP2/ANXA1/RGS22/RGS20/OPN3/GABBR2/AHCYL1/PRKAR1B/GNG13/NPY1R/CCL4/CX3CL1/CCR5/CXCL8/PRKAR2B/PRKX/ADCY9/GPSM2/RGS18/GNAL/RGS17/PDE1C/NBEA/SSTR2/GNAI1/GNA14/C5AR1/CXCL2/ADORA1/CXCL10/SSTR1/RGS9/CXCL16/PPP1R1B/GPR183/LPAR2/CXCL3/ADCY8/ADCY2/PPBP/CNR1/CXCL6/CXCL5/PRKCA/CCR1/GALR1/ACKR3",99
"R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","36/2535","93/11230",0.387096774193548,1.71483107463256,3.73753714574355,0.000319444465616914,0.00775122600393982,0.00676470633071112,"CDK2/PIN1/TP53INP1/TP53/NUAK1/CDK5/RBBP8/TP53RK/ATM/SSRP1/MAPK11/RHNO1/TPX2/BRCA1/WRN/CHEK1/RMI1/TAF4B/BARD1/RFC2/AURKA/CDK5R1/CCNA2/TAF8/RFC5/PRKAA2/RFC3/AURKB/RFC4/BRIP1/CHEK2/TAF7L/EXO1/ATRIP/DYRK2/BLM",36
"R-HSA-75035","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex","10/2535","15/11230",0.666666666666667,2.95332018408941,4.08737192819978,0.000325772342843789,0.00779020819843844,0.00679872715500082,"WEE1/CDK1/YWHAH/YWHAG/CHEK1/SFN/CCNA2/CCNB1/CHEK2/CDC25C",10
"R-HSA-69186","Lagging Strand Synthesis","12/2535","20/11230",0.6,2.65798816568047,4.00699081987109,0.000339813274431084,0.00800988432587555,0.0069904445025823,"RFC1/POLA1/POLD3/POLD1/PCNA/RFC2/RFC5/PRIM2/RFC3/LIG1/RFC4/PRIM1",12
"R-HSA-983189","Kinesins","26/2535","61/11230",0.426229508196721,1.88818831441782,3.75567113786614,0.000372774708446605,0.00866307421037884,0.0075605011290579,"KIFC2/KIF4A/KLC2/TUBA4A/KIF11/TUBB4A/KIF3A/KIF3C/TUBB2A/KLC1/KIF18B/KIF5A/KIF15/KIFC1/KIF20A/KIF23/KIF18A/KIF2C/KIF1B/KIF1A/TUBB6/RACGAP1/CENPE/KIF22/KIF21B/KIF9",26
"R-HSA-9013406","RHOQ GTPase cycle","25/2535","58/11230",0.431034482758621,1.90947425695436,3.74941639026337,0.000390710119401064,0.00895377356960772,0.00781420238802128,"PAK1/GFOD1/CDC42BPA/ARL13B/ARHGAP17/ARHGAP26/PAK2/VANGL1/MPP7/ARHGAP32/STEAP3/IQGAP1/ARHGEF9/SYDE1/SCRIB/TRIP10/CPNE8/CDC42/DIAPH3/SLC4A7/IQGAP3/CAV1/ARHGAP33/DEPDC1B/GJA1",25
"R-HSA-176187","Activation of ATR in response to replication stress","18/2535","37/11230",0.486486486486487,2.15512553974092,3.79998188177014,0.000430887945015187,0.00960763661182512,0.00838484649759283,"CDK2/MCM5/MCM2/MCM3/CHEK1/ORC2/RFC2/MCM7/MCM4/RFC5/RFC3/RFC4/MCM10/MCM8/ATRIP/CDC25A/CDC25C/DBF4",18
"R-HSA-5685938","HDR through Single Strand Annealing (SSA)","18/2535","37/11230",0.486486486486487,2.15512553974092,3.79998188177014,0.000430887945015187,0.00960763661182512,0.00838484649759283,"ABL1/RBBP8/ATM/RHNO1/BRCA1/WRN/RMI1/BARD1/RFC2/ERCC4/RAD51/RFC5/RFC3/RFC4/BRIP1/EXO1/ATRIP/BLM",18
"R-HSA-9640148","Infection with Enterobacteria","19/2535","40/11230",0.475,2.10424063116371,3.77749071211717,0.000441098886104943,0.00964092815540535,0.00841390093562649,"CALM3/EPCAM/COL4A1/LAMC1/COL4A2/COL5A1/FN1/GBP1/LAMA4/LAMA2/COL4A6/LAMB2/LAMA1/GBP2/GBP3/COL5A2/HBA2/HBB/CASP4",19
"R-HSA-9609736","Assembly and cell surface presentation of NMDA receptors","20/2535","43/11230",0.465116279069767,2.06045594238796,3.76179191230595,0.000444066993824731,0.00964092815540535,0.00841390093562649,"CAMK2A/DLG2/NEFL/DLG4/GRIN1/CAMK2B/APBA1/LIN7B/TUBA4A/CAMK2G/TUBB4A/TUBB2A/DLG1/GRIN2C/DLG3/GRIN2A/LIN7A/ACTN2/TUBB6/NBEA",20
"R-HSA-2514853","Condensation of Prometaphase Chromosomes","8/2535","11/11230",0.727272727272727,3.22180383718845,3.98061074188403,0.000565670597945667,0.0121215128131214,0.0105787748187242,"CDK1/SMC4/CCNB2/NCAPD2/NCAPG/CCNB1/SMC2/NCAPH",8
"R-HSA-76002","Platelet activation, signaling and aggregation","82/2535","262/11230",0.312977099236641,1.38648237649999,3.41775832109851,0.000614023839512762,0.0129889658358469,0.0113358247294664,"DGKZ/F2R/PRKCE/GNAI3/PRKCG/PIK3CB/PRKCZ/DGKE/LGALS3BP/GNB5/CALM3/GNA13/ANXA5/TUBA4A/ITPR1/CD63/DGKQ/PRKCB/GNG5/SPARC/PROS1/RAPGEF4/RASGRP1/COL1A1/FLNA/ADRA2A/RAB27B/MAGED2/PFN1/CSK/HABP4/GNG3/ABCC4/COL1A2/LHFPL2/TAGLN2/CDC37L1/DGKH/GNG12/ARRB1/GNG7/PDPN/FN1/TIMP1/SERPING1/DGKB/MGLL/GNG13/A2M/SERPINE1/ACTN2/QSOX1/PCYOX1L/CDC42/TLN1/SERPINA3/TGFB1/ABHD6/MMRN1/TRPC3/RAC2/CD109/IGF1/SYTL4/CD9/BRPF3/TF/GNAI1/GNA14/VEGFA/PCDH7/F8/SERPINA1/CD36/PPBP/SCG3/PRKCA/LCP2/PLEK/P2RY1/VEGFC/F2RL2",82
"R-HSA-442982","Ras activation upon Ca2+ influx through NMDA receptor","12/2535","21/11230",0.571428571428571,2.53141730064807,3.79266506617817,0.000630480541610808,0.0130802275339607,0.0114154713023657,"CAMK2A/DLG2/NEFL/DLG4/GRIN1/RASGRF2/CAMK2B/CALM3/CAMK2G/DLG1/DLG3/ACTN2",12
"R-HSA-9709570","Impaired BRCA2 binding to RAD51","17/2535","35/11230",0.485714285714286,2.15170470555086,3.68457875826731,0.000634192850131426,0.0130802275339607,0.0114154713023657,"RBBP8/ATM/RHNO1/BRCA1/WRN/RMI1/BARD1/RFC2/RAD51/RFC5/RFC3/RFC4/BRIP1/EXO1/ATRIP/BRCA2/BLM",17
"R-HSA-9013423","RAC3 GTPase cycle","35/2535","93/11230",0.376344086021505,1.66719687811499,3.48847889238826,0.000708617268313454,0.0144347962063852,0.0125976403255725,"PAK1/ITGB1/LBR/ARHGAP17/ARHGAP26/PAK2/ARHGAP42/VANGL1/MCF2/MPP7/ARHGAP32/TMPO/BAIAP2/SYDE1/NOXA1/WASF2/WASF1/TIAM1/SWAP70/JAG1/CYBA/SLITRK5/CDC42/DIAPH3/SLITRK3/CAV1/BCR/RACGAP1/NCKAP1L/ABR/ARAP3/ARAP2/DEPDC1B/VRK2/NCF2",35
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","25/2535","60/11230",0.416666666666667,1.84582511505588,3.54694410559128,0.000722005067703768,0.0145281507525758,0.0126791133840662,"TLL2/COL3A1/CD151/COL6A1/COL1A1/LOXL1/LOX/PXDN/COL1A2/LOXL3/COL4A1/COL6A2/COL4A2/COL5A1/PCOLCE/LOXL2/COL24A1/COL4A6/COL6A3/COL18A1/COL8A2/COL5A2/COL8A1/MMP9/CTSS",25
