"","GSM1214834","GSM1214835","GSM1214836","GSM1214837","GSM1214838","GSM1214839","GSM1214840","GSM1214841","GSM1214842","GSM1214843","GSM1214844","GSM1214845","GSM1214846","GSM1214847","GSM1214848","GSM1214849","GSM1214850","GSM1214851","GSM1214852","GSM1214853","GSM1214854","GSM1214855","GSM1214856","GSM1214857","GSM1214858","GSM1214859","GSM1214860","GSM1214861","GSM1214862","GSM1214863","GSM1214864","GSM1214865","GSM1214866","GSM1214867","GSM1214868","GSM1214869","GSM1214870","GSM1214871","GSM1214872","GSM1214873","GSM1214874","GSM1214875","GSM1214876","GSM1214877","GSM1214878","GSM1214879","GSM1214880","GSM1214881","GSM1214882","GSM1214883","GSM1214884","GSM1214885","GSM1214886","GSM1214887","GSM1214888","GSM1214889","GSM1214890","GSM1214891","GSM1214892","GSM1214893","GSM1214894","GSM1214895","GSM1214896","GSM1214897","GSM1214898","GSM1214899","GSM1214900","GSM1214901","GSM1214902","GSM1214903","GSM1214904","GSM1214905","GSM1214906","GSM1214907","GSM1214908","GSM1214909","GSM1214910","GSM1214911","GSM1214912","GSM1214913","GSM1214914","GSM1214915","GSM1214916","GSM1214917","GSM1214918","GSM1214919","GSM1214920","GSM1214921","GSM1214922","GSM1214923","GSM1214924","GSM1214925","GSM1214926","GSM1214927","GSM1214928","GSM1214929","GSM1214930","GSM1214931","GSM1214932","GSM1214933","GSM1214934","GSM1214935","GSM1214936","GSM1214937","GSM1214938","GSM1214939","GSM1214940","GSM1214941","GSM1214942","GSM1214943","GSM1214944","GSM1214945","GSM1214946","GSM1214947","GSM1214948","GSM1214949","GSM1214950","GSM1214951","GSM1214952","GSM1214953","GSM1214954","GSM1214955","GSM1214956","GSM1214957","GSM1214958","GSM1214959","GSM1214960","GSM1214961","GSM1214962","GSM1214963"
"GSM1214834",1,0.0498687664041995,0.078167115902965,0.0899182561307902,0.126760563380282,0.246105919003115,0.13960113960114,0.136363636363636,0.0989010989010989,0.123595505617978,0.15606936416185,0.0256410256410256,0.166180758017493,0.0362694300518135,0.257861635220126,0.149425287356322,0.104972375690608,0.126760563380282,0.123595505617978,0.21580547112462,0.0989010989010989,0.15606936416185,0.0723860589812333,0.183431952662722,0.146131805157593,0.219512195121951,0.194029850746269,0.342281879194631,0.0582010582010582,0.183431952662722,0.223241590214067,0.078167115902965,0.423487544483986,0.212121212121212,0.11731843575419,0.223241590214067,0.0362694300518135,0.10803324099723,0.152737752161383,0.114206128133705,0.0471204188481675,0.078167115902965,0.0752688172043011,0.126760563380282,0.21580547112462,0.208459214501511,0.0416666666666667,0.0335917312661499,0.0666666666666667,0.0582010582010582,0.0471204188481675,0.0282776349614396,0.0723860589812333,0.0416666666666667,0.0362694300518135,0.0416666666666667,0.0471204188481675,0.0335917312661499,0.0526315789473684,0.0498687664041995,0.0230179028132992,0.0526315789473684,0.038961038961039,0.0204081632653061,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0230179028132992,0.0335917312661499,0.0554089709762533,0.0498687664041995,0.0230179028132992,0.0335917312661499,0.0526315789473684,0.0204081632653061,0.0554089709762533,0.0471204188481675,0.0416666666666667,0.0582010582010582,0.0638297872340425,0.0204081632653061,0.0152284263959391,0.0204081632653061,0.0178117048346056,0.0256410256410256,0.0204081632653061,0.0178117048346056,0.0152284263959391,0.0362694300518135,0.0471204188481675,0.0126582278481013,0.0256410256410256,0.0309278350515464,0.0335917312661499,0.0101010101010101,0.0309278350515464,0.0230179028132992,0.0230179028132992,0.0309278350515464,0.0230179028132992,0.0282776349614396,0.0638297872340425,0.0309278350515464,0.0230179028132992,0.038961038961039,0.0204081632653061,0.0309278350515464,0.0416666666666667,0.0335917312661499,0.0416666666666667,0.0443864229765013,0.0230179028132992,0.0256410256410256,0.0230179028132992,0.0335917312661499,0.078167115902965,0.0443864229765013,0.0723860589812333,0.0695187165775401,0.0582010582010582,0.0666666666666667,0.0471204188481675,0.0582010582010582,0.0723860589812333,0.078167115902965,0.0695187165775401,0.0282776349614396,0.0695187165775401,0.0810810810810811,0.0810810810810811
"GSM1214835",0.0498687664041995,1,0.0416666666666667,0.0471204188481675,0.0666666666666667,0.0416666666666667,0.126760563380282,0.0695187165775401,0.0554089709762533,0.0498687664041995,0.0362694300518135,0.166180758017493,0.078167115902965,0.162790697674419,0.0335917312661499,0.0752688172043011,0.114206128133705,0.0362694300518135,0.0723860589812333,0.0443864229765013,0.0443864229765013,0.0869565217391304,0.11731843575419,0.0695187165775401,0.0554089709762533,0.0362694300518135,0.038961038961039,0.0840108401084011,0.0526315789473684,0.0230179028132992,0.0309278350515464,0.183431952662722,0.038961038961039,0.0443864229765013,0.0554089709762533,0.0443864229765013,0.0362694300518135,0.038961038961039,0.0638297872340425,0.0362694300518135,0.162790697674419,0.0443864229765013,0.0554089709762533,0.104972375690608,0.0256410256410256,0.0309278350515464,0.0582010582010582,0.0335917312661499,0.0526315789473684,0.038961038961039,0.0362694300518135,0.0362694300518135,0.0554089709762533,0.0416666666666667,0.0416666666666667,0.0526315789473684,0.0335917312661499,0.0309278350515464,0.038961038961039,0.0309278350515464,0.0554089709762533,0.038961038961039,0.038961038961039,0.0282776349614396,0.0443864229765013,0.0498687664041995,0.0309278350515464,0.0204081632653061,0.0309278350515464,0.0610079575596817,0.0443864229765013,0.038961038961039,0.0498687664041995,0.0443864229765013,0.0204081632653061,0.0362694300518135,0.038961038961039,0.0443864229765013,0.0695187165775401,0.0443864229765013,0.0335917312661499,0.0282776349614396,0.0256410256410256,0.0362694300518135,0.0256410256410256,0.0443864229765013,0.0471204188481675,0.038961038961039,0.0443864229765013,0.0638297872340425,0.0416666666666667,0.0443864229765013,0.0443864229765013,0.0362694300518135,0.0309278350515464,0.0362694300518135,0.0309278350515464,0.0362694300518135,0.0362694300518135,0.0443864229765013,0.0416666666666667,0.038961038961039,0.0204081632653061,0.0309278350515464,0.0256410256410256,0.0126582278481013,0.0256410256410256,0.0309278350515464,0.0204081632653061,0.0152284263959391,0.0309278350515464,0.0126582278481013,0.0178117048346056,0.0230179028132992,0.0178117048346056,0.0498687664041995,0.038961038961039,0.0526315789473684,0.0335917312661499,0.0335917312661499,0.038961038961039,0.0230179028132992,0.0416666666666667,0.0471204188481675,0.0554089709762533,0.038961038961039,0.038961038961039,0.0498687664041995,0.0554089709762533,0.0554089709762533
"GSM1214836",0.078167115902965,0.0416666666666667,1,0.0416666666666667,0.111111111111111,0.078167115902965,0.0362694300518135,0.0554089709762533,0.169590643274854,0.104972375690608,0.0899182561307902,0.0362694300518135,0.0309278350515464,0.0335917312661499,0.114206128133705,0.0723860589812333,0.0526315789473684,0.162790697674419,0.149425287356322,0.0958904109589041,0.230769230769231,0.0958904109589041,0.0471204188481675,0.126760563380282,0.13960113960114,0.0989010989010989,0.0899182561307902,0.0752688172043011,0.129943502824859,0.0471204188481675,0.123595505617978,0.0416666666666667,0.0638297872340425,0.0695187165775401,0.173020527859238,0.13960113960114,0.0471204188481675,0.208459214501511,0.194029850746269,0.169590643274854,0.038961038961039,0.11731843575419,0.0471204188481675,0.038961038961039,0.0526315789473684,0.0810810810810811,0.0526315789473684,0.0416666666666667,0.0610079575596817,0.0723860589812333,0.0666666666666667,0.0282776349614396,0.0582010582010582,0.0362694300518135,0.0471204188481675,0.038961038961039,0.0638297872340425,0.0362694300518135,0.0443864229765013,0.0282776349614396,0.0362694300518135,0.0471204188481675,0.038961038961039,0.00755667506297229,0.0471204188481675,0.0282776349614396,0.0526315789473684,0.0230179028132992,0.0282776349614396,0.0610079575596817,0.0752688172043011,0.0443864229765013,0.0498687664041995,0.0840108401084011,0.038961038961039,0.0443864229765013,0.0810810810810811,0.0869565217391304,0.0416666666666667,0.0526315789473684,0.0282776349614396,0.0204081632653061,0.0362694300518135,0.0335917312661499,0.0416666666666667,0.0178117048346056,0.0362694300518135,0.0256410256410256,0.0443864229765013,0.0362694300518135,0.0416666666666667,0.0282776349614396,0.0443864229765013,0.0416666666666667,0.0204081632653061,0.0282776349614396,0.0256410256410256,0.0309278350515464,0.0335917312661499,0.0309278350515464,0.0526315789473684,0.0723860589812333,0.0416666666666667,0.038961038961039,0.0362694300518135,0.0126582278481013,0.0526315789473684,0.0362694300518135,0.0335917312661499,0.0309278350515464,0.038961038961039,0.0335917312661499,0.0526315789473684,0.0443864229765013,0.0416666666666667,0.0610079575596817,0.0695187165775401,0.0610079575596817,0.0498687664041995,0.038961038961039,0.0554089709762533,0.0471204188481675,0.0695187165775401,0.0416666666666667,0.0666666666666667,0.0840108401084011,0.0840108401084011,0.0554089709762533,0.0471204188481675,0.0498687664041995
"GSM1214837",0.0899182561307902,0.0471204188481675,0.0416666666666667,1,0.0723860589812333,0.0723860589812333,0.114206128133705,0.123595505617978,0.0582010582010582,0.0638297872340425,0.0582010582010582,0.0498687664041995,0.0869565217391304,0.0443864229765013,0.0989010989010989,0.0899182561307902,0.104972375690608,0.0416666666666667,0.0752688172043011,0.092896174863388,0.0416666666666667,0.0582010582010582,0.0840108401084011,0.0723860589812333,0.0666666666666667,0.0899182561307902,0.0695187165775401,0.0840108401084011,0.0443864229765013,0.0840108401084011,0.11731843575419,0.0810810810810811,0.0752688172043011,0.104972375690608,0.0526315789473684,0.0899182561307902,0.0416666666666667,0.0666666666666667,0.092896174863388,0.0695187165775401,0.0695187165775401,0.0666666666666667,0.0666666666666667,0.120448179271709,0.092896174863388,0.078167115902965,0.0416666666666667,0.0471204188481675,0.0471204188481675,0.0526315789473684,0.0416666666666667,0.0282776349614396,0.0526315789473684,0.0526315789473684,0.0416666666666667,0.0309278350515464,0.0416666666666667,0.0416666666666667,0.0526315789473684,0.038961038961039,0.038961038961039,0.0443864229765013,0.0554089709762533,0.0335917312661499,0.0498687664041995,0.0638297872340425,0.0526315789473684,0.038961038961039,0.0309278350515464,0.0498687664041995,0.0610079575596817,0.0526315789473684,0.0666666666666667,0.0666666666666667,0.0256410256410256,0.0526315789473684,0.0335917312661499,0.0526315789473684,0.0810810810810811,0.0582010582010582,0.0309278350515464,0.0152284263959391,0.0256410256410256,0.0152284263959391,0.0309278350515464,0.0416666666666667,0.0335917312661499,0.0204081632653061,0.0256410256410256,0.0362694300518135,0.0335917312661499,0.0309278350515464,0.0362694300518135,0.0335917312661499,0.0309278350515464,0.038961038961039,0.0309278350515464,0.0230179028132992,0.0416666666666667,0.0256410256410256,0.0335917312661499,0.0471204188481675,0.0204081632653061,0.0230179028132992,0.0204081632653061,0.00755667506297229,0.0309278350515464,0.0282776349614396,0.0230179028132992,0.0152284263959391,0.0416666666666667,0.0335917312661499,0.0256410256410256,0.0309278350515464,0.0230179028132992,0.0638297872340425,0.0526315789473684,0.0610079575596817,0.0471204188481675,0.0526315789473684,0.0582010582010582,0.0416666666666667,0.0695187165775401,0.0471204188481675,0.0695187165775401,0.0610079575596817,0.0471204188481675,0.0610079575596817,0.0582010582010582,0.0638297872340425
"GSM1214838",0.126760563380282,0.0666666666666667,0.111111111111111,0.0723860589812333,1,0.111111111111111,0.0752688172043011,0.111111111111111,0.120448179271709,0.11731843575419,0.0869565217391304,0.0471204188481675,0.0810810810810811,0.0582010582010582,0.208459214501511,0.183431952662722,0.0958904109589041,0.092896174863388,0.146131805157593,0.136363636363636,0.13314447592068,0.146131805157593,0.0989010989010989,0.162790697674419,0.123595505617978,0.13314447592068,0.13960113960114,0.13314447592068,0.0899182561307902,0.120448179271709,0.114206128133705,0.0666666666666667,0.11731843575419,0.11731843575419,0.146131805157593,0.176470588235294,0.0443864229765013,0.11731843575419,0.142857142857143,0.0989010989010989,0.0498687664041995,0.0869565217391304,0.0638297872340425,0.10803324099723,0.0899182561307902,0.0899182561307902,0.0498687664041995,0.0443864229765013,0.0989010989010989,0.0840108401084011,0.0723860589812333,0.0230179028132992,0.078167115902965,0.0471204188481675,0.0498687664041995,0.0582010582010582,0.0840108401084011,0.0471204188481675,0.0810810810810811,0.0416666666666667,0.0362694300518135,0.0666666666666667,0.0443864229765013,0.0178117048346056,0.0554089709762533,0.0526315789473684,0.0554089709762533,0.0471204188481675,0.0335917312661499,0.0554089709762533,0.0554089709762533,0.0443864229765013,0.0695187165775401,0.0958904109589041,0.0362694300518135,0.0723860589812333,0.0638297872340425,0.0810810810810811,0.0869565217391304,0.092896174863388,0.0443864229765013,0.0230179028132992,0.0309278350515464,0.0230179028132992,0.0309278350515464,0.0362694300518135,0.0309278350515464,0.0178117048346056,0.0498687664041995,0.0443864229765013,0.0335917312661499,0.0362694300518135,0.0443864229765013,0.0362694300518135,0.0256410256410256,0.0282776349614396,0.0256410256410256,0.0282776349614396,0.0554089709762533,0.0416666666666667,0.0443864229765013,0.0695187165775401,0.0309278350515464,0.0178117048346056,0.0256410256410256,0.00755667506297229,0.0309278350515464,0.0230179028132992,0.0178117048346056,0.0335917312661499,0.0416666666666667,0.0230179028132992,0.0335917312661499,0.0256410256410256,0.0256410256410256,0.0752688172043011,0.0666666666666667,0.0695187165775401,0.0666666666666667,0.0610079575596817,0.0752688172043011,0.0695187165775401,0.0989010989010989,0.0582010582010582,0.0899182561307902,0.0723860589812333,0.078167115902965,0.0666666666666667,0.0840108401084011,0.0638297872340425
"GSM1214839",0.246105919003115,0.0416666666666667,0.078167115902965,0.0723860589812333,0.111111111111111,1,0.101928374655647,0.0810810810810811,0.101928374655647,0.0869565217391304,0.152737752161383,0.0416666666666667,0.149425287356322,0.0362694300518135,0.238390092879257,0.129943502824859,0.104972375690608,0.146131805157593,0.13314447592068,0.201201201201201,0.114206128133705,0.142857142857143,0.0638297872340425,0.149425287356322,0.104972375690608,0.183431952662722,0.162790697674419,0.253918495297806,0.0582010582010582,0.123595505617978,0.162790697674419,0.0638297872340425,0.230769230769231,0.149425287356322,0.129943502824859,0.166180758017493,0.0362694300518135,0.0989010989010989,0.149425287356322,0.0899182561307902,0.0309278350515464,0.0810810810810811,0.0554089709762533,0.10803324099723,0.142857142857143,0.136363636363636,0.0416666666666667,0.0256410256410256,0.0610079575596817,0.0335917312661499,0.0638297872340425,0.0230179028132992,0.0582010582010582,0.0362694300518135,0.0230179028132992,0.0443864229765013,0.038961038961039,0.0256410256410256,0.038961038961039,0.0282776349614396,0.0282776349614396,0.0335917312661499,0.0335917312661499,0.0126582278481013,0.0443864229765013,0.0335917312661499,0.0471204188481675,0.0178117048346056,0.0256410256410256,0.0416666666666667,0.038961038961039,0.0309278350515464,0.0335917312661499,0.0498687664041995,0.0152284263959391,0.0582010582010582,0.038961038961039,0.038961038961039,0.0416666666666667,0.0526315789473684,0.0204081632653061,0.0204081632653061,0.0126582278481013,0.0152284263959391,0.0204081632653061,0.0101010101010101,0.0204081632653061,0.0126582278481013,0.0178117048346056,0.0335917312661499,0.0178117048346056,0.0152284263959391,0.0178117048346056,0.0204081632653061,0.0101010101010101,0.0230179028132992,0.0126582278481013,0.0101010101010101,0.0256410256410256,0.0152284263959391,0.0230179028132992,0.0723860589812333,0.0256410256410256,0.0101010101010101,0.0309278350515464,0.0025062656641604,0.0204081632653061,0.0204081632653061,0.0178117048346056,0.038961038961039,0.0362694300518135,0.0126582278481013,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0610079575596817,0.0309278350515464,0.0554089709762533,0.0335917312661499,0.0416666666666667,0.0471204188481675,0.0695187165775401,0.0471204188481675,0.0335917312661499,0.0610079575596817,0.0666666666666667,0.0416666666666667,0.038961038961039,0.0443864229765013,0.0695187165775401
"GSM1214840",0.13960113960114,0.126760563380282,0.0362694300518135,0.114206128133705,0.0752688172043011,0.101928374655647,1,0.13314447592068,0.0666666666666667,0.101928374655647,0.0869565217391304,0.169590643274854,0.0958904109589041,0.123595505617978,0.11731843575419,0.114206128133705,0.379310344827586,0.0554089709762533,0.078167115902965,0.104972375690608,0.0610079575596817,0.092896174863388,0.261829652996845,0.120448179271709,0.111111111111111,0.142857142857143,0.10803324099723,0.13314447592068,0.0666666666666667,0.0869565217391304,0.162790697674419,0.179941002949853,0.123595505617978,0.166180758017493,0.0638297872340425,0.120448179271709,0.0335917312661499,0.0638297872340425,0.0666666666666667,0.0695187165775401,0.114206128133705,0.0638297872340425,0.0526315789473684,0.30718954248366,0.129943502824859,0.111111111111111,0.0695187165775401,0.0230179028132992,0.0443864229765013,0.0443864229765013,0.0498687664041995,0.0362694300518135,0.0498687664041995,0.0416666666666667,0.038961038961039,0.0335917312661499,0.0309278350515464,0.0335917312661499,0.0443864229765013,0.0309278350515464,0.0526315789473684,0.0416666666666667,0.038961038961039,0.0335917312661499,0.0526315789473684,0.0362694300518135,0.0362694300518135,0.0282776349614396,0.0256410256410256,0.0309278350515464,0.0582010582010582,0.0526315789473684,0.0498687664041995,0.0471204188481675,0.038961038961039,0.0498687664041995,0.0416666666666667,0.0582010582010582,0.0582010582010582,0.0554089709762533,0.0256410256410256,0.0204081632653061,0.0230179028132992,0.0309278350515464,0.0204081632653061,0.0309278350515464,0.0309278350515464,0.0230179028132992,0.0230179028132992,0.0362694300518135,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0282776349614396,0.0230179028132992,0.0256410256410256,0.0256410256410256,0.0335917312661499,0.0335917312661499,0.0282776349614396,0.0178117048346056,0.078167115902965,0.0256410256410256,0.0335917312661499,0.0309278350515464,0.0178117048346056,0.038961038961039,0.0471204188481675,0.038961038961039,0.0282776349614396,0.0309278350515464,0.038961038961039,0.038961038961039,0.0416666666666667,0.0335917312661499,0.0554089709762533,0.0582010582010582,0.0638297872340425,0.0666666666666667,0.0638297872340425,0.0752688172043011,0.0498687664041995,0.0471204188481675,0.0498687664041995,0.0610079575596817,0.0443864229765013,0.0335917312661499,0.0666666666666667,0.0752688172043011,0.0666666666666667
"GSM1214841",0.136363636363636,0.0695187165775401,0.0554089709762533,0.123595505617978,0.111111111111111,0.0810810810810811,0.13314447592068,1,0.101928374655647,0.179941002949853,0.0443864229765013,0.0695187165775401,0.10803324099723,0.0498687664041995,0.0869565217391304,0.136363636363636,0.0989010989010989,0.0416666666666667,0.0899182561307902,0.0899182561307902,0.0752688172043011,0.136363636363636,0.0840108401084011,0.129943502824859,0.101928374655647,0.114206128133705,0.0810810810810811,0.13314447592068,0.078167115902965,0.0810810810810811,0.13314447592068,0.126760563380282,0.114206128133705,0.149425287356322,0.0723860589812333,0.120448179271709,0.0230179028132992,0.0752688172043011,0.0526315789473684,0.0869565217391304,0.038961038961039,0.0989010989010989,0.0471204188481675,0.092896174863388,0.0989010989010989,0.0958904109589041,0.0723860589812333,0.0309278350515464,0.0471204188481675,0.0335917312661499,0.0416666666666667,0.0638297872340425,0.0471204188481675,0.0471204188481675,0.038961038961039,0.0256410256410256,0.0362694300518135,0.0256410256410256,0.0362694300518135,0.0335917312661499,0.0256410256410256,0.0335917312661499,0.038961038961039,0.0723860589812333,0.0282776349614396,0.0282776349614396,0.0282776349614396,0.0230179028132992,0.0152284263959391,0.0443864229765013,0.0416666666666667,0.038961038961039,0.0471204188481675,0.0526315789473684,0.0101010101010101,0.0335917312661499,0.0498687664041995,0.0610079575596817,0.0498687664041995,0.0362694300518135,0.0309278350515464,0.0204081632653061,0.0256410256410256,0.0416666666666667,0.0309278350515464,0.038961038961039,0.0204081632653061,0.0230179028132992,0.0335917312661499,0.0526315789473684,0.0204081632653061,0.0416666666666667,0.0416666666666667,0.0230179028132992,0.0230179028132992,0.0443864229765013,0.0230179028132992,0.0204081632653061,0.0309278350515464,0.0230179028132992,0.0282776349614396,0.0443864229765013,0.0178117048346056,0.0126582278481013,0.0101010101010101,0.0050251256281407,0.0204081632653061,0.0178117048346056,0.0178117048346056,0.0101010101010101,0.0152284263959391,0.0152284263959391,0.0178117048346056,0.0178117048346056,0.0101010101010101,0.0443864229765013,0.0282776349614396,0.0582010582010582,0.0416666666666667,0.0335917312661499,0.038961038961039,0.0230179028132992,0.0362694300518135,0.0443864229765013,0.0526315789473684,0.0443864229765013,0.0362694300518135,0.0443864229765013,0.0443864229765013,0.0416666666666667
"GSM1214842",0.0989010989010989,0.0554089709762533,0.169590643274854,0.0582010582010582,0.120448179271709,0.101928374655647,0.0666666666666667,0.101928374655647,1,0.226993865030675,0.204819277108434,0.0443864229765013,0.0958904109589041,0.0204081632653061,0.129943502824859,0.0723860589812333,0.0723860589812333,0.197604790419162,0.173020527859238,0.129943502824859,0.242236024844721,0.0989010989010989,0.0638297872340425,0.162790697674419,0.290322580645161,0.13314447592068,0.142857142857143,0.0869565217391304,0.226993865030675,0.0752688172043011,0.129943502824859,0.0666666666666667,0.11731843575419,0.0869565217391304,0.166180758017493,0.10803324099723,0.0526315789473684,0.201201201201201,0.15606936416185,0.30718954248366,0.0498687664041995,0.173020527859238,0.0554089709762533,0.0666666666666667,0.0695187165775401,0.142857142857143,0.078167115902965,0.0335917312661499,0.0610079575596817,0.0723860589812333,0.0723860589812333,0.038961038961039,0.0526315789473684,0.0899182561307902,0.0498687664041995,0.0471204188481675,0.0554089709762533,0.0416666666666667,0.0526315789473684,0.0309278350515464,0.0416666666666667,0.0610079575596817,0.0526315789473684,0.0204081632653061,0.0471204188481675,0.0443864229765013,0.0362694300518135,0.0443864229765013,0.0443864229765013,0.0526315789473684,0.0840108401084011,0.0498687664041995,0.0695187165775401,0.111111111111111,0.0498687664041995,0.0638297872340425,0.111111111111111,0.0989010989010989,0.0498687664041995,0.0638297872340425,0.0309278350515464,0.0152284263959391,0.0256410256410256,0.0443864229765013,0.0309278350515464,0.0101010101010101,0.0443864229765013,0.0178117048346056,0.0335917312661499,0.0416666666666667,0.0256410256410256,0.0178117048346056,0.0362694300518135,0.0416666666666667,0.0256410256410256,0.0152284263959391,0.038961038961039,0.0416666666666667,0.0498687664041995,0.0309278350515464,0.0362694300518135,0.0610079575596817,0.0309278350515464,0.0309278350515464,0.0416666666666667,0.0126582278481013,0.0554089709762533,0.0443864229765013,0.038961038961039,0.0443864229765013,0.0443864229765013,0.0362694300518135,0.0498687664041995,0.0471204188481675,0.038961038961039,0.078167115902965,0.0989010989010989,0.0723860589812333,0.104972375690608,0.0723860589812333,0.0723860589812333,0.0695187165775401,0.078167115902965,0.0526315789473684,0.0840108401084011,0.0869565217391304,0.078167115902965,0.0638297872340425,0.0899182561307902,0.0582010582010582
"GSM1214843",0.123595505617978,0.0498687664041995,0.104972375690608,0.0638297872340425,0.11731843575419,0.0869565217391304,0.101928374655647,0.179941002949853,0.226993865030675,1,0.104972375690608,0.0498687664041995,0.0638297872340425,0.038961038961039,0.114206128133705,0.142857142857143,0.0666666666666667,0.0869565217391304,0.104972375690608,0.152737752161383,0.183431952662722,0.10803324099723,0.0582010582010582,0.169590643274854,0.208459214501511,0.173020527859238,0.111111111111111,0.120448179271709,0.19047619047619,0.0695187165775401,0.166180758017493,0.0840108401084011,0.123595505617978,0.186943620178042,0.101928374655647,0.10803324099723,0.0230179028132992,0.129943502824859,0.0989010989010989,0.176470588235294,0.0471204188481675,0.219512195121951,0.0554089709762533,0.078167115902965,0.0989010989010989,0.10803324099723,0.0695187165775401,0.0362694300518135,0.0443864229765013,0.0554089709762533,0.0638297872340425,0.0498687664041995,0.0638297872340425,0.0958904109589041,0.0362694300518135,0.0309278350515464,0.0335917312661499,0.0498687664041995,0.0554089709762533,0.0256410256410256,0.0416666666666667,0.0443864229765013,0.038961038961039,0.0526315789473684,0.0416666666666667,0.0471204188481675,0.0282776349614396,0.0443864229765013,0.0335917312661499,0.038961038961039,0.0840108401084011,0.0362694300518135,0.0582010582010582,0.0723860589812333,0.038961038961039,0.0582010582010582,0.10803324099723,0.104972375690608,0.038961038961039,0.0498687664041995,0.0335917312661499,0.0050251256281407,0.0204081632653061,0.0416666666666667,0.0152284263959391,0.038961038961039,0.0416666666666667,0.0152284263959391,0.0152284263959391,0.0416666666666667,0.0256410256410256,0.0204081632653061,0.0309278350515464,0.0362694300518135,0.0335917312661499,0.0309278350515464,0.0362694300518135,0.0362694300518135,0.0582010582010582,0.0309278350515464,0.0309278350515464,0.0526315789473684,0.0204081632653061,0.0204081632653061,0.0309278350515464,0.00755667506297229,0.038961038961039,0.0282776349614396,0.0309278350515464,0.0282776349614396,0.0230179028132992,0.0178117048346056,0.0282776349614396,0.0309278350515464,0.0256410256410256,0.0610079575596817,0.078167115902965,0.0666666666666667,0.10803324099723,0.092896174863388,0.0723860589812333,0.0526315789473684,0.0526315789473684,0.0666666666666667,0.078167115902965,0.0610079575596817,0.0471204188481675,0.0666666666666667,0.0899182561307902,0.0638297872340425
