"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID","GeneTitle","Status"
-5.68879073310818,2.90601472295663,-23.5465366376301,5.68097348612567e-48,1.13659236536916e-43,98.1667247504695,"ANKRD34C","390616","ankyrin repeat domain 34C","Down"
-5.02798671976229,3.38407574516846,-19.0048359693016,8.22158366870718e-39,8.22446122299123e-35,77.5783873342215,"CNNM1","26507","cyclin and CBS domain divalent metal cation transport mediator 1","Down"
-5.2242404628943,3.30456646354568,-17.5464410324218,1.24327075999485e-35,8.29137269840566e-32,70.3941342530373,"GLS2","27165","glutaminase 2","Down"
-4.75506206899917,2.9303284861084,-17.4830193461225,1.71973422101312e-35,8.60168063995237e-32,70.0754189299876,"PRSS3","5646","protease, serine 3","Down"
-9.83711341782125,3.81027122701817,-16.9342595497485,2.90769448469081e-34,1.16348487110418e-30,67.2962040641624,"GJB6","10804","gap junction protein beta 6","Down"
-4.17106644534312,3.26296452331101,-16.8632968940528,4.20266315406113e-34,1.40137802872168e-30,66.9340185939454,"DCTN1-AS1","100189589","DCTN1 antisense RNA 1","Down"
-2.93824274269433,4.08972475950231,-16.7850192956832,6.31390245407835e-34,1.80460351998208e-30,66.5337638941774,"CARMIL2","146206","capping protein regulator and myosin 1 linker 2","Down"
-4.07387031385263,3.38418863337799,-16.3580904697788,5.88899114901579e-33,1.47276307397949e-29,64.3373260710277,"SDR16C5","195814","short chain dehydrogenase/reductase family 16C, member 5","Down"
-6.05929185260274,2.84085460508302,-16.1738342594065,1.55404634709064e-32,3.4546450295825e-29,63.3824498362902,"SLC32A1","140679","solute carrier family 32 member 1","Down"
-5.84833968072754,10.7698184873493,-15.6546966034488,2.44334093138853e-31,4.88839220142903e-28,60.6701959393919,"NACC2","138151","NACC family member 2","Down"
7.09715787504042,7.73581327079663,15.5812115797487,3.61765191728864e-31,6.57985108265399e-28,60.2837088368994,"EZH2","2146","enhancer of zeste 2 polycomb repressive complex 2 subunit","Up"
3.46032547730905,9.78813774007497,15.4969497971041,5.67788570670928e-31,9.46645494451105e-28,59.8397755189051,"HAUS1","115106","HAUS augmin like complex subunit 1","Up"
-6.19157067772752,2.93285157948473,-15.380499787509,1.05995536967392e-30,1.61609233547085e-27,59.2249215133488,"ANKRD34A","284615","ankyrin repeat domain 34A","Down"
8.83663192050645,8.0146001021716,15.3684348438732,1.13086883073883e-30,1.61609233547085e-27,59.1611307462263,"KIAA0101","9768","KIAA0101","Up"
-2.11870864715632,2.76799753529367,-15.3196980950741,1.46924042780195e-30,1.95967288260225e-27,58.9032784605861,"VWA5B2","90113","von Willebrand factor A domain containing 5B2","Down"
-5.68521396989831,4.60747061364485,-15.2972518993804,1.6576289875692e-30,2.07276144714356e-27,58.7844320614231,"PHF24","23349","PHD finger protein 24","Down"
-3.17668691147663,14.3032095899511,-15.0557428832612,6.09132460134221e-30,7.1687724293561e-27,57.5021598588963,"GPM6B","2824","glycoprotein M6B","Down"
-6.84383714412924,3.5109282986768,-15.0152053071298,7.58314302479846e-30,8.42866347206349e-27,57.28629975009,"EGR4","1961","early growth response 4","Down"
-3.91418919898671,4.26909628696722,-14.9113779399942,1.33003222620245e-29,1.40052393419118e-26,56.7326131448535,"GPR26","2849","G protein-coupled receptor 26","Down"
1.95925404544755,13.4241374650533,14.8996879267388,1.41698841034561e-29,1.41748435628923e-26,56.6702003912725,"YBX1","4904","Y-box binding protein 1","Up"
2.8323642234546,11.1398571873273,14.7880018526574,2.59685905163207e-29,2.47406471647633e-26,56.0731760804924,"VEZF1","7716","vascular endothelial zinc finger 1","Up"
2.24903510151673,10.2864015420287,14.6660995431323,5.03762160350164e-29,4.58125888278442e-26,55.4200391889523,"RBM12","10137","RNA binding motif protein 12","Up"
