"","Normal","EPN","GBM","MED","PA"
"Cluster_1",0,9,0,0,0
"Cluster_2",0,35,0,0,0
"Cluster_3",13,0,1,0,0
"Cluster_4",0,2,33,1,15
"Cluster_5",0,0,0,21,0
