"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"R-HSA-9013406","RHOQ GTPase cycle",2.15116544442078,10,0.125413907284768,1.07771020091771e-24,1.18812621474227e-08,"ARHGAP17, ARL13B, CAV1, CDC42, DEPDC1B, DIAPH3, IQGAP1, IQGAP3, PAK2, SCRIB, SLC4A7, STEAP3, SYDE1, TRIP10, VANGL1","ARHGAP26, ARHGAP32, ARHGAP33, ARHGEF9, CDC42BPA, CPNE8, GFOD1, GJA1, MPP7, PAK1"
"R-HSA-69473","G2/M DNA damage checkpoint",2.28453770197487,10,0.306436170212766,4.05963716270071e-24,3.91669872601512e-10,"ATM, ATRIP, BARD1, BLM, BRCA1, BRIP1, CCNB1, CDC25C, CDK1, CHEK1, CHEK2, EXO1, FAM175A, MDC1, RBBP8, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, SFN, TP53, WEE1, WRN","YWHAG, YWHAH"
"R-HSA-8980692","RHOA GTPase cycle",1.69225014961101,10,0.0821341463414634,5.91061045116449e-24,7.27264840912243e-06,"ACTC1, AKAP13, ARAP1, ARAP3, ARHGAP18, ARHGAP19, ARHGAP42, ARHGEF40, CAV1, DEPDC1B, DIAPH3, ECT2, FMNL3, IQGAP1, IQGAP3, LBR, MYO9B, PKN2, PLEKHG4, PTRF, RACGAP1, ROCK1, SOWAHC, SRGAP1, TAGAP, TMPO, VANGL1","ABR, ARAP2, ARHGAP20, ARHGAP23, ARHGAP26, ARHGAP32, ARHGAP44, ARHGEF2, ARHGEF25, ARHGEF3, BCR, HMOX2, KALRN, MCF2, MCF2L, MYO9A, NGEF, PCDH7, RASGRF2, ROCK2, SLK, TIAM1"
"R-HSA-1474244","Extracellular matrix organization",1.8167635385456,10,0.0644148936170213,9.2682536301449e-24,5.5344114821695e-14,"A2M, ACAN, ADAM12, ADAM9, ADAMTS2, BGN, BMP2, CAPN2, CD151, CD44, CDH1, COL18A1, COL1A1, COL1A2, COL21A1, COL22A1, COL28A1, COL3A1, COL4A1, COL4A2, COL4A6, COL5A1, COL5A2, COL6A1, COL6A2, COL6A3, COL8A1, COL8A2, CRTAP, CTSK, CTSS, EFEMP2, ELN, EMILIN1, EMILIN3, FBLN5, FBN1, FBN2, FBN3, FN1, HSPG2, IBSP, ICAM1, ITGA1, ITGA2, ITGA4, ITGA5, ITGB1, ITGB2, ITGB8, KDR, LAMA1, LAMA2, LAMA4, LAMB2, LAMC1, LOX, LOXL1, LOXL2, LOXL3, LTBP2, LTBP3, LUM, MFAP2, MFAP4, MMP19, MMP2, MMP9, NCSTN, NID1, NID2, P3H1, P3H2, P4HA1, P4HB, PCOLCE, PCOLCE2, PLOD1, PLOD2, PLOD3, PPIB, PXDN, SCUBE3, SDC1, SERPINE1, SERPINH1, SPARC, TGFB1, TIMP1, TNC, VCAM1, VCAN","ADAM19, ADAMTS18, ADAMTS8, CAPN3, COL23A1, COL24A1, FGF2, ICAM2, ICAM5, NRXN1, PRKCA, PRSS2, SDC4, SPOCK3, TLL2"
"R-HSA-5633007","Regulation of TP53 Activity",1.59646240529341,10,0.338260451192131,1.86264666178767e-23,1.31199399549384e-17,"AKT2, ATM, ATRIP, AURKA, AURKB, BARD1, BLM, BRCA1, BRIP1, CCNA2, CDK1, CDK2, CDKN2A, CHEK1, CHEK2, DYRK2, EHMT1, EXO1, HDAC1, PRDM1, PRMT5, RBBP4, RBBP8, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, SETD9, SSRP1, TP53, TP53INP1, TP53RK, TPX2, WRN","BRPF3, CDK5, CDK5R1, CHD3, MAPK11, NUAK1, PIN1, PIP4K2A, PIP4K2B, PIP4K2C, PPP1R13B, PRKAA2, TAF4B, TAF7L"
"R-HSA-69190","DNA strand elongation",3.17296903052065,10,0.231060606060606,4.31315724091706e-23,7.32654246736139e-15,"GINS2, GINS3, LIG1, MCM2, MCM3, MCM4, MCM5, MCM7, MCM8, PCNA, POLA1, POLD1, POLD3, PRIM1, PRIM2, RFC1, RFC2, RFC3, RFC4, RFC5",""
"R-HSA-195258","RHO GTPase Effectors",1.95259632647424,10,0.579574468085106,3.56520060096408e-22,3.09945275183761e-14,"ABL1, ARPC1B, AURKB, BIRC5, BUB1, BUB1B, CDC20, CDC25C, CDC42, CDCA8, CDH1, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPM, CENPQ, CENPU, CTNNA1, CYBA, DIAPH3, DVL3, ERCC6L, FLNA, FMNL3, IQGAP1, IQGAP2, IQGAP3, ITGB1, KIF14, KIF18A, KIF2C, KNTC1, LIMK2, MAD2L1, MAPRE1, MIS12, NCF2, NCKAP1L, NDC80, NDE1, NUF2, NUP107, NUP160, NUP37, NUP85, PAK2, PFN1, PKN2, PRC1, RAC2, RCC2, RHOC, ROCK1, SFN, SPC25, SPDL1, TUBB6, WASF2, ZWINT","BAIAP2, CYFIP2, DLG4, DYNC1I1, DYNC1LI1, EVL, FMNL1, KIF5A, KLC1, KLC2, LIMK1, LIN7B, MAPK11, MYH11, NCKIPSD, NDEL1, NOXA1, PAK1, PAK3, PIN1, PPP1R12B, PPP1R14A, PPP2R5A, PPP2R5B, PRKCA, PRKCB, PRKCZ, RANGAP1, ROCK2, SCAI, TUBA4A, TUBB2A, TUBB4A, WASF1, WASF3, WIPF3, YWHAG, YWHAH"
"R-HSA-2565942","Regulation of PLK1 Activity at G2/M Transition",1.59386351300572,10,0.146035053315357,8.08734639008389e-22,2.63789286827585e-11,"AJUBA, ALMS1, AURKA, BORA, CCNB1, CCNB2, CDK1, CEP135, CEP152, CEP192, CEP57, CETN2, CNTRL, HAUS1, MAPRE1, NDE1, NEDD1, NINL, ODF2, PLK4","BTRC, OPTN, PPP1R12B, PRKAR2B, TUBA4A, TUBB4A, YWHAG"
"R-HSA-69242","S Phase",1.48203273972144,10,0.246161616161616,1.34802638390041e-21,3.08462514643793e-11,"AKT2, CCNA2, CCND1, CDC25A, CDCA5, CDK2, CDK4, CDT1, CKS1B, E2F5, GINS2, GINS3, LIG1, MCM2, MCM3, MCM4, MCM5, MCM7, MCM8, MYC, ORC2, PCNA, POLA1, POLD1, POLD3, POLE2, PRIM1, PRIM2, PSMB8, PSMB9, PSME1, PSMF1, RB1, RBBP4, RFC1, RFC2, RFC3, RFC4, RFC5, SKP2, SMC1A, SMC3, STAG1, UBE2C, WEE1","ANAPC15, CABLES1"
"R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation",1.93137245336039,10,0.268813131313131,1.58310617653106e-21,8.92265924159749e-13,"ATM, ATRIP, AURKA, AURKB, BARD1, BLM, BRCA1, BRIP1, CCNA2, CDK2, CHEK1, CHEK2, DYRK2, EXO1, RBBP8, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, SSRP1, TP53, TP53INP1, TP53RK, TPX2, WRN","CDK5, CDK5R1, MAPK11, NUAK1, PIN1, PRKAA2, TAF4B, TAF7L"
