"GeneSymbol","Degree","Strength","Closeness","Betweenness","EigenCentrality","Community","name","logFC","adj.P.Val","Status"
"STYK1",29,26.1268408487566,0.434362445645402,0.021239160487621,0.978514879756229,1,"STYK1",-4.09668889477476,1.91978317467251e-27,"Down"
"DCTN1-AS1",25,22.1703635137924,0.432478340312277,0.0116878220434837,0.817917340426479,1,"DCTN1-AS1",-4.1485630911666,4.89384412963148e-38,"Down"
"KCNV1",25,22.927828447103,0.406775812995705,0.005655397762976,1,6,"KCNV1",-4.45842642091072,4.51121456985714e-21,"Down"
"LINC00507",23,21.0758447215603,0.401119591385332,0.0011729713878765,0.975903120373817,6,"LINC00507",-4.33506160299336,3.88822885238918e-22,"Down"
"LY86-AS1",23,21.1604779921301,0.402042272216736,0.00100540404675129,0.980093362298751,6,"LY86-AS1",-3.46957984816233,2.00867395802837e-20,"Down"
"LINC01123",21,18.8800364752612,0.365277982112126,4.18918352813037e-05,0.887527790525862,6,"LINC01123",-3.93296066339981,1.71049553299612e-23,"Down"
"SLC26A4-AS1",21,19.305277743438,0.36932699708811,0.000293242846969126,0.929682011003689,6,"SLC26A4-AS1",-3.85880483747028,1.22948506463412e-18,"Down"
"SDR16C5",19,16.6912377358208,0.4396531284176,0.019312136064681,0.48337063668905,1,"SDR16C5",-4.00997903277331,2.80565154391068e-36,"Down"
"TMEM191A",19,16.8938946925856,0.383734960098808,0.00134053872900172,0.812631414112348,6,"TMEM191A",-2.86331016406318,3.51918434322157e-29,"Down"
"ANKRD34C",18,15.6731193161312,0.437853395018457,0.00858782623266725,0.358612355074401,1,"ANKRD34C",-5.65388765095549,1.34921110210806e-52,"Down"
"CCKBR",18,15.6501306214118,0.382475821514298,0.0045243182103808,0.614768648420987,2,"CCKBR",-3.91488082399967,1.61559361855715e-25,"Down"
"MCHR2",18,16.4230389931719,0.360179084666236,0,0.815315990190452,6,"MCHR2",-1.46896420316844,4.58887624550373e-19,"Down"
"VIP",18,16.2028439256775,0.358613414570773,0,0.82671557309146,6,"VIP",-3.69308765106253,6.87994742940088e-18,"Down"
"CDH9",17,15.3335208281192,0.345716061838914,0,0.780677436821356,6,"CDH9",-2.34606838710191,2.19682571581685e-17,"Down"
"GABRA4",17,15.0236427315501,0.386838018371944,0.000712161199782162,0.676486846952974,1,"GABRA4",-6.22992094577923,3.59573836556475e-29,"Down"
"GPR22",17,15.1475345692815,0.355385521373626,0,0.77274812800336,6,"GPR22",-3.87906995510908,5.5115793804952e-20,"Down"
"ICAM5",17,15.1802837388845,0.347299790809342,0,0.752662323949346,6,"ICAM5",-2.28204880729422,6.86598283340671e-19,"Down"
"CREG2",15,13.0555553491187,0.373765247234004,4.18918352813037e-05,0.613136710066334,6,"CREG2",-5.0158851204405,6.93295368011281e-24,"Down"
"RASAL1",15,13.2984438079211,0.342706543383391,0,0.694015478805729,6,"RASAL1",-2.3312946369718,3.28217437610174e-17,"Down"
"CTXN3",14,12.3938837532953,0.379078319265218,0,0.519972687809325,1,"CTXN3",-4.32996785846318,3.18917992790144e-24,"Down"
"RXFP1",14,12.5788297534466,0.325158092487142,0,0.678514533931709,6,"RXFP1",-3.10690453523761,1.84497483494305e-17,"Down"
"GLS2",12,10.4859629231973,0.391593284185541,0.0115621465376398,0.164074532776556,2,"GLS2",-5.50193731906101,2.57151902914915e-41,"Down"
"KCNH3",11,9.6795108867517,0.299683967127375,0,0.525712740030048,6,"KCNH3",-4.22919342962196,7.26704334954742e-22,"Down"
"PHF24",11,9.67776193120904,0.383445431471461,0,0.306931339687377,1,"PHF24",-5.73578287565497,1.48295608885162e-32,"Down"
"GPR26",10,8.7063395023567,0.33057594491703,8.37836705626073e-05,0.375794462259718,1,"GPR26",-4.11747115450651,1.89576764366921e-35,"Down"
"NECAB1",10,8.70235254383212,0.35205628168278,0,0.454091475889964,1,"NECAB1",-4.39096633307725,1.59455504606357e-19,"Down"
"CNNM1",9,7.79799352921557,0.389756461060099,0.0104310669850446,0.171658044022915,1,"CNNM1",-4.82352494569711,1.71141828281125e-39,"Down"
"LMO7",9,7.98066743670143,0.311920916908264,0,0.4630235400329,6,"LMO7",-1.64768515449553,1.5154662352168e-18,"Down"
"CAMK2A",8,7.05824285157331,0.355778063177554,0,0.239949252386954,1,"CAMK2A",-7.16057833718883,2.39059640164478e-29,"Down"
"PRSS3",8,7.06622407988415,0.346761986470469,0.00628377529219555,0.0786839405800525,2,"PRSS3",-4.66858115750217,2.29369438220238e-38,"Down"
"CARMIL2",7,6.04675547637432,0.370262315057667,0.018893217711868,0.0681136699007967,3,"CARMIL2",-3.20595105415391,1.87333575183099e-40,"Down"
"EGR4",7,6.07849055972424,0.34421011747872,0.00175945708181475,0.114332124789679,2,"EGR4",-6.97362303416122,1.75129999402935e-34,"Down"
"SLC32A1",6,5.29244114455872,0.343614821040795,0.000377026517531733,0.11547302607236,2,"SLC32A1",-5.87105477311749,9.52403824541849e-35,"Down"
"SVOP",6,5.20803342524453,0.758909763864255,0.000712161199782162,1.29520006183496e-16,25,"SVOP",-6.85126862050638,2.14113186493671e-18,"Down"
"CARTPT",4,3.43594761167976,0.3372670356317,0,0.157389529909291,1,"CARTPT",-3.05992881254925,5.69827320370891e-23,"Down"
"LOC100132207",4,3.43601413437413,0.281479743086869,0,0.190385635893,6,"LOC100132207",-1.12808110230927,9.18279657495155e-17,"Down"
"SLC12A5",4,3.46469185624681,0.217541829797042,0.0123161995727033,0.000206961337614169,3,"SLC12A5",-8.60194804339238,7.87490937976327e-22,"Down"
"BSN",3,2.61823973620046,0.551652375818416,0.000251351011687822,9.06640043284475e-17,25,"BSN",-5.61333096140474,1.26003246286696e-22,"Down"
"GJB6",3,2.58923391568284,0.321116598524554,0,0.0783679537821192,1,"GJB6",-9.29804683670895,1.35626347531504e-35,"Down"
"HAR1A",3,2.57250020418432,0.31833766825088,0,0.0554028445487323,1,"HAR1A",-3.41108680584846,1.89393658838008e-31,"Down"
"PACSIN1",3,2.61733173188757,0.177510202910267,0.00259729378744083,1.25042314121045e-05,3,"PACSIN1",-8.56083676759764,3.21498503401571e-23,"Down"
"RYR2",3,2.61398897721571,0.278830195678315,0.00259729378744083,0.0134225624924192,2,"RYR2",-5.18313549187627,3.4654378798766e-26,"Down"
"SLC6A17",3,2.57946967110823,0.311314845856941,0,0.0296877999655629,3,"SLC6A17",-4.30634511010763,5.72891196017981e-33,"Down"
"SYN2",3,2.57758978075713,0.176662043974777,0.00259729378744083,1.22269221192765e-05,3,"SYN2",-7.09132788980474,6.5048009480011e-21,"Down"
"ANKRD34A",2,1.75816648712641,0.274238337141168,0.00259729378744083,0.00973254778879998,1,"ANKRD34A",-5.74513047988087,2.73732380824545e-28,"Down"
"BTBD9",2,1.72548342475147,0.292775449216372,0,0.0747173944853931,1,"BTBD9",-2.8533328400242,2.62144984669918e-24,"Down"
"CLEC2L",2,1.7881627857607,0.467587705556217,0,5.18080024733986e-17,25,"CLEC2L",-5.60192254743465,2.33222335859985e-23,"Down"
"CPLX2",2,1.78853670968786,0.514094699727357,0,3.88560018550489e-17,25,"CPLX2",-5.83229603634385,4.59120858864142e-19,"Down"
"FNDC9",2,1.72676318784384,0.269543048812861,0,0.0401245641994241,2,"FNDC9",-3.53665138542827,1.96912807412992e-19,"Down"
"IQSEC3",2,1.7079330832382,0.275660675738234,0.0143270076662059,0.00375201155121843,3,"IQSEC3",-4.35129923401756,8.4557830116281e-27,"Down"
"KRT222",2,1.78671509190507,0.467216506418464,0,1.29520006183496e-17,25,"KRT222",-5.63567432128836,7.31439334088506e-20,"Down"
"LGI3",2,1.74802951536191,0.272036876940205,0.00259729378744083,0.00947479102164182,1,"LGI3",-5.47242752440039,2.98535441176197e-29,"Down"
"NPM2",2,1.7068273326879,0.291690384686444,0,0.0653817582688533,1,"NPM2",-3.75877872831111,2.06932034334394e-27,"Down"
"PRSS2",2,1.76324309739675,0.254128896718774,0.00259729378744083,0.00458601265478363,2,"PRSS2",-1.88406209183485,4.05384907314352e-29,"Down"
"SPTB",2,1.71523525334029,0.275799470338692,0,0.013363676950376,2,"SPTB",-4.92237891763531,5.22010200648272e-34,"Down"
"WEE1",2,1.70893906335687,0.310179461161975,0,0.0542287710824188,1,"WEE1",5.40032028548922,5.04286072883615e-30,"Up"
"AKAP5",1,0.876810610809731,0.292003300105686,0,0.0550272121776192,1,"AKAP5",-3.09297735479941,1.95998483431144e-18,"Down"
"CACNG3",1,0.863351330657155,0.863351330657155,0,3.88560018550489e-17,39,"CACNG3",-5.98277176052202,4.93382805270523e-22,"Down"
"CPNE9",1,0.851961974307958,0.259341606040573,0,0.00372184919038391,3,"CPNE9",-4.32117405294688,1.75026362966171e-25,"Down"
"DLG2",1,0.852360858723113,0.146732665422136,0,6.68413055688986e-07,3,"DLG2",-5.78200800749895,2.13130352764927e-21,"Down"
"GABRA1",1,0.870242425092142,0.147833988345256,0,6.97913395476944e-07,3,"GABRA1",-7.24913474764011,4.3894107516605e-19,"Down"
"IPCEF1",1,0.855504877165217,0.855504877165217,0,3.23800015458741e-17,16,"IPCEF1",-6.71853812981065,9.7286315855174e-25,"Down"
"KCNJ9",1,0.876951115933646,0.209701752099481,0,0.000547401785769692,1,"KCNJ9",-6.82736620754556,3.61227139610506e-21,"Down"
"LINC00889",1,0.863351330657155,0.863351330657155,0,2.59040012366993e-17,39,"LINC00889",-4.71704153366286,2.49977961471512e-21,"Down"
"LOC285147",1,0.855504877165217,0.855504877165217,0,3.23800015458741e-17,16,"LOC285147",-5.72201265650132,1.86398894933912e-25,"Down"
"LOC401220",1,0.899949937932717,0.213677615331321,0,0.000774743722324893,2,"LOC401220",-2.92578836607916,2.43175351532929e-19,"Down"
"LRTM2",1,0.853499367896293,0.291751896400134,0,0.0264598725828656,1,"LRTM2",-2.88553673753662,3.69405375795826e-21,"Down"
"MARCH11",1,0.850569217988054,0.4300320205113,0,1.29520006183496e-17,25,"MARCH11",-4.32884069454885,1.98772935085758e-21,"Down"
"MTUS2",1,0.894336259604524,0.273667502262329,0,0.00941122800380786,2,"MTUS2",-2.635472179681,2.3241056346463e-29,"Down"
"PPFIA3",1,0.861554564888247,0.356174172290943,0,1.29520006183496e-17,25,"PPFIA3",-3.51258232143787,3.74677885562121e-21,"Down"
"PRSS3P2",1,0.857239162106874,0.19673304531349,0,0.000252139874217354,2,"PRSS3P2",-1.04347723365352,6.0753456681547e-22,"Down"
"RFPL2",1,0.853460928244148,0.291747475969942,0,0.0264586808909486,1,"RFPL2",-2.27632589327482,3.96462061363663e-24,"Down"
"SNAI3-AS1",1,0.866985769762974,0.290922800962877,0,0.0544106210845986,1,"SNAI3-AS1",-1.11606742046529,2.66093481958226e-24,"Down"
"SPTBN4",1,0.873914384855402,0.435068535302352,0,6.47600030917482e-18,25,"SPTBN4",-2.59956466502413,1.35000570345403e-18,"Down"
"SYNPR",1,0.858176884684561,0.17410738316343,0,1.13912219796658e-05,3,"SYNPR",-8.14239158278416,4.72158520508502e-17,"Down"
"TMEM151A",1,0.890235354798843,0.209141992467305,0,0.000540976945729943,1,"TMEM151A",-4.38527009731046,2.16585224910603e-21,"Down"
"ABCG4",0,0,NA,0,4.55343771738855e-19,44,"ABCG4",-2.89319524281052,1.24777168092464e-21,"Down"
"ABLIM2",0,0,NA,0,4.55343771738855e-19,14,"ABLIM2",-4.71821638039041,1.22121500744998e-25,"Down"
"ADAM11",0,0,NA,0,4.55343771738855e-19,60,"ADAM11",-5.26182480471559,4.42035531402861e-20,"Down"
"ANXA3",0,0,NA,0,4.55343771738855e-19,99,"ANXA3",-4.09001239431637,6.1100077645847e-18,"Down"
"ARHGAP44",0,0,NA,0,4.55343771738855e-19,37,"ARHGAP44",-5.30089024847581,2.83034716223265e-22,"Down"
"ARHGDIG",0,0,NA,0,4.55343771738855e-19,9,"ARHGDIG",-5.51073701142748,6.1310661550178e-27,"Down"
"ATP2B3",0,0,NA,0,4.55343771738855e-19,101,"ATP2B3",-3.75297569764372,6.69327193882841e-18,"Down"
"B3GNT4",0,0,NA,0,4.55343771738855e-19,79,"B3GNT4",-1.40949327288356,6.17426557299836e-19,"Down"
"BCDIN3D",0,0,NA,0,4.55343771738855e-19,146,"BCDIN3D",2.47116373649717,9.56548514391067e-17,"Up"
"CABP1",0,0,NA,0,4.55343771738855e-19,19,"CABP1",-4.84460735846009,6.87217968184582e-25,"Down"
"CALY",0,0,NA,0,4.55343771738855e-19,107,"CALY",-6.15828441183307,1.0720713245847e-17,"Down"
"CAMTA2",0,0,NA,0,4.55343771738855e-19,12,"CAMTA2",-2.66490885626522,6.35700932473237e-26,"Down"
"CASKIN1",0,0,NA,0,4.55343771738855e-19,62,"CASKIN1",-3.97140880203491,8.61305249372868e-20,"Down"
"CCDC90B",0,0,NA,0,4.55343771738855e-19,105,"CCDC90B",1.19178053714385,1.05251717583813e-17,"Up"
"CDK1",0,0,NA,0,4.55343771738855e-19,130,"CDK1",5.22345691439355,4.44667028661604e-17,"Up"
"CDK2",0,0,NA,0,4.55343771738855e-19,31,"CDK2",4.2280248975806,5.91620679450244e-23,"Up"
"CES4A",0,0,NA,0,4.55343771738855e-19,73,"CES4A",-3.47520778943005,3.30964761022758e-19,"Down"
"CHST14",0,0,NA,0,4.55343771738855e-19,20,"CHST14",3.45065919100486,2.1789302675291e-24,"Up"
"CKLF-CMTM1",0,0,NA,0,4.55343771738855e-19,125,"CKLF-CMTM1",2.66193147106805,3.75135097381551e-17,"Up"
"CLEC4GP1",0,0,NA,0,4.55343771738855e-19,103,"CLEC4GP1",-1.25738369962295,7.41483553181389e-18,"Down"
"CNTNAP4",0,0,NA,0,4.55343771738855e-19,140,"CNTNAP4",-4.66917272732137,7.14406194652909e-17,"Down"
"CYP20A1",0,0,NA,0,4.55343771738855e-19,118,"CYP20A1",1.97546378255429,2.24600652063101e-17,"Up"
"CYP4X1",0,0,NA,0,4.55343771738855e-19,15,"CYP4X1",-5.24597316749106,1.61559361855715e-25,"Down"
"DDOST",0,0,NA,0,4.55343771738855e-19,100,"DDOST",1.57654569052328,6.40415842012133e-18,"Up"
"DGCR5",0,0,NA,0,4.55343771738855e-19,98,"DGCR5",-4.6594090672831,5.37307314029403e-18,"Down"
"DGKZ",0,0,NA,0,4.55343771738855e-19,24,"DGKZ",-2.99747473717463,1.71049553299612e-23,"Down"
"DLG4",0,0,NA,0,4.55343771738855e-19,102,"DLG4",-3.44322844557542,6.86757391966396e-18,"Down"
"DMTN",0,0,NA,0,4.55343771738855e-19,110,"DMTN",-4.25487246921414,1.11580531185292e-17,"Down"
"DPH6",0,0,NA,0,4.55343771738855e-19,56,"DPH6",2.77911116442124,3.47002495480381e-20,"Up"
"DTNB",0,0,NA,0,4.55343771738855e-19,114,"DTNB",-2.64925526510329,1.59521566925226e-17,"Down"
"DYNLT1",0,0,NA,0,4.55343771738855e-19,67,"DYNLT1",2.13322872281078,2.04077920875711e-19,"Up"
"E2F5",0,0,NA,0,4.55343771738855e-19,149,"E2F5",3.26668061243938,1.1336341054954e-16,"Up"
"ENTPD3",0,0,NA,0,4.55343771738855e-19,54,"ENTPD3",-4.51749945321447,2.44507485099943e-20,"Down"
"F2R",0,0,NA,0,4.55343771738855e-19,53,"F2R",4.52537741407843,2.20649366761249e-20,"Up"
"FABP3",0,0,NA,0,4.55343771738855e-19,112,"FABP3",-3.88937525736233,1.21956819327112e-17,"Down"
"FAM114A2",0,0,NA,0,4.55343771738855e-19,116,"FAM114A2",1.75183907109586,1.73065399415415e-17,"Up"
"FBXW7",0,0,NA,0,4.55343771738855e-19,104,"FBXW7",-2.88213420502893,8.92732543303039e-18,"Down"
"FRMPD4",0,0,NA,0,4.55343771738855e-19,51,"FRMPD4",-5.8880038960238,1.2325808772204e-20,"Down"
"GABRB2",0,0,NA,0,4.55343771738855e-19,124,"GABRB2",-6.32428610274649,3.75135097381551e-17,"Down"
"GAD2",0,0,NA,0,4.55343771738855e-19,26,"GAD2",-6.00240600894458,2.94543104612988e-23,"Down"
"GARNL3",0,0,NA,0,4.55343771738855e-19,94,"GARNL3",-3.11274906032492,3.82573659288493e-18,"Down"
"GFOD1",0,0,NA,0,4.55343771738855e-19,151,"GFOD1",-2.97164111663038,1.36665447194845e-16,"Down"
"GNAI3",0,0,NA,0,4.55343771738855e-19,126,"GNAI3",1.47528632034096,3.77485499988439e-17,"Up"
"GOT1",0,0,NA,0,4.55343771738855e-19,35,"GOT1",-2.73918422587574,1.26691013963009e-22,"Down"
"GPX7",0,0,NA,0,4.55343771738855e-19,75,"GPX7",4.33504854387771,3.52419661867099e-19,"Up"
"GTF2H2B",0,0,NA,0,4.55343771738855e-19,86,"GTF2H2B",2.68439861763543,1.33869606374543e-18,"Up"
"HMGN1",0,0,NA,0,4.55343771738855e-19,127,"HMGN1",1.71487528611703,4.02639220405289e-17,"Up"
"HS3ST4",0,0,NA,0,4.55343771738855e-19,91,"HS3ST4",-5.36336765321368,2.18140377818646e-18,"Down"
"HSD17B10",0,0,NA,0,4.55343771738855e-19,136,"HSD17B10",1.7215754389879,5.19654124640986e-17,"Up"
"HTR2A",0,0,NA,0,4.55343771738855e-19,117,"HTR2A",-4.79688568553169,1.78388422268038e-17,"Down"
"HTR5A",0,0,NA,0,4.55343771738855e-19,95,"HTR5A",-1.21926147157397,4.45506923851266e-18,"Down"
"INPP5J",0,0,NA,0,4.55343771738855e-19,33,"INPP5J",-2.29833081407022,9.73578404621086e-23,"Down"
"IQSEC2",0,0,NA,0,4.55343771738855e-19,59,"IQSEC2",-2.49178861545076,4.00918922500129e-20,"Down"
"ITPKA",0,0,NA,0,4.55343771738855e-19,74,"ITPKA",-5.00858659639356,3.40350175893071e-19,"Down"
"KCNAB2",0,0,NA,0,4.55343771738855e-19,23,"KCNAB2",-4.75501561851499,1.66050710618446e-23,"Down"
"KIAA0513",0,0,NA,0,4.55343771738855e-19,18,"KIAA0513",-3.97646810351776,3.05273856397743e-25,"Down"
"KIAA1644",0,0,NA,0,4.55343771738855e-19,142,"KIAA1644",-5.06241246104392,7.41650408537651e-17,"Down"
"KRTAP5-AS1",0,0,NA,0,4.55343771738855e-19,47,"KRTAP5-AS1",-2.39185662051585,3.16090481920896e-21,"Down"
"LINC00950",0,0,NA,0,4.55343771738855e-19,7,"LINC00950",-2.08534326555267,1.86512446202715e-28,"Down"
"LOC100287576",0,0,NA,0,4.55343771738855e-19,80,"LOC100287576",-1.8676881265597,7.96241527345218e-19,"Down"
"LOC100506563",0,0,NA,0,4.55343771738855e-19,148,"LOC100506563",-2.98361576743662,9.86942145245527e-17,"Down"
"LOC101930324",0,0,NA,0,4.55343771738855e-19,71,"LOC101930324",-2.89678134000901,2.74655617729413e-19,"Down"
"LOC101930363",0,0,NA,0,4.55343771738855e-19,29,"LOC101930363",-5.55387373542341,3.97438192971484e-23,"Down"
"LOC101930630",0,0,NA,0,4.55343771738855e-19,66,"LOC101930630",-1.50016103036654,1.50266785812454e-19,"Down"
"LOC102725213",0,0,NA,0,4.55343771738855e-19,52,"LOC102725213",-2.40526012295549,2.06782733781934e-20,"Down"
"LOC283713",0,0,NA,0,4.55343771738855e-19,69,"LOC283713",-4.05289879034293,2.6594662968934e-19,"Down"
"LYNX1",0,0,NA,0,4.55343771738855e-19,85,"LYNX1",-3.77431215096148,1.26451495524157e-18,"Down"
"MADD",0,0,NA,0,4.55343771738855e-19,90,"MADD",-2.2555591975578,1.93703826908856e-18,"Down"
"MAP2K4",0,0,NA,0,4.55343771738855e-19,93,"MAP2K4",-1.96413456394971,3.68034920642279e-18,"Down"
"MAPK8IP2",0,0,NA,0,4.55343771738855e-19,115,"MAPK8IP2",-2.67153101846562,1.73065399415415e-17,"Down"
"MDH1",0,0,NA,0,4.55343771738855e-19,50,"MDH1",-1.51403772107101,8.86960607504651e-21,"Down"
"METAP2",0,0,NA,0,4.55343771738855e-19,143,"METAP2",1.09738340744523,7.61204325167794e-17,"Up"
"MFSD4A",0,0,NA,0,4.55343771738855e-19,49,"MFSD4A",-5.49777075926792,6.52123317134926e-21,"Down"
"MGME1",0,0,NA,0,4.55343771738855e-19,87,"MGME1",2.03458691838304,1.33869606374543e-18,"Up"
"MIR4745",0,0,NA,0,4.55343771738855e-19,58,"MIR4745",1.99718176964398,3.48869542446678e-20,"Up"
"MIR7-3HG",0,0,NA,0,4.55343771738855e-19,141,"MIR7-3HG",-4.99432660293846,7.37624601115431e-17,"Down"
