"ProbeID","GeneSymbol","EntrezID","GeneTitle","GOProcess","GOProcessID","GOFunction","GOFunctionID","GOComponent","GOComponentID"
"203507_at","LOC101928634","101928634","uncharacterized LOC101928634","cellular response to organic substance","GO:0071310","","","endosome membrane///integral component of membrane///lysosomal membrane///membrane///plasma membrane","GO:0010008///GO:0016021///GO:0005765///GO:0016020///GO:0005886"
"203508_at","TNFRSF1B","7133","TNF receptor superfamily member 1B","RNA destabilization///aging///apoptotic signaling pathway///cellular response to growth factor stimulus///cellular response to lipopolysaccharide///extrinsic apoptotic signaling pathway///immune response///inflammatory response///intrinsic apoptotic signaling pathway in response to DNA damage///multicellular organism development///negative regulation of inflammatory response///positive regulation of MAPK cascade///positive regulation of membrane protein ectodomain proteolysis///regulation of apoptotic process///regulation of cell proliferation///tumor necrosis factor-mediated signaling pathway","GO:0050779///GO:0007568///GO:0097190///GO:0071363///GO:0071222///GO:0097191///GO:0006955///GO:0006954///GO:0008630///GO:0007275///GO:0050728///GO:0043410///GO:0051044///GO:0042981///GO:0042127///GO:0033209","protein binding///tumor necrosis factor-activated receptor activity///ubiquitin protein ligase binding","GO:0005515///GO:0005031///GO:0031625","extracellular region///integral component of plasma membrane///membrane raft///neuronal cell body///nucleus///perinuclear region of cytoplasm///plasma membrane///varicosity","GO:0005576///GO:0005887///GO:0045121///GO:0043025///GO:0005634///GO:0048471///GO:0005886///GO:0043196"
"203510_at","MET","4233","MET proto-oncogene, receptor tyrosine kinase","branching morphogenesis of an epithelial tube///cell proliferation///cell surface receptor signaling pathway///endothelial cell morphogenesis///hepatocyte growth factor receptor signaling pathway///negative regulation of autophagy///negative regulation of hydrogen peroxide-mediated programmed cell death///peptidyl-tyrosine phosphorylation///positive chemotaxis///positive regulation of endothelial cell chemotaxis///positive regulation of transcription from RNA polymerase II promoter///semaphorin-plexin signaling pathway///signal transduction","GO:0048754///GO:0008283///GO:0007166///GO:0001886///GO:0048012///GO:0010507///GO:1901299///GO:0018108///GO:0050918///GO:2001028///GO:0045944///GO:0071526///GO:0007165","ATP binding///hepatocyte growth factor-activated receptor activity///protein binding///protein phosphatase binding///protein tyrosine kinase activity///protein tyrosine kinase activity","GO:0005524///GO:0005008///GO:0005515///GO:0019903///GO:0004713///GO:0004713","basal plasma membrane///cell surface///extracellular region///integral component of membrane///integral component of plasma membrane///plasma membrane","GO:0009925///GO:0009986///GO:0005576///GO:0016021///GO:0005887///GO:0005886"
"203511_s_at","TRAPPC3","27095","trafficking protein particle complex 3","COPII vesicle coating","GO:0048208","protein binding","GO:0005515","Golgi apparatus///Golgi membrane///cytoplasm///cytosol///endoplasmic reticulum","GO:0005794///GO:0000139///GO:0005737///GO:0005829///GO:0005783"
"203513_at","SPG11","80208","spastic paraplegia 11 (autosomal recessive)","axo-dendritic transport///axon extension///chemical synaptic transmission///synaptic vesicle transport","GO:0008088///GO:0048675///GO:0007268///GO:0048489","protein binding","GO:0005515","axon///cytoplasm///cytoplasmic vesicle///cytosol///dendrite///extracellular exosome///lysosomal membrane///nucleolus///plasma membrane///synapse","GO:0030424///GO:0005737///GO:0031410///GO:0005829///GO:0030425///GO:0070062///GO:0005765///GO:0005730///GO:0005886///GO:0045202"
"203514_at","MAP3K3","4215","mitogen-activated protein kinase kinase kinase 3","MAPK cascade///activation of MAPKK activity///blood vessel development///intracellular signal transduction///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of p38MAPK cascade///protein autophosphorylation","GO:0000165///GO:0000186///GO:0001568///GO:0035556///GO:0043123///GO:1900745///GO:0046777","ATP binding///MAP kinase kinase kinase activity///metal ion binding///protein binding///protein kinase activity","GO:0005524///GO:0004709///GO:0046872///GO:0005515///GO:0004672","cytoplasm///cytosol","GO:0005737///GO:0005829"
"203515_s_at","PMVK","10654","phosphomevalonate kinase","cholesterol biosynthetic process///cholesterol biosynthetic process///isopentenyl diphosphate biosynthetic process, mevalonate pathway///isopentenyl diphosphate biosynthetic process, mevalonate pathway///phosphorylation///response to cholesterol///sterol biosynthetic process","GO:0006695///GO:0006695///GO:0019287///GO:0019287///GO:0016310///GO:0070723///GO:0016126","ATP binding///phosphomevalonate kinase activity///phosphomevalonate kinase activity","GO:0005524///GO:0004631///GO:0004631","cytosol///cytosol///extracellular exosome///membrane///peroxisome","GO:0005829///GO:0005829///GO:0070062///GO:0016020///GO:0005777"
"203516_at","SNTA1","6640","syntrophin alpha 1","muscle contraction///negative regulation of peptidyl-cysteine S-nitrosylation///regulation of heart rate///regulation of sodium ion transmembrane transport///regulation of ventricular cardiac muscle cell membrane repolarization///ventricular cardiac muscle cell action potential","GO:0006936///GO:1902083///GO:0002027///GO:1902305///GO:0060307///GO:0086005","ATPase binding///PDZ domain binding///actin binding///calmodulin binding///ion channel binding///nitric-oxide synthase binding///protein binding///contributes_to sodium channel regulator activity///structural molecule activity","GO:0051117///GO:0030165///GO:0003779///GO:0005516///GO:0044325///GO:0050998///GO:0005515///contributes_to GO:0017080///GO:0005198","cell junction///cytoplasm///cytoskeleton///intracellular///colocalizes_with lateral plasma membrane///neuromuscular junction///protein complex///sarcolemma///syntrophin complex","GO:0030054///GO:0005737///GO:0005856///GO:0005622///colocalizes_with GO:0016328///GO:0031594///GO:0043234///GO:0042383///GO:0016013"
"203517_at","MTX2","10651","metaxin 2","mitochondrial transport///protein targeting to mitochondrion","GO:0006839///GO:0006626","protein binding","GO:0005515","mitochondrial outer membrane///mitochondrion","GO:0005741///GO:0005739"
"203518_at","LYST","1130","lysosomal trafficking regulator","defense response to bacterium///defense response to protozoan///defense response to virus///endosome to lysosome transport via multivesicular body sorting pathway///leukocyte chemotaxis///lysosome organization///mast cell secretory granule organization///melanosome organization///natural killer cell mediated cytotoxicity///pigmentation///protein transport","GO:0042742///GO:0042832///GO:0051607///GO:0032510///GO:0030595///GO:0007040///GO:0033364///GO:0032438///GO:0042267///GO:0043473///GO:0015031","protein binding","GO:0005515","cytoplasm///microtubule cytoskeleton","GO:0005737///GO:0015630"
