"ProbeID","GeneSymbol","EntrezID","GeneTitle","GOProcess","GOProcessID","GOFunction","GOFunctionID","GOComponent","GOComponentID"
"1007_s_at","MIR4640","100616237","microRNA 4640","branching involved in mammary gland duct morphogenesis///cell adhesion///collagen-activated tyrosine kinase receptor signaling pathway///collagen-activated tyrosine kinase receptor signaling pathway///ear development///embryo implantation///extracellular matrix organization///lactation///mammary gland alveolus development///negative regulation of cell proliferation///organ regeneration///peptidyl-tyrosine autophosphorylation///protein autophosphorylation///regulation of cell growth///regulation of cell-matrix adhesion///regulation of extracellular matrix disassembly///skin development///smooth muscle cell migration///smooth muscle cell-matrix adhesion///wound healing, spreading of cells","GO:0060444///GO:0007155///GO:0038063///GO:0038063///GO:0043583///GO:0007566///GO:0030198///GO:0007595///GO:0060749///GO:0008285///GO:0031100///GO:0038083///GO:0046777///GO:0001558///GO:0001952///GO:0010715///GO:0043588///GO:0014909///GO:0061302///GO:0044319","ATP binding///collagen binding///collagen binding///metal ion binding///protein binding///protein tyrosine kinase collagen receptor activity///transmembrane receptor protein tyrosine kinase activity","GO:0005524///GO:0005518///GO:0005518///GO:0046872///GO:0005515///GO:0038062///GO:0004714","basolateral plasma membrane///extracellular exosome///extracellular space///integral component of plasma membrane///plasma membrane///receptor complex","GO:0016323///GO:0070062///GO:0005615///GO:0005887///GO:0005886///GO:0043235"
"121_at","PAX8","7849","paired box 8","anatomical structure morphogenesis///branching involved in ureteric bud morphogenesis///cellular response to gonadotropin stimulus///central nervous system development///inner ear morphogenesis///kidney development///mesenchymal to epithelial transition involved in metanephros morphogenesis///mesonephros development///metanephric S-shaped body morphogenesis///metanephric comma-shaped body morphogenesis///metanephric distal convoluted tubule development///metanephric epithelium development///metanephric nephron tubule formation///negative regulation of apoptotic process involved in metanephric collecting duct development///negative regulation of apoptotic process involved in metanephric nephron tubule development///negative regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis///negative regulation of mesenchymal cell apoptotic process involved in metanephros development///otic vesicle development///positive regulation of branching involved in ureteric bud morphogenesis///positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis///positive regulation of metanephric DCT cell differentiation///positive regulation of thyroid hormone generation///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///positive regulation of transcription, DNA-templated///pronephric field specification///pronephros development///regulation of apoptotic process///regulation of metanephric nephron tubule epithelial cell differentiation///regulation of thyroid-stimulating hormone secretion///sulfur compound metabolic process///thyroid gland development///thyroid gland development///thyroid-stimulating hormone signaling pathway///transcription from RNA polymerase II promoter///transcription, DNA-templated///urogenital system development","GO:0009653///GO:0001658///GO:0071371///GO:0007417///GO:0042472///GO:0001822///GO:0003337///GO:0001823///GO:0072284///GO:0072278///GO:0072221///GO:0072207///GO:0072289///GO:1900215///GO:1900218///GO:0072305///GO:1900212///GO:0071599///GO:0090190///GO:0072108///GO:2000594///GO:2000611///GO:0045944///GO:0045893///GO:0045893///GO:0039003///GO:0048793///GO:0042981///GO:0072307///GO:2000612///GO:0006790///GO:0030878///GO:0030878///GO:0038194///GO:0006366///GO:0006351///GO:0001655","DNA binding///DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///RNA polymerase II core promoter sequence-specific DNA binding///protein binding///thyroid-stimulating hormone receptor activity///transcription factor activity, sequence-specific DNA binding///transcription regulatory region DNA binding///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding","GO:0003677///GO:0003677///GO:0000978///GO:0000979///GO:0005515///GO:0004996///GO:0003700///GO:0044212///GO:0001077","nucleoplasm///nucleoplasm///nucleus","GO:0005654///GO:0005654///GO:0005634"
"1255_g_at","GUCA1A","2978","guanylate cyclase activator 1A","cellular response to calcium ion///phototransduction///positive regulation of guanylate cyclase activity///regulation of rhodopsin mediated signaling pathway///signal transduction///visual perception","GO:0071277///GO:0007602///GO:0031284///GO:0022400///GO:0007165///GO:0007601","calcium ion binding///calcium sensitive guanylate cyclase activator activity///guanylate cyclase regulator activity","GO:0005509///GO:0008048///GO:0030249","photoreceptor disc membrane///photoreceptor inner segment///plasma membrane","GO:0097381///GO:0001917///GO:0005886"
"1405_i_at","CCL5","6352","C-C motif chemokine ligand 5","G-protein coupled receptor signaling pathway///MAPK cascade///activation of phospholipase D activity///aging///calcium ion transport///cell-cell signaling///cellular calcium ion homeostasis///cellular protein complex assembly///cellular response to alkyl hydroperoxide///cellular response to amino acid stimulus///cellular response to ethanol///cellular response to fibroblast growth factor stimulus///cellular response to high density lipoprotein particle stimulus///cellular response to interferon-gamma///cellular response to interleukin-1///cellular response to morphine///cellular response to organic cyclic compound///cellular response to transforming growth factor beta stimulus///cellular response to tumor necrosis factor///cellular response to vitamin K///chemokine-mediated signaling pathway///chemokine-mediated signaling pathway///chemotaxis///chronic inflammatory response///dendritic cell chemotaxis///dibenzo-p-dioxin metabolic process///eosinophil chemotaxis///exocytosis///inflammatory response///leukocyte cell-cell adhesion///lipopolysaccharide-mediated signaling pathway///lymphocyte chemotaxis///macrophage chemotaxis///monocyte chemotaxis///negative regulation by host of viral transcription///negative regulation of G-protein coupled receptor protein signaling pathway///negative regulation of T cell apoptotic process///negative regulation of chemokine-mediated signaling pathway///negative regulation of macrophage apoptotic process///negative regulation of neuron death///negative regulation of viral genome replication///neutrophil activation///neutrophil chemotaxis///positive chemotaxis///positive regulation of ERK1 and ERK2 cascade///positive regulation of GTPase activity///positive regulation of JAK-STAT cascade///positive regulation of T cell apoptotic process///positive regulation of T cell chemotaxis///positive regulation of T cell migration///positive regulation of T cell proliferation///positive regulation of activation of JAK2 kinase activity///positive regulation of angiogenesis///positive regulation of calcium ion transport///positive regulation of cell adhesion///positive regulation of cell migration///positive regulation of cell-cell adhesion mediated by integrin///positive regulation of cellular biosynthetic process///positive regulation of epithelial cell proliferation///positive regulation of fever generation///positive regulation of homotypic cell-cell adhesion///positive regulation of inflammatory response///positive regulation of innate immune response///positive regulation of macrophage chemotaxis///positive regulation of mast cell chemotaxis///positive regulation of monocyte chemotaxis///positive regulation of natural killer cell chemotaxis///positive regulation of neuron differentiation///positive regulation of osteoclast differentiation///positive regulation of phosphatidylinositol 3-kinase signaling///positive regulation of phosphorylation///positive regulation of protein tyrosine kinase activity///positive regulation of smooth muscle cell migration///positive regulation of smooth muscle cell proliferation///positive regulation of translational initiation///positive regulation of tyrosine phosphorylation of STAT protein///positive regulation of viral genome replication///protein kinase B signaling///protein tetramerization///regulation of T cell activation///regulation of chronic inflammatory response///regulation of insulin secretion///regulation of neuron death///response to activity///response to cholesterol///response to drug///response to estrogen///response to glucocorticoid///response to insulin///response to salt stress///response to toxic substance///response to virus","GO:0007186///GO:0000165///GO:0031584///GO:0007568///GO:0006816///GO:0007267///GO:0006874///GO:0043623///GO:0071448///GO:0071230///GO:0071361///GO:0044344///GO:0071403///GO:0071346///GO:0071347///GO:0071315///GO:0071407///GO:0071560///GO:0071356///GO:0071307///GO:0070098///GO:0070098///GO:0006935///GO:0002544///GO:0002407///GO:0018894///GO:0048245///GO:0006887///GO:0006954///GO:0007159///GO:0031663///GO:0048247///GO:0048246///GO:0002548///GO:0043922///GO:0045744///GO:0070233///GO:0070100///GO:2000110///GO:1901215///GO:0045071///GO:0042119///GO:0030593///GO:0050918///GO:0070374///GO:0043547///GO:0046427///GO:0070234///GO:0010820///GO:2000406///GO:0042102///GO:0010535///GO:0045766///GO:0051928///GO:0045785///GO:0030335///GO:0033634///GO:0031328///GO:0050679///GO:0031622///GO:0034112///GO:0050729///GO:0045089///GO:0010759///GO:0060754///GO:0090026///GO:2000503///GO:0045666///GO:0045672///GO:0014068///GO:0042327///GO:0061098///GO:0014911///GO:0048661///GO:0045948///GO:0042531///GO:0045070///GO:0043491///GO:0051262///GO:0050863///GO:0002676///GO:0050796///GO:1901214///GO:0014823///GO:0070723///GO:0042493///GO:0043627///GO:0051384///GO:0032868///GO:0009651///GO:0009636///GO:0009615","CCR1 chemokine receptor binding///CCR1 chemokine receptor binding///CCR1 chemokine receptor binding///CCR4 chemokine receptor binding///CCR5 chemokine receptor binding///chemoattractant activity///chemokine activity///chemokine activity///chemokine receptor antagonist activity///chemokine receptor binding///heparin binding///phosphatidylinositol phospholipase C activity///phospholipase activator activity///protein binding///protein homodimerization activity///protein kinase activity///protein self-association///receptor signaling protein tyrosine kinase activator activity","GO:0031726///GO:0031726///GO:0031726///GO:0031729///GO:0031730///GO:0042056///GO:0008009///GO:0008009///GO:0046817///GO:0042379///GO:0008201///GO:0004435///GO:0016004///GO:0005515///GO:0042803///GO:0004672///GO:0043621///GO:0030298","cytoplasm///extracellular region///extracellular space","GO:0005737///GO:0005576///GO:0005615"
"1487_at","ESRRA","2101","estrogen related receptor alpha","cartilage development///intracellular receptor signaling pathway///mitochondrion organization///negative regulation of transcription from RNA polymerase II promoter///positive regulation of cellular response to insulin stimulus///positive regulation of transcription from RNA polymerase II promoter///regulation of cell proliferation///regulation of osteoblast differentiation///regulation of osteoclast differentiation///regulation of transcription, DNA-templated///response to estradiol///steroid hormone mediated signaling pathway///transcription initiation from RNA polymerase II promoter","GO:0051216///GO:0030522///GO:0007005///GO:0000122///GO:1900078///GO:0045944///GO:0042127///GO:0045667///GO:0045670///GO:0006355///GO:0032355///GO:0043401///GO:0006367","DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding///protein binding///protein domain specific binding///sequence-specific DNA binding///steroid binding///steroid hormone receptor activity///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding///transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding///zinc ion binding","GO:0003677///GO:0000978///GO:0004879///GO:0005515///GO:0019904///GO:0043565///GO:0005496///GO:0003707///GO:0001077///GO:0001078///GO:0008270","intercellular bridge///microtubule cytoskeleton///nucleolus///nucleoplasm///nucleus","GO:0045171///GO:0015630///GO:0005730///GO:0005654///GO:0005634"
"1552256_a_at","SCARB1","949","scavenger receptor class B member 1","adhesion of symbiont to host///androgen biosynthetic process///blood vessel endothelial cell migration///cholesterol catabolic process///cholesterol efflux///cholesterol efflux///cholesterol homeostasis///cholesterol import///cholesterol import///detection of lipopolysaccharide///endothelial cell proliferation///high-density lipoprotein particle clearance///high-density lipoprotein particle remodeling///intestinal absorption///lipopolysaccharide transport///lipopolysaccharide-mediated signaling pathway///lipoprotein metabolic process///low-density lipoprotein particle clearance///phospholipid transport///positive regulation of cholesterol storage///positive regulation of endothelial cell migration///positive regulation of nitric-oxide synthase activity///positive regulation of triglyceride biosynthetic process///receptor-mediated endocytosis///recognition of apoptotic cell///regulation of phagocytosis///regulation of phosphatidylcholine catabolic process///reverse cholesterol transport///triglyceride homeostasis///viral entry into host cell///vitamin transmembrane transport///wound healing","GO:0044406///GO:0006702///GO:0043534///GO:0006707///GO:0033344///GO:0033344///GO:0042632///GO:0070508///GO:0070508///GO:0032497///GO:0001935///GO:0034384///GO:0034375///GO:0050892///GO:0015920///GO:0031663///GO:0042157///GO:0034383///GO:0015914///GO:0010886///GO:0010595///GO:0051000///GO:0010867///GO:0006898///GO:0043654///GO:0050764///GO:0010899///GO:0043691///GO:0070328///GO:0046718///GO:0035461///GO:0042060","1-phosphatidylinositol binding///apolipoprotein A-I binding///apolipoprotein binding///high-density lipoprotein particle binding///high-density lipoprotein particle receptor activity///high-density lipoprotein particle receptor activity///lipopolysaccharide binding///lipopolysaccharide receptor activity///low-density lipoprotein particle binding///phosphatidylserine binding///protein binding///protein homodimerization activity///transporter activity///virus receptor activity","GO:0005545///GO:0034186///GO:0034185///GO:0008035///GO:0070506///GO:0070506///GO:0001530///GO:0001875///GO:0030169///GO:0001786///GO:0005515///GO:0042803///GO:0005215///GO:0001618","caveola///cell surface///endocytic vesicle membrane///extracellular exosome///integral component of plasma membrane///intracellular membrane-bounded organelle///lysosomal membrane///microvillus membrane///plasma membrane///plasma membrane","GO:0005901///GO:0009986///GO:0030666///GO:0070062///GO:0005887///GO:0043231///GO:0005765///GO:0031528///GO:0005886///GO:0005886"
"1552257_a_at","TTLL12","23170","tubulin tyrosine ligase like 12","cellular protein modification process","GO:0006464","ATP binding","GO:0005524","",""
"1552258_at","LOC101930489","101930489","uncharacterized LOC101930489","","","","","",""
"1552266_at","ADAM32","203102","ADAM metallopeptidase domain 32","proteolysis","GO:0006508","metalloendopeptidase activity///zinc ion binding","GO:0004222///GO:0008270","integral component of membrane","GO:0016021"
"1552272_a_at","PRR22","163154","proline rich 22","","","","","",""
"1552277_a_at","MSANTD3","91283","Myb/SANT DNA binding domain containing 3","","","identical protein binding","GO:0042802","",""
"1552280_at","TIMD4","91937","T-cell immunoglobulin and mucin domain containing 4","","","phosphatidylserine binding","GO:0001786","integral component of membrane","GO:0016021"
"1552286_at","ATP6V1E2","90423","ATPase H+ transporting V1 subunit E2","ATP hydrolysis coupled proton transport///insulin receptor signaling pathway///ion transmembrane transport///phagosome acidification///regulation of macroautophagy///transferrin transport","GO:0015991///GO:0008286///GO:0034220///GO:0090383///GO:0016241///GO:0033572","hydrogen-exporting ATPase activity, phosphorylative mechanism///protein binding///proton-transporting ATPase activity, rotational mechanism","GO:0008553///GO:0005515///GO:0046961","acrosomal vesicle///cytosol///proton-transporting two-sector ATPase complex, catalytic domain","GO:0001669///GO:0005829///GO:0033178"
"1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene","","","","","",""
"1552288_at","CILP2","148113","cartilage intermediate layer protein 2","","","NOT alkaline phosphatase activity///NOT nucleotide diphosphatase activity","NOT GO:0004035///NOT GO:0004551","extracellular exosome///proteinaceous extracellular matrix","GO:0070062///GO:0005578"
"1552291_at","PIGX","54965","phosphatidylinositol glycan anchor biosynthesis class X","preassembly of GPI anchor in ER membrane","GO:0016254","","","endoplasmic reticulum membrane///integral component of membrane","GO:0005789///GO:0016021"
"1552296_at","BEST4","266675","bestrophin 4","biological_process///chloride transmembrane transport","GO:0008150///GO:1902476","contributes_to chloride channel activity///molecular_function","contributes_to GO:0005254///GO:0003674","chloride channel complex///integral component of plasma membrane","GO:0034707///GO:0005887"
"1552301_a_at","CORO6","84940","coronin 6","actin cytoskeleton organization","GO:0030036","actin filament binding///protein binding","GO:0051015///GO:0005515","actin cytoskeleton","GO:0015629"
"1552302_at","TMEM106A","113277","transmembrane protein 106A","biological_process","GO:0008150","molecular_function","GO:0003674","extracellular exosome///integral component of membrane///membrane","GO:0070062///GO:0016021///GO:0016020"
"1552306_at","ALG10","84920","ALG10, alpha-1,2-glucosyltransferase","dolichol-linked oligosaccharide biosynthetic process///protein glycosylation","GO:0006488///GO:0006486","dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity","GO:0004583","endoplasmic reticulum membrane///integral component of membrane","GO:0005789///GO:0016021"
"1552310_at","C15orf40","123207","chromosome 15 open reading frame 40","","","","","",""
"1552311_a_at","RAX2","84839","retina and anterior neural fold homeobox 2","regulation of transcription, DNA-templated///response to stimulus///transcription, DNA-templated///visual perception","GO:0006355///GO:0050896///GO:0006351///GO:0007601","sequence-specific DNA binding","GO:0043565","nucleus","GO:0005634"
"1552316_a_at","GIMAP1","170575","GTPase, IMAP family member 1","","","GTP binding","GO:0005525","Golgi membrane///endoplasmic reticulum membrane///integral component of membrane","GO:0000139///GO:0005789///GO:0016021"
"1552319_a_at","KLK8","11202","kallikrein related peptidase 8","cell death///keratinocyte proliferation///memory///negative regulation of axon regeneration///negative regulation of myelination///neuron projection morphogenesis///proteolysis///regulation of synapse organization///response to wounding///synapse organization","GO:0008219///GO:0043616///GO:0007613///GO:0048681///GO:0031642///GO:0048812///GO:0006508///GO:0050807///GO:0009611///GO:0050808","protein binding///serine-type endopeptidase activity","GO:0005515///GO:0004252","cytoplasm///extracellular space","GO:0005737///GO:0005615"
"1552320_a_at","CCDC65","85478","coiled-coil domain containing 65","","","","","",""
"1552323_s_at","FAM122C","159091","family with sequence similarity 122C","","","","","",""
"1552325_at","CFAP53","220136","cilia and flagella associated protein 53","biological_process///cilium assembly///cilium movement","GO:0008150///GO:0042384///GO:0003341","molecular_function///protein binding","GO:0003674///GO:0005515","cellular_component///cilium","GO:0005575///GO:0005929"
"1552330_at","CENPBD1","92806","CENPB DNA-binding domain containing 1","","","DNA binding","GO:0003677","nucleus","GO:0005634"
"1552335_at","CATSPER1","117144","cation channel sperm associated 1","calcium ion transmembrane transport///cell differentiation///fusion of sperm to egg plasma membrane///membrane depolarization during action potential///multicellular organism development///regulation of calcium ion transport///regulation of cilium beat frequency involved in ciliary motility///regulation of ion transmembrane transport///response to progesterone///sperm motility///sperm-egg recognition///spermatogenesis","GO:0070588///GO:0030154///GO:0007342///GO:0086010///GO:0007275///GO:0051924///GO:0060296///GO:0034765///GO:0032570///GO:0030317///GO:0035036///GO:0007283","calcium activated cation channel activity///protein binding///voltage-gated calcium channel activity","GO:0005227///GO:0005515///GO:0005245","CatSper complex///motile cilium///plasma membrane///plasma membrane","GO:0036128///GO:0031514///GO:0005886///GO:0005886"
"1552337_s_at","HOXD4","3233","homeobox D4","anterior/posterior pattern specification///embryonic skeletal system morphogenesis///multicellular organism development///regulation of transcription, DNA-templated///stem cell differentiation///transcription, DNA-templated","GO:0009952///GO:0048704///GO:0007275///GO:0006355///GO:0048863///GO:0006351","sequence-specific DNA binding///transcription factor activity, sequence-specific DNA binding","GO:0043565///GO:0003700","nucleus","GO:0005634"
"1552338_at","GSC","145258","goosecoid homeobox","dorsal/ventral neural tube patterning///embryonic skeletal system morphogenesis///forebrain development///gastrulation///middle ear morphogenesis///muscle organ morphogenesis///negative regulation of Wnt signaling pathway///negative regulation of transcription from RNA polymerase II promoter///neural crest cell fate specification///signal transduction involved in regulation of gene expression","GO:0021904///GO:0048704///GO:0030900///GO:0007369///GO:0042474///GO:0048644///GO:0030178///GO:0000122///GO:0014036///GO:0023019","RNA polymerase II repressing transcription factor binding///RNA polymerase II transcription factor binding///sequence-specific DNA binding","GO:0001103///GO:0001085///GO:0043565","nucleus///transcription factor complex","GO:0005634///GO:0005667"
"1552340_at","SP7","121340","Sp7 transcription factor","hematopoietic stem cell differentiation///osteoblast differentiation///osteoblast differentiation///positive regulation of stem cell differentiation///positive regulation of transcription from RNA polymerase II promoter///regulation of transcription from RNA polymerase II promoter///transcription, DNA-templated","GO:0060218///GO:0001649///GO:0001649///GO:2000738///GO:0045944///GO:0006357///GO:0006351","DEAD/H-box RNA helicase binding///DNA binding///metal ion binding","GO:0017151///GO:0003677///GO:0046872","cytoplasm///nucleus","GO:0005737///GO:0005634"
"1552348_at","PRSS33","260429","protease, serine 33","proteolysis","GO:0006508","serine-type endopeptidase activity","GO:0004252","extracellular space","GO:0005615"
"1552354_at","CBARP","255057","CACN beta subunit associated regulatory protein","negative regulation of calcium ion transmembrane transport///negative regulation of calcium ion-dependent exocytosis///negative regulation of voltage-gated calcium channel activity","GO:1903170///GO:0045955///GO:1901386","ion channel binding","GO:0044325","cell junction///colocalizes_with growth cone///integral component of membrane///plasma membrane///secretory granule///synaptic vesicle membrane","GO:0030054///colocalizes_with GO:0030426///GO:0016021///GO:0005886///GO:0030141///GO:0030672"
"1552359_at","MCMDC2","157777","minichromosome maintenance domain containing 2","DNA replication","GO:0006260","ATP binding///DNA binding","GO:0005524///GO:0003677","",""
"1552360_a_at","TIRAP","114609","TIR domain containing adaptor protein","3'-UTR-mediated mRNA stabilization///MyD88-dependent toll-like receptor signaling pathway///TIRAP-dependent toll-like receptor 4 signaling pathway///activation of NF-kappaB-inducing kinase activity///cell surface receptor signaling pathway///cellular response to bacterial lipopeptide///cellular response to lipoteichoic acid///defense response to Gram-positive bacterium///inflammatory response///innate immune response///myeloid cell differentiation///negative regulation of growth of symbiont in host///positive regulation of B cell proliferation///positive regulation of ERK1 and ERK2 cascade///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of JNK cascade///positive regulation of NF-kappaB transcription factor activity///positive regulation of chemokine (C-X-C motif) ligand 1 production///positive regulation of chemokine (C-X-C motif) ligand 2 production///positive regulation of interleukin-12 production///positive regulation of interleukin-15 production///positive regulation of interleukin-6 biosynthetic process///positive regulation of interleukin-8 production///positive regulation of neutrophil chemotaxis///positive regulation of protein homodimerization activity///positive regulation of toll-like receptor 2 signaling pathway///positive regulation of toll-like receptor 3 signaling pathway///positive regulation of toll-like receptor 4 signaling pathway///positive regulation of tumor necrosis factor production///regulation of innate immune response///regulation of interferon-beta production///response to lipopolysaccharide///toll-like receptor 4 signaling pathway","GO:0070935///GO:0002755///GO:0035665///GO:0007250///GO:0007166///GO:0071221///GO:0071223///GO:0050830///GO:0006954///GO:0045087///GO:0030099///GO:0044130///GO:0030890///GO:0070374///GO:0043123///GO:0046330///GO:0051092///GO:2000340///GO:2000343///GO:0032735///GO:0032738///GO:0045410///GO:0032757///GO:0090023///GO:0090073///GO:0034137///GO:0034141///GO:0034145///GO:0032760///GO:0045088///GO:0032648///GO:0032496///GO:0034142","Toll-like receptor 2 binding///Toll-like receptor 4 binding///phosphatidylinositol-4,5-bisphosphate binding///protein binding///protein binding, bridging///protein heterodimerization activity///protein homodimerization activity///protein kinase C binding","GO:0035663///GO:0035662///GO:0005546///GO:0005515///GO:0030674///GO:0046982///GO:0042803///GO:0005080","cytoplasm///cytosol///endocytic vesicle///intercellular bridge///nucleoplasm///plasma membrane///plasma membrane///ruffle membrane","GO:0005737///GO:0005829///GO:0030139///GO:0045171///GO:0005654///GO:0005886///GO:0005886///GO:0032587"
"1552362_a_at","LEAP2","116842","liver enriched antimicrobial peptide 2","defense response to bacterium","GO:0042742","","","extracellular region","GO:0005576"
"1552365_at","SCIN","85477","scinderin","actin filament capping///actin filament severing///actin nucleation///calcium ion regulated exocytosis///negative regulation of cell proliferation///positive regulation of actin nucleation///positive regulation of apoptotic process///positive regulation of megakaryocyte differentiation///positive regulation of secretion///regulation of chondrocyte differentiation///sequestering of actin monomers","GO:0051693///GO:0051014///GO:0045010///GO:0017156///GO:0008285///GO:0051127///GO:0043065///GO:0045654///GO:0051047///GO:0032330///GO:0042989","1-phosphatidylinositol binding///actin binding///actin binding///actin filament binding///calcium ion binding///calcium ion binding///phosphatidylinositol-4,5-bisphosphate binding///phosphatidylserine binding","GO:0005545///GO:0003779///GO:0003779///GO:0051015///GO:0005509///GO:0005509///GO:0005546///GO:0001786","brush border///cell cortex///cytoplasm///cytoskeleton///extracellular exosome","GO:0005903///GO:0005938///GO:0005737///GO:0005856///GO:0070062"
"1552368_at","CTCFL","140690","CCCTC-binding factor like","DNA methylation involved in gamete generation///cell cycle///histone methylation///positive regulation of gene expression///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///regulation of gene expression by genetic imprinting///regulation of histone H3-K4 methylation///transcription from RNA polymerase II promoter","GO:0043046///GO:0007049///GO:0016571///GO:0010628///GO:0045944///GO:0045893///GO:0006349///GO:0051569///GO:0006366","DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///histone binding///metal ion binding///protein binding///sequence-specific DNA binding///transcription regulatory region DNA binding///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding","GO:0003677///GO:0000978///GO:0042393///GO:0046872///GO:0005515///GO:0043565///GO:0044212///GO:0001077","cytoplasm///nucleus///nucleus","GO:0005737///GO:0005634///GO:0005634"
"1552370_at","C4orf33","132321","chromosome 4 open reading frame 33","","","protein binding","GO:0005515","",""
"1552377_s_at","TVP23C","201158","trans-golgi network vesicle protein 23 homolog C (S. cerevisiae)","protein secretion///vesicle-mediated transport","GO:0009306///GO:0016192","","","integral component of Golgi membrane","GO:0030173"
"1552381_at","SRSF12","135295","serine and arginine rich splicing factor 12","mRNA 5'-splice site recognition///negative regulation of mRNA splicing, via spliceosome///regulation of alternative mRNA splicing, via spliceosome///spliceosomal tri-snRNP complex assembly","GO:0000395///GO:0048025///GO:0000381///GO:0000244","RNA binding///RS domain binding///nucleotide binding///poly(A) RNA binding///unfolded protein binding","GO:0003723///GO:0050733///GO:0000166///GO:0044822///GO:0051082","nucleoplasm","GO:0005654"
"1552383_at","FAM71A","149647","family with sequence similarity 71 member A","","","","","nucleus","GO:0005634"
"1552386_at","GAPT","202309","GRB2-binding adaptor protein, transmembrane","B cell homeostasis///B cell proliferation involved in immune response///immunoglobulin production involved in immunoglobulin mediated immune response","GO:0001782///GO:0002322///GO:0002381","","","integral component of membrane///plasma membrane","GO:0016021///GO:0005886"
"1552388_at","FLJ30901","150378","uncharacterized protein FLJ30901","adult heart development///blood coagulation///endothelial cell differentiation///inflammatory response///post-embryonic development///protein homooligomerization","GO:0007512///GO:0007596///GO:0045446///GO:0006954///GO:0009791///GO:0051260","calcium ion binding///identical protein binding///protein heterodimerization activity","GO:0005509///GO:0042802///GO:0046982","cell surface///external side of plasma membrane///extracellular space///extrinsic component of plasma membrane","GO:0009986///GO:0009897///GO:0005615///GO:0019897"
"1552389_at","ERICH5","203111","glutamate rich 5","","","","","",""
"1552391_at","CCDC185","164127","coiled-coil domain containing 185","","","protein binding","GO:0005515","",""
"1552393_at","ENTHD1","150350","ENTH domain containing 1","","","","","",""
"1552396_at","WFDC6","140870","WAP four-disulfide core domain 6","negative regulation of endopeptidase activity","GO:0010951","serine-type endopeptidase inhibitor activity","GO:0004867","extracellular region","GO:0005576"
"1552398_a_at","CLEC12A","160364","C-type lectin domain family 12 member A","","","carbohydrate binding","GO:0030246","integral component of membrane///plasma membrane","GO:0016021///GO:0005886"
"1552400_a_at","TMEM266","123591","transmembrane protein 266","","","","","integral component of membrane///plasma membrane","GO:0016021///GO:0005886"
"1552401_a_at","GRIK1-AS2","100379661","GRIK1 antisense RNA 2","DNA repair///negative regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///protein ubiquitination///regulation of transcription from RNA polymerase II promoter in response to hypoxia///regulation of transcription involved in G1/S transition of mitotic cell cycle///regulation of transcription involved in G2/M transition of mitotic cell cycle///regulation of transcription, DNA-templated///transcription from RNA polymerase II promoter","GO:0006281///GO:0000122///GO:0045944///GO:0016567///GO:0061418///GO:0000083///GO:0000117///GO:0006355///GO:0006366","RNA polymerase II distal enhancer sequence-specific DNA binding///heme binding///protein binding///transcription factor activity, sequence-specific DNA binding///transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding///transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding///transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding///transcriptional repressor activity, RNA polymerase II distal enhancer sequence-specific binding///contributes_to ubiquitin-protein transferase activity","GO:0000980///GO:0020037///GO:0005515///GO:0003700///GO:0001205///GO:0001078///GO:0001078///GO:0001206///contributes_to GO:0004842","Cul3-RING ubiquitin ligase complex///cytoplasm///colocalizes_with cytosol///nucleus///colocalizes_with nucleus","GO:0031463///GO:0005737///colocalizes_with GO:0005829///GO:0005634///colocalizes_with GO:0005634"
"1552402_at","CALML6","163688","calmodulin like 6","","","calcium ion binding","GO:0005509","cytoplasm///nucleus","GO:0005737///GO:0005634"
"1552405_at","NLRP5","126206","NLR family pyrin domain containing 5","cellular protein complex assembly///cellular protein localization///embryo implantation///fertilization///in utero embryonic development///neuron death///organ morphogenesis///regulation of RNA stability///regulation of protein stability","GO:0043623///GO:0034613///GO:0007566///GO:0009566///GO:0001701///GO:0070997///GO:0009887///GO:0043487///GO:0031647","ATP binding","GO:0005524","apical cortex///cytosol///mitochondrion///nucleolus///protein complex","GO:0045179///GO:0005829///GO:0005739///GO:0005730///GO:0043234"
"1552409_a_at","ODF4","146852","outer dense fiber of sperm tails 4","cell differentiation///multicellular organism development///spermatogenesis","GO:0030154///GO:0007275///GO:0007283","","","integral component of membrane///outer dense fiber","GO:0016021///GO:0001520"
