"From","To","Correlation","P.Value","adj.P.Val"
"RXFP1","CDH9",0.906690402405328,7.9895733565099e-50,2.67317808553227e-47
"ANKRD34C","GABRA4",0.906570804494754,8.63851425572776e-50,2.85070970439016e-47
"TMEM191A","LINC01123",0.906294032983752,1.03454839129701e-49,3.36787442518176e-47
"PRSS3","PRSS2",0.906003935289877,1.24902846756061e-49,4.01187943780469e-47
"PHF24","CAMK2A",0.904715455939895,2.86286853702387e-49,9.07453987590856e-47
"STYK1","CREG2",0.90468345293516,2.92202074305265e-49,9.14175061040757e-47
"MCHR2","CDH9",0.904501740851601,3.28136776728382e-49,1.01343781428035e-46
"ANKRD34C","DCTN1-AS1",0.904249693407974,3.85262704343445e-49,1.17480741109286e-46
"CREG2","KCNV1",0.904220642452829,3.92444631144127e-49,1.18174889553275e-46
"VIP","CDH9",0.904045201365518,4.38698347189703e-49,1.30472138071604e-46
"DCTN1-AS1","CTXN3",0.903435640943486,6.4500677978748e-49,1.89490406403419e-46
"DCTN1-AS1","LINC00507",0.903291864258329,7.06132309667658e-49,2.04948522167396e-46
"LINC01123","GPR22",0.903262551892466,7.19275427581803e-49,2.0627791726721e-46
"CPLX2","SVOP",0.90312155968491,7.85929150773876e-49,2.2274156755462e-46
"CCKBR","KCNV1",0.902278259181576,1.33156421801295e-48,3.72992814092232e-46
"GPR22","VIP",0.902024414102112,1.55912135162301e-48,4.31715325983889e-46
"ICAM5","CDH9",0.901917789268997,1.66572855068978e-48,4.55993190751326e-46
"STYK1","CDH9",0.901312807225579,2.42082078898859e-48,6.55253627041969e-46
"CCKBR","SLC26A4-AS1",0.901044634760137,2.85493399474167e-48,7.64170665925854e-46
"GLS2","SLC32A1",0.900899846005202,3.12022899873571e-48,8.2600347889608e-46
"PHF24","STYK1",0.900705344548023,3.51506328968967e-48,9.1993520948859e-46
"LINC01123","ICAM5",0.900688523245291,3.55143107025483e-48,9.1993520948859e-46
"KCNV1","LMO7",0.899981966241474,5.46325342414679e-48,1.40010398923081e-45
"RYR2","LOC401220",0.899949937932717,5.57053817272332e-48,1.41257120611479e-45
"GABRA4","NECAB1",0.898456886185921,1.3692198144928e-47,3.43588597199287e-45
"TMEM191A","MCHR2",0.898289602080298,1.51305717440109e-47,3.7576852918889e-45
"GABRA4","STYK1",0.898086698211805,1.70755107672841e-47,4.1974393304477e-45
"STYK1","RXFP1",0.897476022896781,2.45342200528738e-47,5.96999354619928e-45
"GPR22","MCHR2",0.897422594122796,2.5321885904174e-47,6.10004231431552e-45
"PHF24","GABRA4",0.897064240555589,3.12858682183368e-47,7.46214421168052e-45
"DCTN1-AS1","LY86-AS1",0.896760243686185,3.74113092709014e-47,8.76033986392661e-45
"CARMIL2","SDR16C5",0.896758210817185,3.74559985879801e-47,8.76033986392661e-45
"LINC01123","CDH9",0.895764212544039,6.69497925097491e-47,1.55078894380755e-44
"STYK1","NECAB1",0.895182119164482,9.38157971488113e-47,2.15240243172844e-44
"GPR22","CDH9",0.895118641150514,9.73201438347153e-47,2.21173798582858e-44
"VIP","RXFP1",0.894752165385837,1.20213443091304e-46,2.70648770473786e-44
"DCTN1-AS1","SLC26A4-AS1",0.894509781288147,1.38181564036904e-46,3.08221655337871e-44
"GLS2","MTUS2",0.894336259604524,1.52640315231781e-46,3.37349100360882e-44
"KCNH3","KCNV1",0.893065828753342,3.14645722057569e-46,6.88433946383262e-44
"LINC01123","LMO7",0.893051475488237,3.17211158358415e-46,6.88433946383262e-44
"TMEM191A","STYK1",0.892777005076351,3.70416143095817e-46,7.96725436355199e-44
"LINC00507","RASAL1",0.892622845843577,4.04047825930139e-46,8.6137275457142e-44
"GABRA4","KCNV1",0.892494523571849,4.34316310026168e-46,9.17778939344771e-44
"TMEM191A","CDH9",0.891879413716258,6.13258754005494e-46,1.28464377252107e-43
"GPR26","STYK1",0.890772292737064,1.13518303509293e-45,2.35746200994731e-43
"TMEM191A","GPR22",0.890583045389104,1.26034605567262e-45,2.5950202120644e-43
"LGI3","TMEM151A",0.890235354798843,1.52660516897367e-45,3.11660326445556e-43
"GABRA4","SLC26A4-AS1",0.890117419865071,1.62890836099692e-45,3.29751280810217e-43
"LINC01123","RXFP1",0.88955310187387,2.21945442373908e-45,4.4555547556562e-43
"DCTN1-AS1","GPR26",0.889188512904567,2.70805785625641e-45,5.39149700472868e-43
"DCTN1-AS1","KCNV1",0.888684396095859,3.56157831800754e-45,7.03265751481981e-43
"PACSIN1","SLC12A5",0.888360467095958,4.24420112230584e-45,8.3124231736868e-43
"GLS2","SDR16C5",0.887940541570726,5.32314487746484e-45,1.03414967821071e-42
"GABRA4","CTXN3",0.887292479533966,7.53731586706778e-45,1.4525915139013e-42
